household_id,gt2,hh_workers,hispanic_status_of_head,num_workers,race_of_head,hh_income,age_of_head,recent_mover,seniors,VEHICL,hh_age_of_head,income,hh_size,hh_children,lcm_county_id,tenure_mover,serialno,tenure,sf_detached,hh_race_of_head,hh_cars,hh_seniors,block_id,gt55,hispanic_head,hh_type,hhsize,TAZ,HHT,sample_rate,chunk_id,income_in_thousands,income_segment,median_value_of_time,hh_value_of_time,num_non_workers,num_drivers,num_adults,num_children,num_young_children,num_children_5_to_15,num_children_16_to_17,num_college_age,num_young_adults,non_family,family,home_is_urban,home_is_rural,auto_ownership,av,hh_work_auto_savings_ratio,num_under16_not_at_school,num_travel_active,num_travel_active_adults,num_travel_active_preschoolers,num_travel_active_children,num_travel_active_non_preschoolers,participates_in_jtf_model,joint_tour_frequency,num_hh_joint_tours
551415,0,none,0,0.0,1,lt30,51,0,0.0,1,gt35-lt65,200.0,one,no,6013,rent not recent,2012000975512,2,yes,white,one,no,60133240023012,0,no,5,1,1121,1,0.0,20,0.2,1,6.01,3.607804598452668,1.0,1,1,0,0,0,0,0,0,False,True,True,False,1,0,0.0,0,1,1,0,0,1,False,0_tours,0
866761,1,one,0,1.0,1,gt60-lt100,55,0,0.0,0,gt35-lt65,66290.0,three,no,6013,own not recent,2012000997553,1,yes,white,two or more,no,60133080013012,1,no,4,3,1187,4,0.0,22,66.29,3,10.44,15.041460897690756,2.0,3,3,0,0,0,0,1,0,True,False,False,False,0,0,0.88581336,0,3,3,0,0,3,True,0_tours,0
836,1,two or more,0,2.0,1,gt150,67,0,1.0,2,gt65,161000.0,two,no,6001,own not recent,2012000227684,1,yes,white,two or more,yes,60014001001054,1,no,4,2,1005,4,0.0,24,161.0,4,12.86,5.809499761220455,0.0,2,2,0,0,0,0,0,0,True,False,False,False,2,0,2.0,0,2,2,0,0,2,True,0_tours,0
1104111,0,one,0,1.0,1,gt60-lt100,62,0,0.0,2,gt35-lt65,97000.0,one,no,6075,own not recent,2012000814462,1,no,white,none,no,60750204011011,1,no,2,1,93,1,0.0,26,97.0,3,10.44,7.26299940484232,0.0,1,1,0,0,0,0,0,0,False,True,True,False,1,0,1.0,0,1,1,0,0,1,False,0_tours,0
422457,1,one,0,1.0,9,lt30,53,1,0.0,2,gt35-lt65,25000.0,two,no,6001,rent recent,2012000651680,2,no,other,one,no,60014419244006,0,no,7,2,778,4,0.0,28,25.0,1,6.01,8.339987624277905,1.0,2,2,0,0,0,0,0,1,True,False,False,False,2,0,1.0,0,2,2,0,0,2,True,0_tours,0
2592840,1,one,0,1.0,1,gt150,51,0,0.0,2,gt35-lt65,180200.0,two,no,6097,own not recent,2010000539218,1,no,white,two or more,no,60971538093013,0,no,3,2,1395,4,0.0,30,180.2,4,12.86,2.5156016681240785,1.0,2,2,0,0,0,0,0,0,True,False,False,False,2,0,0.86231333,0,2,2,0,0,2,True,1_Visit,1
920407,1,two or more,1,2.0,1,gt60-lt100,56,0,0.0,3,gt35-lt65,62000.0,two,no,6013,rent not recent,2013000187849,2,no,white,two or more,no,60133240021009,1,yes,8,2,1121,4,0.0,32,62.0,3,10.44,2.2875813642588527,0.0,2,2,0,0,0,0,1,0,True,False,True,False,3,0,1.5327499,0,2,2,0,0,2,True,0_tours,0
415797,1,two or more,0,2.0,6,gt60-lt100,49,0,0.0,2,gt35-lt65,96000.0,two,no,6001,rent not recent,2009000695624,2,no,asian,two or more,no,60014418002003,0,no,7,2,776,4,0.0,34,96.0,3,10.44,10.322157079994941,0.0,2,2,0,0,0,0,0,0,True,False,False,False,2,0,1.455425,0,2,2,0,0,2,True,0_tours,0
807657,1,two or more,1,2.0,1,gt30-lt60,57,0,0.0,2,gt35-lt65,43000.0,four or more,yes,6013,rent not recent,2013000375842,2,yes,white,two or more,no,60133740004015,1,yes,8,6,1056,4,0.0,36,43.0,2,8.81,6.031604288207445,4.0,4,4,2,1,1,0,1,1,True,False,True,False,2,0,1.4434617,1,3,2,1,1,2,True,0_tours,0
2192822,0,one,0,1.0,6,gt30-lt60,50,0,0.0,1,gt35-lt65,57000.0,one,no,6085,rent not recent,2012000837531,2,no,asian,one,no,60855085033006,0,no,5,1,449,1,0.0,38,57.0,2,8.81,14.055884042096372,0.0,1,1,0,0,0,0,0,0,False,True,True,False,1,0,0.4085,0,1,1,0,0,1,False,0_tours,0
1094188,0,none,0,0.0,1,gt30-lt60,51,0,0.0,1,gt35-lt65,48000.0,one,no,6075,rent not recent,2013000037895,2,no,white,one,no,60750179021035,0,no,5,1,42,1,0.0,40,48.0,2,8.81,10.297434063776226,1.0,1,1,0,0,0,0,0,0,False,True,False,False,1,0,0.0,0,1,1,0,0,1,False,0_tours,0
1271024,1,one,0,1.0,1,gt150,46,0,0.0,2,gt35-lt65,300000.0,four or more,yes,6075,own not recent,2012000546825,1,no,white,two or more,no,60750427002003,0,no,3,4,58,4,0.0,42,300.0,4,12.86,6.404105548940945,3.0,2,2,2,0,2,0,0,0,True,False,True,False,2,0,1.0,1,4,2,0,2,4,True,0_tours,0
2573938,1,two or more,1,2.0,1,gt60-lt100,30,0,0.0,1,lt35,60000.0,two,no,6097,rent not recent,2013001318665,2,no,white,one,no,60971528022009,0,yes,7,2,1373,4,0.0,44,60.0,2,8.81,25.498895737135644,0.0,2,2,0,0,0,0,0,2,True,False,True,False,1,0,1.19919,0,2,2,0,0,2,True,0_tours,0
184205,0,one,0,1.0,1,gt60-lt100,54,0,0.0,1,gt35-lt65,66000.0,one,no,6001,rent not recent,2011001458578,2,no,white,one,no,60014278005009,0,no,5,1,959,1,0.0,46,66.0,3,10.44,34.50198707854497,0.0,1,1,0,0,0,0,0,0,False,True,True,False,1,0,0.6953824,0,1,1,0,0,1,False,0_tours,0
479575,1,one,0,1.0,1,gt60-lt100,60,0,0.0,2,gt35-lt65,97730.0,two,no,6001,own not recent,2010000281265,1,yes,white,two or more,no,60014503002006,1,no,4,2,732,4,0.0,48,97.73,3,10.44,19.603022814593608,1.0,2,2,0,0,0,0,0,0,True,False,True,False,2,0,0.94675,0,2,2,0,0,2,True,0_tours,0
2203507,0,one,0,1.0,6,lt30,52,0,0.0,1,gt35-lt65,22400.0,one,no,6085,rent not recent,2010000810951,2,no,asian,one,no,60855086013013,0,no,5,1,394,1,0.0,50,22.4,1,6.01,1.9030972699281268,0.0,1,1,0,0,0,0,0,0,False,True,False,False,1,0,0.7965,0,1,1,0,0,1,False,0_tours,0
158246,0,none,0,0.0,1,gt30-lt60,69,0,1.0,1,gt65,35400.0,one,no,6001,own not recent,2013000829841,1,yes,white,one,yes,60014237002006,1,no,2,1,1006,1,0.0,52,35.4,2,8.81,3.706262879024385,1.0,1,1,0,0,0,0,0,0,False,True,True,False,1,0,0.0,0,1,1,0,0,1,False,0_tours,0
1535733,0,none,0,0.0,1,gt100-lt150,64,0,0.0,0,gt35-lt65,109600.0,one,no,6081,own not recent,2012001282800,1,yes,white,one,no,60816113001021,1,no,2,1,322,1,0.0,54,109.6,4,12.86,3.121431020764556,1.0,1,1,0,0,0,0,0,0,False,True,False,False,0,0,0.0,0,1,1,0,0,1,False,0_tours,0
823569,1,two or more,0,2.0,1,gt60-lt100,58,0,0.0,3,gt35-lt65,86100.0,four or more,yes,6013,own not recent,2011000810572,1,yes,white,two or more,no,60133020102007,1,no,4,5,1185,4,0.0,56,86.1,3,10.44,4.113756117681407,3.0,3,3,2,1,1,0,0,0,True,False,False,False,3,0,2.0,2,4,3,0,1,4,True,0_tours,0
321390,1,two or more,0,2.0,1,gt100-lt150,56,0,0.0,3,gt35-lt65,114000.0,two,no,6001,own not recent,2011000224211,1,no,white,two or more,no,60014050003003,1,no,4,2,937,4,0.0,58,114.0,4,12.86,8.791808395763741,0.0,2,2,0,0,0,0,0,0,True,False,False,False,3,0,0.8107033,0,2,2,0,0,2,True,0_tours,0
1918434,1,one,0,1.0,6,gt30-lt60,78,0,2.0,3,gt65,57200.0,three,no,6085,own not recent,2013000869842,1,yes,asian,two or more,yes,60855062044011,1,no,4,3,477,4,0.0,60,57.2,2,8.81,4.079341001919836,2.0,3,3,0,0,0,0,0,0,True,False,False,False,2,0,1.0,0,2,2,0,0,2,True,0_tours,0
1692365,1,one,0,1.0,1,gt60-lt100,28,1,0.0,1,lt35,97600.0,two,no,6085,rent recent,2010000019991,2,no,white,two or more,no,60855010005000,0,no,7,2,549,4,0.0,62,97.6,3,10.44,6.268495337140381,1.0,2,2,0,0,0,0,0,2,True,False,True,False,1,0,0.47066835,0,1,1,0,0,1,False,0_tours,0
1843983,1,two or more,0,2.0,6,gt100-lt150,62,0,0.0,3,gt35-lt65,110000.0,four or more,yes,6085,own not recent,2009000920181,1,yes,asian,two or more,no,60855044222000,1,no,4,4,613,4,0.0,64,110.0,4,12.86,34.38773984372521,2.0,3,3,1,1,0,0,1,0,True,False,False,False,3,0,1.482495,0,4,3,1,1,3,True,0_tours,0
2497256,1,one,0,1.0,1,gt150,41,0,0.0,3,gt35-lt65,170500.0,four or more,yes,6097,own not recent,2011000809378,1,yes,white,two or more,no,60971509011023,0,no,3,5,1331,4,0.0,66,170.5,4,12.86,3.3044411407395757,4.0,2,2,3,0,3,0,0,0,True,False,False,False,3,0,1.0,0,4,1,0,3,4,True,1_Disc,1
679999,1,one,0,1.0,1,gt150,46,0,0.0,2,gt35-lt65,164200.0,two,no,6013,rent not recent,2010000108248,2,no,white,two or more,no,60133452034028,0,no,7,2,1161,4,0.0,68,164.2,4,12.86,2.5845202878566687,1.0,2,2,0,0,0,0,0,0,True,False,False,False,2,0,1.0,0,2,2,0,0,2,True,0_tours,0
736094,1,two or more,0,2.0,6,gt150,46,0,0.0,4,gt35-lt65,172800.0,three,yes,6013,own not recent,2013000528337,1,yes,asian,two or more,no,60133551143064,0,no,3,3,1176,4,0.0,70,172.8,4,12.86,4.167252948602599,1.0,2,2,1,0,1,0,0,0,True,False,False,False,4,0,2.0,0,3,2,0,1,3,True,0_tours,0
423641,1,one,0,1.0,6,gt150,29,1,0.0,3,lt35,200000.0,two,no,6001,rent recent,2013000228674,2,no,asian,one,no,60014419251004,0,no,7,2,778,4,0.0,72,200.0,4,12.86,4.306988336250705,1.0,2,2,0,0,0,0,0,2,True,False,False,False,3,0,1.0,0,2,2,0,0,2,True,0_tours,0
2568646,0,none,0,0.0,1,lt30,75,0,1.0,2,gt65,22000.0,one,no,6097,own not recent,2013000086403,1,yes,white,none,yes,60971527015008,1,no,2,1,1367,1,0.0,74,22.0,1,6.01,2.811549421200432,1.0,1,1,0,0,0,0,0,0,False,True,False,False,2,0,0.0,0,1,1,0,0,1,False,0_tours,0
1046561,1,none,0,0.0,1,gt100-lt150,68,0,2.0,1,gt65,145000.0,two,no,6055,own not recent,2009000642005,1,yes,white,one,yes,60552013001001,1,no,4,2,1310,4,0.0,76,145.0,4,12.86,9.189118637502215,2.0,2,2,0,0,0,0,0,0,True,False,False,False,1,0,0.0,0,2,2,0,0,2,True,0_tours,0
947301,0,none,0,0.0,1,gt30-lt60,85,0,1.0,2,gt65,38400.0,one,no,6041,rent not recent,2011000111059,2,no,white,one,yes,60411101002037,1,no,6,1,1427,1,0.0,78,38.4,2,8.81,2.4085963733213953,1.0,1,1,0,0,0,0,0,0,False,True,False,False,2,0,0.0,0,1,1,0,0,1,False,0_tours,0
2682444,1,none,0,0.0,2,lt30,86,0,1.0,2,gt65,19800.0,two,no,6041,own not recent,2009000730998,1,yes,black,one,yes,60411050002045,1,no,4,2,1407,4,0.0,80,19.8,1,6.01,7.1076583252961365,2.0,2,2,0,0,0,0,0,0,True,False,False,False,2,0,0.0,0,2,2,0,0,2,True,0_tours,0
652730,1,two or more,0,2.0,6,gt150,44,1,0.0,2,gt35-lt65,157000.0,four or more,yes,6013,own recent,2009001110187,1,yes,asian,two or more,no,60133830003031,0,no,3,4,1049,4,0.0,82,157.0,4,12.86,4.644182956772456,2.0,2,2,2,0,2,0,0,0,True,False,True,False,2,0,1.4170651,0,4,2,0,2,4,True,0_tours,0
1625098,0,one,0,1.0,6,lt30,22,1,0.0,1,lt35,25004.0,one,no,6081,rent recent,2009001194188,2,no,asian,one,no,60816080012001,0,no,5,1,270,1,0.0,84,25.004,1,6.01,5.470763832270295,0.0,1,1,0,0,0,0,1,0,False,True,True,False,1,0,1.0,0,1,1,0,0,1,False,0_tours,0
1042672,1,one,0,1.0,1,gt60-lt100,63,0,0.0,2,gt35-lt65,92100.0,two,no,6055,own not recent,2011000059914,1,yes,white,two or more,no,60552011011003,1,no,4,2,1308,4,0.0,86,92.1,3,10.44,11.95599645001086,1.0,2,2,0,0,0,0,0,0,True,False,False,False,2,0,1.0,0,2,2,0,0,2,True,0_tours,0
1841599,1,none,0,0.0,1,gt30-lt60,66,0,1.0,3,gt65,38100.0,two,no,6085,own not recent,2011000002447,1,yes,white,two or more,yes,60855044202007,1,no,4,2,615,4,0.0,88,38.1,2,8.81,11.235786520475886,2.0,2,2,0,0,0,0,0,0,True,False,False,False,3,0,0.0,0,2,2,0,0,2,True,0_tours,0
1704337,1,two or more,0,2.0,1,gt150,64,0,0.0,2,gt35-lt65,613000.0,two,no,6085,own not recent,2011001397168,1,yes,white,two or more,no,60855016005000,1,no,4,2,555,4,0.0,90,613.0,4,12.86,18.483818566067274,0.0,2,2,0,0,0,0,0,0,True,False,True,False,2,0,0.9327349,0,2,2,0,0,2,True,0_tours,0
2247096,0,one,0,1.0,1,gt100-lt150,56,0,0.0,1,gt35-lt65,101100.0,one,no,6085,rent not recent,2009000820923,2,no,white,one,no,60855097002003,1,no,6,1,390,1,0.0,92,101.1,4,12.86,13.73782619778899,0.0,1,1,0,0,0,0,0,0,False,True,False,False,1,0,1.0,0,1,1,0,0,1,False,0_tours,0
2625783,0,none,0,0.0,1,gt30-lt60,78,0,1.0,2,gt65,45100.0,one,no,6013,own not recent,2011000628052,1,no,white,none,yes,60133072052024,1,no,2,1,1193,1,0.0,94,45.1,2,8.81,10.867697734332218,1.0,1,1,0,0,0,0,0,0,False,True,False,False,1,0,0.0,0,1,1,0,0,1,False,0_tours,0
