trip_id,person_id,household_id,tour_id,primary_purpose,trip_num,outbound,trip_count,purpose,destination,origin,destination_logsum,depart,trip_mode,mode_choice_logsum
59445070,181234,70786,7430633,work,2,False,2,Home,1039,991,,18.0,DRIVEALONEFREE,-0.47798695891133347
61046625,186117,72394,7630828,univ,1,True,1,univ,1019,1038,,15.0,WALK_LOC,-1.8765830713648073
61046629,186117,72394,7630828,univ,1,False,4,shopping,991,1019,7.125373558997561,15.0,WALK_LOC,-2.198886331673671
61046630,186117,72394,7630828,univ,2,False,4,work,979,991,9.629535548025858,18.0,WALK_LOC,-1.8322423934969372
61046631,186117,72394,7630828,univ,3,False,4,eatout,974,979,7.341238185986272,18.0,WALK_LOC,-1.2930801999763275
61046632,186117,72394,7630828,univ,4,False,4,Home,1038,974,,18.0,WALK_LOC,-2.6372329251851703
61046689,186117,72394,7630836,work,1,True,1,work,106,1038,,7.0,DRIVEALONEFREE,-1.4363742656012344
61046693,186117,72394,7630836,work,1,False,1,Home,1038,106,,13.0,SHARED3FREE,-2.0702252195424
64002865,195130,75961,8000358,othmaint,1,True,1,othmaint,846,1031,,11.0,TNC_SHARED,-0.6855880861430863
64002869,195130,75961,8000358,othmaint,1,False,1,Home,1031,846,,16.0,DRIVEALONEFREE,-0.6669986698882628
65721953,200371,77895,8215244,shopping,1,True,1,shopping,1018,1033,,18.0,WALK_LOC,-1.1058207114724008
65721957,200371,77895,8215244,shopping,1,False,1,Home,1033,1018,,18.0,TNC_SINGLE,-1.1199519421037771
65722001,200371,77895,8215250,work,1,True,1,work,945,1033,,6.0,WALK_LOC,-2.23675432382063
65722005,200371,77895,8215250,work,1,False,1,Home,1033,945,,16.0,WALK_LOC,-1.7964208352031215
75225017,229344,92406,9403127,atwork,1,True,1,atwork,998,973,,10.0,DRIVEALONEFREE,-0.12042599607800038
75225021,229344,92406,9403127,atwork,1,False,2,eatout,991,998,12.037309008262314,16.0,DRIVEALONEFREE,-0.3174396981949626
75225022,229344,92406,9403127,atwork,2,False,2,Work,973,991,,16.0,DRIVEALONEFREE,-0.4740572486734663
75225145,229344,92406,9403143,work,1,True,1,work,973,1021,,7.0,DRIVEALONEFREE,-0.2739641836782297
75225149,229344,92406,9403143,work,1,False,1,Home,1021,973,,17.0,DRIVEALONEFREE,-0.7921768555826878
85313657,260102,103455,10664207,othdiscr,1,True,1,othdiscr,837,834,,17.0,SHARED2FREE,0.6812522749350841
85313661,260102,103455,10664207,othdiscr,1,False,1,Home,834,837,,20.0,SHARED2FREE,0.6800148573589495
85313721,260102,103455,10664215,shopping,1,True,1,shopping,858,834,,17.0,TNC_SINGLE,0.25846884942024195
85313725,260102,103455,10664215,shopping,1,False,2,escort,865,858,13.692347826190517,17.0,TNC_SINGLE,0.09304285549885533
85313726,260102,103455,10664215,shopping,2,False,2,Home,834,865,,17.0,DRIVEALONEFREE,-0.05453561716256233
85314313,260104,103455,10664289,othdiscr,1,True,1,othdiscr,1161,834,,16.0,SHARED3FREE,-0.40483714270556237
85314317,260104,103455,10664289,othdiscr,1,False,1,Home,834,1161,,16.0,SHARED3FREE,-0.38099486172055536
