alternative,probability_1,probability_2
37,0.000366935051591961,0.000366935051591961
38,0.00031896379971795046,0.00031896379971795046
39,0.0008097735832181198,0.0008097735832181198
40,0.002750235760817996,0.002750235760817996
41,0.00032516431590973426,0.00032516431590973426
42,0.0020107646377121586,0.0020107646377121586
43,0.0009355262901333175,0.0009355262901333175
44,0.0007796729603085343,0.0007796729603085343
45,0.0007539426339561146,0.0007539426339561146
46,0.0024128306693344875,0.0024128306693344875
47,0.00021010494583218551,0.00021010494583218551
48,0.00024517989970193756,0.00024517989970193756
49,0.0006694092269001037,0.0006694092269001037
50,0.00039770239131202764,0.00039770239131202764
51,0.0011586937976048304,0.0011586937976048304
52,0.0007030858776718743,0.0007030858776718743
53,0.00018825480083049315,0.00018825480083049315
54,3.9756230634650094e-05,3.9756230634650094e-05
55,0.0009712745301713162,0.0009712745301713162
56,6.740792692235044e-05,6.740792692235044e-05
57,0.00014309390352711836,0.00014309390352711836
58,0.00022715118176064623,0.00022715118176064623
59,3.736154142501476e-05,3.736154142501476e-05
60,0.00013484592971606095,0.00013484592971606095
61,0.0002935149620182413,0.0002935149620182413
62,0.00012928028399990008,0.00012928028399990008
63,0.00013536891589540964,0.00013536891589540964
64,0.00038384123202447266,0.00038384123202447266
65,0.00038403730764331165,0.00038403730764331165
66,0.00032719018294448925,0.00032719018294448925
67,6.704559720681686e-05,6.704559720681686e-05
68,0.002836483501963185,0.002836483501963185
69,0.0006308536854107238,0.0006308536854107238
70,0.0016885074483104295,0.0016885074483104295
71,0.00037501962779790956,0.00037501962779790956
72,0.0006672127686677018,0.0006672127686677018
73,0.001091827595925183,0.001091827595925183
74,0.0015214169991589145,0.0015214169991589145
75,0.0016069929074652627,0.0016069929074652627
76,0.001211170130019572,0.001211170130019572
77,0.00029054175106131005,0.00029054175106131005
78,0.003474429417929805,0.003474429417929805
79,0.00010317316550419284,0.00010317316550419284
80,0.0006189450449121808,0.0006189450449121808
81,0.0008704469078893859,0.0008704469078893859
82,9.9430595065758e-05,9.9430595065758e-05
83,0.0001751230178580792,0.0001751230178580792
84,0.0004047776506083151,0.0004047776506083151
85,0.00020877908911850172,0.00020877908911850172
86,0.0007647448929988705,0.0007647448929988705
87,0.0003730853787835202,0.0003730853787835202
88,0.0002561601138667929,0.0002561601138667929
89,0.003432353354199484,0.003432353354199484
90,0.0015637553534635243,0.0015637553534635243
91,0.0006152023424956404,0.0006152023424956404
92,0.0022674696253451847,0.0022674696253451847
93,0.00024828148749828256,0.00024828148749828256
94,0.00012434771452924344,0.00012434771452924344
95,5.502373477389414e-05,5.502373477389414e-05
96,0.00016242240987308823,0.00016242240987308823
97,0.00010598924908025228,0.00010598924908025228
98,0.00025593561124424434,0.00025593561124424434
99,0.0006569087830213636,0.0006569087830213636
100,0.0007506621203038467,0.0007506621203038467
101,0.000356379175174648,0.000356379175174648
102,0.00023637692562008777,0.00023637692562008777
103,0.000379682750146022,0.000379682750146022
104,0.0004422435182233034,0.0004422435182233034
105,0.020308146779383727,0.020308146779383727
106,0.0030894882149982103,0.0030894882149982103
107,0.001398831170549738,0.001398831170549738
108,0.0037989159898406347,0.0037989159898406347
109,0.0005768875248955326,0.0005768875248955326
110,0.0012881707747621827,0.0012881707747621827
111,0.00037839759114557763,0.00037839759114557763
112,0.00020636283091323896,0.00020636283091323896
113,0.0003572411644789983,0.0003572411644789983
114,0.00012361418188809147,0.00012361418188809147
115,0.0010363821257763097,0.0010363821257763097
116,0.00010644888008372688,0.00010644888008372688
117,0.00016599324254158956,0.00016599324254158956
118,8.265267427220161e-05,8.265267427220161e-05
119,0.0008088717847189055,0.0008088717847189055
