tour_id,tdd,start,end,duration,mode_choice_logsum
20976634,0,5,5,0,0
20976634,1,5,6,1,0
20976634,2,5,7,2,0
20976634,3,5,8,3,0
20976634,4,5,9,4,0
20976634,5,5,10,5,0
20976634,6,5,11,6,0
20976634,7,5,12,7,0
20976634,8,5,13,8,0
20976634,9,5,14,9,0
20976634,10,5,15,10,0
20976634,11,5,16,11,0
20976634,12,5,17,12,0
20976634,13,5,18,13,0
20976634,14,5,19,14,0
20976634,15,5,20,15,0
20976634,16,5,21,16,0
20976634,17,5,22,17,0
20976634,18,5,23,18,0
20976634,19,6,6,0,0
20976634,20,6,7,1,0
20976634,21,6,8,2,0
20976634,22,6,9,3,0
20976634,23,6,10,4,0
20976634,24,6,11,5,0
20976634,25,6,12,6,0
20976634,26,6,13,7,0
20976634,27,6,14,8,0
20976634,28,6,15,9,0
20976634,29,6,16,10,0
20976634,30,6,17,11,0
20976634,31,6,18,12,0
20976634,32,6,19,13,0
20976634,33,6,20,14,0
20976634,34,6,21,15,0
20976634,35,6,22,16,0
20976634,36,6,23,17,0
20976634,37,7,7,0,0
20976634,38,7,8,1,0
20976634,39,7,9,2,0
20976634,40,7,10,3,0
20976634,41,7,11,4,0
20976634,42,7,12,5,0
20976634,43,7,13,6,0
20976634,44,7,14,7,0
20976634,45,7,15,8,0
20976634,46,7,16,9,0
20976634,47,7,17,10,0
20976634,48,7,18,11,0
20976634,49,7,19,12,0
20976634,50,7,20,13,0
20976634,51,7,21,14,0
20976634,52,7,22,15,0
20976634,53,7,23,16,0
20976634,54,8,8,0,0
20976634,55,8,9,1,0
20976634,56,8,10,2,0
20976634,57,8,11,3,0
20976634,58,8,12,4,0
20976634,59,8,13,5,0
20976634,60,8,14,6,0
20976634,61,8,15,7,0
20976634,62,8,16,8,0
20976634,63,8,17,9,0
20976634,64,8,18,10,0
20976634,65,8,19,11,0
20976634,66,8,20,12,0
20976634,67,8,21,13,0
20976634,68,8,22,14,0
20976634,69,8,23,15,0
20976634,70,9,9,0,0
20976634,71,9,10,1,0
20976634,72,9,11,2,0
20976634,73,9,12,3,0
20976634,74,9,13,4,0
20976634,75,9,14,5,0
20976634,76,9,15,6,0
20976634,77,9,16,7,0
20976634,78,9,17,8,0
20976634,79,9,18,9,0
20976634,80,9,19,10,0
20976634,81,9,20,11,0
20976634,82,9,21,12,0
20976634,83,9,22,13,0
20976634,84,9,23,14,0
20976634,85,10,10,0,0
20976634,86,10,11,1,0
20976634,87,10,12,2,0
20976634,88,10,13,3,0
20976634,89,10,14,4,0
20976634,90,10,15,5,0
20976634,91,10,16,6,0
20976634,92,10,17,7,0
20976634,93,10,18,8,0
20976634,94,10,19,9,0
20976634,95,10,20,10,0
20976634,96,10,21,11,0
20976634,97,10,22,12,0
20976634,98,10,23,13,0
20976634,99,11,11,0,0
20976634,100,11,12,1,0
20976634,101,11,13,2,0
20976634,102,11,14,3,0
20976634,103,11,15,4,0
20976634,104,11,16,5,0
20976634,105,11,17,6,0
20976634,106,11,18,7,0
20976634,107,11,19,8,0
20976634,108,11,20,9,0
20976634,109,11,21,10,0
20976634,110,11,22,11,0
20976634,111,11,23,12,0
20976634,112,12,12,0,0
20976634,113,12,13,1,0
20976634,114,12,14,2,0
20976634,115,12,15,3,0
20976634,116,12,16,4,0
20976634,117,12,17,5,0
20976634,118,12,18,6,0
20976634,119,12,19,7,0
20976634,120,12,20,8,0
20976634,121,12,21,9,0
20976634,122,12,22,10,0
20976634,123,12,23,11,0
20976634,124,13,13,0,0
20976634,125,13,14,1,0
20976634,126,13,15,2,0
20976634,127,13,16,3,0
20976634,128,13,17,4,0
20976634,129,13,18,5,0
20976634,130,13,19,6,0
20976634,131,13,20,7,0
20976634,132,13,21,8,0
20976634,133,13,22,9,0
20976634,134,13,23,10,0
20976634,135,14,14,0,0
20976634,136,14,15,1,0
20976634,137,14,16,2,0
20976634,138,14,17,3,0
20976634,139,14,18,4,0
20976634,140,14,19,5,0
20976634,141,14,20,6,0
20976634,142,14,21,7,0
20976634,143,14,22,8,0
20976634,144,14,23,9,0
20976634,145,15,15,0,0
20976634,146,15,16,1,0
20976634,147,15,17,2,0
20976634,148,15,18,3,0
20976634,149,15,19,4,0
20976634,150,15,20,5,0
20976634,151,15,21,6,0
20976634,152,15,22,7,0
20976634,153,15,23,8,0
20976634,154,16,16,0,0
20976634,155,16,17,1,0
20976634,156,16,18,2,0
20976634,157,16,19,3,0
20976634,158,16,20,4,0
20976634,159,16,21,5,0
20976634,160,16,22,6,0
20976634,161,16,23,7,0
20976634,162,17,17,0,0
20976634,163,17,18,1,0
20976634,164,17,19,2,0
20976634,165,17,20,3,0
20976634,166,17,21,4,0
20976634,167,17,22,5,0
20976634,168,17,23,6,0
20976634,169,18,18,0,0
20976634,170,18,19,1,0
20976634,171,18,20,2,0
20976634,172,18,21,3,0
20976634,173,18,22,4,0
20976634,174,18,23,5,0
20976634,175,19,19,0,0
20976634,176,19,20,1,0
20976634,177,19,21,2,0
20976634,178,19,22,3,0
20976634,179,19,23,4,0
20976634,180,20,20,0,0
20976634,181,20,21,1,0
20976634,182,20,22,2,0
20976634,183,20,23,3,0
20976634,184,21,21,0,0
20976634,185,21,22,1,0
20976634,186,21,23,2,0
20976634,187,22,22,0,0
20976634,188,22,23,1,0
20976634,189,23,23,0,0
