alternative,probability
person_id,511627.0
0,0.3213136388394883
1,0.06616045472202996
2,0.013257757824248779
3,0.003253809603516362
4,0.023570192613221134
5,0.005784757882766271
6,0.0011591957673787315
7,0.00021667186700847178
8,0.07781100572312963
9,0.019096909223828867
10,0.0038267904709077196
11,0.0007152871493455882
12,0.006803427071564043
13,0.0012716672085381592
14,0.0002548267836832681
15,0.0
16,0.15446736856750767
17,0.03791043809501303
18,0.007596794934172375
19,0.0014199601033652197
20,0.013505897619738078
21,0.002524464059691334
22,0.0005058721751539486
23,0.0
24,0.04458629143301787
25,0.008333877054797345
26,0.0016700085299259087
27,0.0
28,0.0029690105399331596
29,0.0
30,0.0
31,0.0
32,0.046227874011859564
33,0.011345561022001559
34,0.002273513703040613
35,0.00042495536351126956
36,0.004041947107485446
37,0.0007555032987298949
38,0.0001513937564677413
39,0.0
40,0.01334346200194909
41,0.0024941022954704374
42,0.0004997880434948058
43,0.0
44,0.0008885439459009734
45,0.0
46,0.0
47,0.0
48,0.026488919451261184
49,0.004951194435017818
50,0.0009921596977533658
51,0.0
52,0.0017639027269263894
53,0.0
54,0.0
55,0.0
56,0.005823076944349008
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.029554220582966865
65,0.005524147285468363
66,0.001106972544308017
67,0.0
68,0.001968021775082156
69,0.0
70,0.0
71,0.0
72,0.006496924149795224
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.012897439994188986
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
