alternative,probability
person_id,511625.0
0,0.1773193442126298
1,0.045214880661751035
2,0.015104237267744897
3,0.002535945727046729
4,0.004476651330305941
5,0.0007516132467549865
6,0.0002510798358065987
7,3.983460701431727e-05
8,0.04228200543837744
9,0.007098992760885622
10,0.002371450935026472
11,0.00037623816244359697
12,0.0007028596542052696
13,0.0001115108986014003
14,3.7250724667726316e-05
15,4.331972213750175e-06
16,0.10358457072531245
17,0.017391467365239912
18,0.00580969905646662
19,0.000921727059611672
20,0.0017219007189028044
21,0.0002731849741529938
22,9.125868756478051e-05
23,1.0612682097335094e-05
24,0.016263365223044692
25,0.0025802341327374463
26,0.0008619389894833592
27,0.00010023686212002274
28,0.00025546475836640093
29,2.970858271099504e-05
30,9.92428765901592e-06
31,0.0
32,0.12375147627371977
33,0.020777416423551687
34,0.0069407907945125335
35,0.0011011783275219555
36,0.0020571379933221087
37,0.0003263714239534874
38,0.0001090258638894376
39,1.267886778477484e-05
40,0.019429683797865485
41,0.0030825805505807075
42,0.0010297501033170607
43,0.00011975200145678574
44,0.0003052012549975825
45,3.549255398504193e-05
46,1.185644966396683e-05
47,0.0
48,0.04759981071530953
49,0.007551859940121923
50,0.0025227332833562296
51,0.00029337443992519735
52,0.0007476972924055419
53,8.69514331301933e-05
54,2.90465231257349e-05
55,0.0
56,0.007062006542642814
57,0.0008212569389973673
58,0.00027434462908782
59,0.0
60,8.131130536402415e-05
61,0.0
62,0.0
63,0.0
64,0.16301067720739693
65,0.025862157527839682
66,0.008639371769629204
67,0.0010046923592527193
68,0.0025605698877698125
69,0.000297774545438428
70,9.947294609143226e-05
71,0.0
72,0.02418460182214586
73,0.002812482818217949
74,0.0009395227229639801
75,0.0
76,0.0002784593205901962
77,0.0
78,0.0
79,0.0
80,0.05924864660359215
81,0.006890161012395985
82,0.0023016897362339293
83,0.0
84,0.0006821835645860154
85,0.0
86,0.0
87,0.0
88,0.006443228891320952
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
