tour_id,utility
20976638,7.700374140050288
20976638,7.740120605097756
20976638,7.630741696356512
20976638,8.221205560513955
20976638,7.55388418015374
20976638,8.166481214735109
20976638,7.600159239040228
20976638,7.89105043117224
20976638,7.5917370241656705
20976638,6.985952470420514
20976638,8.787874563406314
20976638,8.903743312977175
20976638,9.093299161133753
20976638,9.804934529214409
20976638,9.448357397650955
20976638,9.67097873800336
20976638,9.73028490008356
20976638,10.056184857225228
20976638,9.627444138436319
20976638,9.61778294041794
20976638,9.407672353259194
20976638,9.382683457545333
20976638,9.483003791340645
20976638,9.75249367693091
20976638,9.050432192826669
20976638,7.4642812713824185
20976638,8.291325438035786
20976638,6.695761077764847
