process,time,rss,used,available,percent,event
mp_households_1, 15/08/2022 22:22:53, 2.47, 1.12, 115.02, 7.0%, non_mandatory_tour_frequency.PTYPE_NONWORK.interaction_simulate.interaction_simulate.add.choices
mp_households_1, 15/08/2022 22:22:53, 2.44, 1.09, 115.05, 7.0%, non_mandatory_tour_frequency.PTYPE_RETIRED.interaction_simulate.interaction_simulate.add.interaction_df
mp_households_0, 15/08/2022 22:22:54, 2.43, 1.09, 115.05, 7.0%, non_mandatory_tour_frequency.PTYPE_NONWORK.interaction_simulate.interaction_simulate.add.interaction_utilities
mp_households_0, 15/08/2022 22:22:54, 2.43, 1.09, 115.05, 7.0%, non_mandatory_tour_frequency.PTYPE_NONWORK.interaction_simulate.interaction_simulate.add.utilities
mp_households_1, 15/08/2022 22:22:54, 2.44, 1.09, 115.05, 7.0%, non_mandatory_tour_frequency.PTYPE_RETIRED.interaction_simulate.interaction_simulate.add.interaction_utilities
mp_households_1, 15/08/2022 22:22:54, 2.44, 1.09, 115.05, 7.0%, non_mandatory_tour_frequency.PTYPE_RETIRED.interaction_simulate.interaction_simulate.add.utilities
mp_households_0, 15/08/2022 22:22:54, 2.43, 1.09, 115.05, 7.0%, non_mandatory_tour_frequency.PTYPE_NONWORK.interaction_simulate.interaction_simulate.add.probs
mp_households_1, 15/08/2022 22:22:54, 2.44, 1.09, 115.05, 7.0%, non_mandatory_tour_frequency.PTYPE_RETIRED.interaction_simulate.interaction_simulate.add.probs
mp_households_0, 15/08/2022 22:22:54, 2.43, 1.09, 115.05, 7.0%, non_mandatory_tour_frequency.PTYPE_NONWORK.interaction_simulate.interaction_simulate.add.positions
mp_households_0, 15/08/2022 22:22:54, 2.43, 1.09, 115.05, 7.0%, non_mandatory_tour_frequency.PTYPE_NONWORK.interaction_simulate.interaction_simulate.add.rands
mp_households_1, 15/08/2022 22:22:54, 2.44, 1.09, 115.05, 7.0%, non_mandatory_tour_frequency.PTYPE_RETIRED.interaction_simulate.interaction_simulate.add.positions
mp_households_0, 15/08/2022 22:22:54, 2.43, 1.09, 115.05, 7.0%, non_mandatory_tour_frequency.PTYPE_NONWORK.interaction_simulate.interaction_simulate.add.choices
mp_households_1, 15/08/2022 22:22:54, 2.44, 1.09, 115.05, 7.0%, non_mandatory_tour_frequency.PTYPE_RETIRED.interaction_simulate.interaction_simulate.add.rands
mp_households_1, 15/08/2022 22:22:54, 2.44, 1.09, 115.05, 7.0%, non_mandatory_tour_frequency.PTYPE_RETIRED.interaction_simulate.interaction_simulate.add.choices
mp_households_1, 15/08/2022 22:22:54, 2.44, 1.05, 115.10, 6.9%, non_mandatory_tour_frequency.PTYPE_DRIVING.interaction_simulate.interaction_simulate.add.interaction_df
mp_households_0, 15/08/2022 22:22:54, 2.39, 1.05, 115.10, 6.9%, non_mandatory_tour_frequency.PTYPE_RETIRED.interaction_simulate.interaction_simulate.add.interaction_df
mp_households_1, 15/08/2022 22:22:55, 2.44, 1.06, 115.09, 7.0%, non_mandatory_tour_frequency.PTYPE_DRIVING.interaction_simulate.interaction_simulate.add.interaction_utilities
mp_households_1, 15/08/2022 22:22:55, 2.44, 1.06, 115.09, 7.0%, non_mandatory_tour_frequency.PTYPE_DRIVING.interaction_simulate.interaction_simulate.add.utilities
mp_households_1, 15/08/2022 22:22:55, 2.44, 1.06, 115.09, 7.0%, non_mandatory_tour_frequency.PTYPE_DRIVING.interaction_simulate.interaction_simulate.add.probs
mp_households_1, 15/08/2022 22:22:55, 2.44, 1.06, 115.09, 7.0%, non_mandatory_tour_frequency.PTYPE_DRIVING.interaction_simulate.interaction_simulate.add.positions
mp_households_1, 15/08/2022 22:22:55, 2.44, 1.06, 115.09, 7.0%, non_mandatory_tour_frequency.PTYPE_DRIVING.interaction_simulate.interaction_simulate.add.rands
mp_households_1, 15/08/2022 22:22:55, 2.44, 1.06, 115.09, 7.0%, non_mandatory_tour_frequency.PTYPE_DRIVING.interaction_simulate.interaction_simulate.add.choices
mp_households_0, 15/08/2022 22:22:55, 2.40, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_RETIRED.interaction_simulate.interaction_simulate.add.interaction_utilities
mp_households_1, 15/08/2022 22:22:55, 2.45, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_SCHOOL.interaction_simulate.interaction_simulate.add.interaction_df
mp_households_0, 15/08/2022 22:22:55, 2.40, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_RETIRED.interaction_simulate.interaction_simulate.add.utilities
mp_households_0, 15/08/2022 22:22:55, 2.40, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_RETIRED.interaction_simulate.interaction_simulate.add.probs
mp_households_0, 15/08/2022 22:22:55, 2.40, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_RETIRED.interaction_simulate.interaction_simulate.add.positions
mp_households_0, 15/08/2022 22:22:55, 2.40, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_RETIRED.interaction_simulate.interaction_simulate.add.rands
mp_households_0, 15/08/2022 22:22:55, 2.40, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_RETIRED.interaction_simulate.interaction_simulate.add.choices
mp_households_0, 15/08/2022 22:22:56, 2.40, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_DRIVING.interaction_simulate.interaction_simulate.add.interaction_df
mp_households_1, 15/08/2022 22:22:56, 2.45, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_SCHOOL.interaction_simulate.interaction_simulate.add.interaction_utilities
mp_households_1, 15/08/2022 22:22:56, 2.45, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_SCHOOL.interaction_simulate.interaction_simulate.add.utilities
mp_households_1, 15/08/2022 22:22:56, 2.45, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_SCHOOL.interaction_simulate.interaction_simulate.add.probs
mp_households_1, 15/08/2022 22:22:56, 2.45, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_SCHOOL.interaction_simulate.interaction_simulate.add.positions
mp_households_1, 15/08/2022 22:22:56, 2.45, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_SCHOOL.interaction_simulate.interaction_simulate.add.rands
mp_households_1, 15/08/2022 22:22:56, 2.45, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_SCHOOL.interaction_simulate.interaction_simulate.add.choices
mp_households_1, 15/08/2022 22:22:56, 2.45, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_PRESCHOOL.interaction_simulate.interaction_simulate.add.interaction_df
mp_households_0, 15/08/2022 22:22:56, 2.40, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_DRIVING.interaction_simulate.interaction_simulate.add.interaction_utilities
mp_households_0, 15/08/2022 22:22:56, 2.40, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_DRIVING.interaction_simulate.interaction_simulate.add.utilities
mp_households_0, 15/08/2022 22:22:56, 2.40, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_DRIVING.interaction_simulate.interaction_simulate.add.probs
mp_households_0, 15/08/2022 22:22:56, 2.40, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_DRIVING.interaction_simulate.interaction_simulate.add.positions
mp_households_0, 15/08/2022 22:22:56, 2.40, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_DRIVING.interaction_simulate.interaction_simulate.add.rands
mp_households_0, 15/08/2022 22:22:56, 2.40, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_DRIVING.interaction_simulate.interaction_simulate.add.choices
mp_households_1, 15/08/2022 22:22:57, 2.45, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_PRESCHOOL.interaction_simulate.interaction_simulate.add.interaction_utilities
mp_households_1, 15/08/2022 22:22:57, 2.45, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_PRESCHOOL.interaction_simulate.interaction_simulate.add.utilities
mp_households_1, 15/08/2022 22:22:57, 2.45, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_PRESCHOOL.interaction_simulate.interaction_simulate.add.probs
mp_households_1, 15/08/2022 22:22:57, 2.45, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_PRESCHOOL.interaction_simulate.interaction_simulate.add.positions
mp_households_1, 15/08/2022 22:22:57, 2.45, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_PRESCHOOL.interaction_simulate.interaction_simulate.add.rands
mp_households_1, 15/08/2022 22:22:57, 2.45, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_PRESCHOOL.interaction_simulate.interaction_simulate.add.choices
mp_households_0, 15/08/2022 22:22:57, 2.40, 1.07, 115.07, 7.0%, non_mandatory_tour_frequency.PTYPE_SCHOOL.interaction_simulate.interaction_simulate.add.interaction_df
mp_households_1, 15/08/2022 22:22:57, 2.45, 1.09, 115.06, 7.0%, non_mandatory_tour_destination.sample.shopping.interaction_sample.add.interaction_df
mp_households_1, 15/08/2022 22:22:57, 2.55, 1.09, 115.06, 7.0%, non_mandatory_tour_destination.sample.shopping.interaction_sample.add.interaction_utilities
mp_households_1, 15/08/2022 22:22:57, 2.55, 1.09, 115.06, 7.0%, non_mandatory_tour_destination.sample.shopping.interaction_sample.del.interaction_df
mp_households_1, 15/08/2022 22:22:57, 2.55, 1.09, 115.06, 7.0%, non_mandatory_tour_destination.sample.shopping.interaction_sample.add.utilities
mp_households_1, 15/08/2022 22:22:57, 2.55, 1.09, 115.06, 7.0%, non_mandatory_tour_destination.sample.shopping.interaction_sample.del.interaction_utilities
mp_households_1, 15/08/2022 22:22:57, 2.55, 1.09, 115.06, 7.0%, non_mandatory_tour_destination.sample.shopping.interaction_sample.add.probs
mp_households_1, 15/08/2022 22:22:57, 2.55, 1.09, 115.06, 7.0%, non_mandatory_tour_destination.sample.shopping.interaction_sample.del.utilities
mp_households_1, 15/08/2022 22:22:57, 2.55, 1.09, 115.06, 7.0%, non_mandatory_tour_destination.sample.shopping.interaction_sample.add.choices_df
mp_households_1, 15/08/2022 22:22:57, 2.55, 1.09, 115.06, 7.0%, non_mandatory_tour_destination.sample.shopping.interaction_sample.del.probs
, 15/08/2022 22:22:57, 11.82, 1.09, 115.06, 7.0%, mp_households_1.non_mandatory_tour_frequency.completed
mp_households_1, 15/08/2022 22:22:57, 2.55, 1.09, 115.06, 7.0%, non_mandatory_tour_destination.sample.shopping.interaction_sample.add.choices_df
mp_households_1, 15/08/2022 22:22:57, 2.55, 1.09, 115.06, 7.0%, non_mandatory_tour_destination.sample.shopping.interaction_sample.add.choices_df
mp_households_0, 15/08/2022 22:22:58, 2.41, 1.09, 115.06, 7.0%, non_mandatory_tour_frequency.PTYPE_SCHOOL.interaction_simulate.interaction_simulate.add.interaction_utilities
mp_households_0, 15/08/2022 22:22:58, 2.41, 1.09, 115.06, 7.0%, non_mandatory_tour_frequency.PTYPE_SCHOOL.interaction_simulate.interaction_simulate.add.utilities
mp_households_0, 15/08/2022 22:22:58, 2.41, 1.09, 115.06, 7.0%, non_mandatory_tour_frequency.PTYPE_SCHOOL.interaction_simulate.interaction_simulate.add.probs
mp_households_0, 15/08/2022 22:22:58, 2.41, 1.09, 115.06, 7.0%, non_mandatory_tour_frequency.PTYPE_SCHOOL.interaction_simulate.interaction_simulate.add.positions
mp_households_0, 15/08/2022 22:22:58, 2.41, 1.09, 115.06, 7.0%, non_mandatory_tour_frequency.PTYPE_SCHOOL.interaction_simulate.interaction_simulate.add.rands
mp_households_0, 15/08/2022 22:22:58, 2.41, 1.09, 115.06, 7.0%, non_mandatory_tour_frequency.PTYPE_SCHOOL.interaction_simulate.interaction_simulate.add.choices
mp_households_0, 15/08/2022 22:22:58, 2.37, 1.05, 115.10, 6.9%, non_mandatory_tour_frequency.PTYPE_PRESCHOOL.interaction_simulate.interaction_simulate.add.interaction_df
mp_households_0, 15/08/2022 22:22:58, 2.37, 1.05, 115.10, 6.9%, non_mandatory_tour_frequency.PTYPE_PRESCHOOL.interaction_simulate.interaction_simulate.add.interaction_utilities
mp_households_0, 15/08/2022 22:22:58, 2.37, 1.05, 115.10, 6.9%, non_mandatory_tour_frequency.PTYPE_PRESCHOOL.interaction_simulate.interaction_simulate.add.utilities
mp_households_0, 15/08/2022 22:22:58, 2.37, 1.05, 115.10, 6.9%, non_mandatory_tour_frequency.PTYPE_PRESCHOOL.interaction_simulate.interaction_simulate.add.probs
mp_households_0, 15/08/2022 22:22:58, 2.37, 1.05, 115.10, 6.9%, non_mandatory_tour_frequency.PTYPE_PRESCHOOL.interaction_simulate.interaction_simulate.add.positions
mp_households_0, 15/08/2022 22:22:58, 2.37, 1.05, 115.10, 6.9%, non_mandatory_tour_frequency.PTYPE_PRESCHOOL.interaction_simulate.interaction_simulate.add.rands
mp_households_0, 15/08/2022 22:22:58, 2.37, 1.05, 115.10, 6.9%, non_mandatory_tour_frequency.PTYPE_PRESCHOOL.interaction_simulate.interaction_simulate.add.choices
mp_households_1, 15/08/2022 22:22:59, 2.59, 1.05, 115.10, 6.9%, non_mandatory_tour_destination.logsums.shopping.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.raw_utilities
mp_households_0, 15/08/2022 22:22:59, 2.39, 1.07, 115.08, 7.0%, non_mandatory_tour_destination.sample.shopping.interaction_sample.add.interaction_df
mp_households_1, 15/08/2022 22:22:59, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.logsums.shopping.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.nested_exp_utilities
mp_households_1, 15/08/2022 22:22:59, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.logsums.shopping.compute_logsums.simple_simulate_logsums.eval_nl_logsums.del.raw_utilities
mp_households_0, 15/08/2022 22:22:59, 2.53, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.shopping.interaction_sample.add.interaction_utilities
mp_households_1, 15/08/2022 22:22:59, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.logsums.shopping.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.logsums
mp_households_0, 15/08/2022 22:22:59, 2.53, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.shopping.interaction_sample.del.interaction_df
mp_households_1, 15/08/2022 22:22:59, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.logsums.shopping.compute_logsums.simple_simulate_logsums.eval_nl_logsums.del.nested_exp_utilities
mp_households_0, 15/08/2022 22:22:59, 2.53, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.shopping.interaction_sample.add.utilities
mp_households_1, 15/08/2022 22:22:59, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.add.interaction_df
mp_households_1, 15/08/2022 22:22:59, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.add.interaction_utilities
mp_households_0, 15/08/2022 22:22:59, 2.53, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.shopping.interaction_sample.del.interaction_utilities
mp_households_1, 15/08/2022 22:22:59, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.del.interaction_df
mp_households_1, 15/08/2022 22:22:59, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.add.sample_counts
mp_households_1, 15/08/2022 22:22:59, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.del.sample_counts
mp_households_0, 15/08/2022 22:22:59, 2.54, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.shopping.interaction_sample.add.probs
mp_households_1, 15/08/2022 22:22:59, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.del.interaction_utilities
mp_households_1, 15/08/2022 22:22:59, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.add.padded_utilities
mp_households_0, 15/08/2022 22:22:59, 2.54, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.shopping.interaction_sample.del.utilities
mp_households_1, 15/08/2022 22:22:59, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.add.utilities_df
mp_households_0, 15/08/2022 22:22:59, 2.54, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.shopping.interaction_sample.add.choices_df
mp_households_1, 15/08/2022 22:22:59, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.del.padded_utilities
mp_households_1, 15/08/2022 22:22:59, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.add.probs
mp_households_1, 15/08/2022 22:22:59, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.add.logsums
mp_households_0, 15/08/2022 22:22:59, 2.53, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.shopping.interaction_sample.del.probs
mp_households_0, 15/08/2022 22:22:59, 2.53, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.shopping.interaction_sample.add.choices_df
mp_households_1, 15/08/2022 22:22:59, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.del.utilities_df
mp_households_0, 15/08/2022 22:22:59, 2.53, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.shopping.interaction_sample.add.choices_df
mp_households_1, 15/08/2022 22:22:59, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.add.positions
mp_households_1, 15/08/2022 22:22:59, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.add.rands
mp_households_1, 15/08/2022 22:22:59, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.del.probs
mp_households_1, 15/08/2022 22:22:59, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.add.choices
mp_households_1, 15/08/2022 22:22:59, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.othmaint.interaction_sample.add.interaction_df
mp_households_1, 15/08/2022 22:22:59, 2.61, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.othmaint.interaction_sample.add.interaction_utilities
, 15/08/2022 22:22:59, 12.01, 1.08, 115.07, 7.0%, mp_households_0.non_mandatory_tour_frequency.completed
mp_households_1, 15/08/2022 22:22:59, 2.61, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.othmaint.interaction_sample.del.interaction_df
mp_households_1, 15/08/2022 22:23:00, 2.61, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.othmaint.interaction_sample.add.utilities
mp_households_1, 15/08/2022 22:23:00, 2.61, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.othmaint.interaction_sample.del.interaction_utilities
mp_households_1, 15/08/2022 22:23:00, 2.62, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.othmaint.interaction_sample.add.probs
mp_households_1, 15/08/2022 22:23:00, 2.62, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.othmaint.interaction_sample.del.utilities
mp_households_1, 15/08/2022 22:23:00, 2.62, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.othmaint.interaction_sample.add.choices_df
mp_households_1, 15/08/2022 22:23:00, 2.62, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.othmaint.interaction_sample.del.probs
mp_households_1, 15/08/2022 22:23:00, 2.62, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.othmaint.interaction_sample.add.choices_df
mp_households_1, 15/08/2022 22:23:00, 2.62, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.othmaint.interaction_sample.add.choices_df
mp_households_0, 15/08/2022 22:23:00, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.logsums.shopping.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.raw_utilities
mp_households_0, 15/08/2022 22:23:01, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.logsums.shopping.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.nested_exp_utilities
mp_households_0, 15/08/2022 22:23:01, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.logsums.shopping.compute_logsums.simple_simulate_logsums.eval_nl_logsums.del.raw_utilities
mp_households_0, 15/08/2022 22:23:01, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.logsums.shopping.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.logsums
mp_households_0, 15/08/2022 22:23:01, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.logsums.shopping.compute_logsums.simple_simulate_logsums.eval_nl_logsums.del.nested_exp_utilities
mp_households_0, 15/08/2022 22:23:01, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.add.interaction_df
mp_households_0, 15/08/2022 22:23:01, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.add.interaction_utilities
mp_households_0, 15/08/2022 22:23:01, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.del.interaction_df
mp_households_0, 15/08/2022 22:23:01, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.add.sample_counts
mp_households_0, 15/08/2022 22:23:01, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.del.sample_counts
mp_households_0, 15/08/2022 22:23:01, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.del.interaction_utilities
mp_households_0, 15/08/2022 22:23:01, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.add.padded_utilities
mp_households_0, 15/08/2022 22:23:01, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.add.utilities_df
mp_households_0, 15/08/2022 22:23:01, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.del.padded_utilities
mp_households_0, 15/08/2022 22:23:01, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.add.probs
mp_households_0, 15/08/2022 22:23:01, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.add.logsums
mp_households_0, 15/08/2022 22:23:01, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.del.utilities_df
mp_households_0, 15/08/2022 22:23:01, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.add.positions
mp_households_0, 15/08/2022 22:23:01, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.add.rands
mp_households_1, 15/08/2022 22:23:01, 2.65, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.logsums.othmaint.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.raw_utilities
mp_households_0, 15/08/2022 22:23:01, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.del.probs
mp_households_0, 15/08/2022 22:23:01, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.shopping.interaction_sample_simulate.add.choices
mp_households_1, 15/08/2022 22:23:01, 2.65, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.logsums.othmaint.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.nested_exp_utilities
mp_households_1, 15/08/2022 22:23:01, 2.65, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.logsums.othmaint.compute_logsums.simple_simulate_logsums.eval_nl_logsums.del.raw_utilities
mp_households_1, 15/08/2022 22:23:01, 2.65, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.logsums.othmaint.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.logsums
mp_households_1, 15/08/2022 22:23:01, 2.65, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.logsums.othmaint.compute_logsums.simple_simulate_logsums.eval_nl_logsums.del.nested_exp_utilities
mp_households_0, 15/08/2022 22:23:01, 2.59, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.othmaint.interaction_sample.add.interaction_df
mp_households_0, 15/08/2022 22:23:01, 2.62, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.othmaint.interaction_sample.add.interaction_utilities
mp_households_1, 15/08/2022 22:23:01, 2.65, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.othmaint.interaction_sample_simulate.add.interaction_df
mp_households_1, 15/08/2022 22:23:01, 2.65, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.othmaint.interaction_sample_simulate.add.interaction_utilities
mp_households_0, 15/08/2022 22:23:01, 2.62, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.othmaint.interaction_sample.del.interaction_df
mp_households_1, 15/08/2022 22:23:01, 2.65, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.othmaint.interaction_sample_simulate.del.interaction_df
mp_households_1, 15/08/2022 22:23:01, 2.65, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.othmaint.interaction_sample_simulate.add.sample_counts
mp_households_0, 15/08/2022 22:23:01, 2.62, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.othmaint.interaction_sample.add.utilities
mp_households_1, 15/08/2022 22:23:01, 2.65, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.othmaint.interaction_sample_simulate.del.sample_counts
mp_households_0, 15/08/2022 22:23:01, 2.62, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.othmaint.interaction_sample.del.interaction_utilities
mp_households_1, 15/08/2022 22:23:01, 2.65, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.othmaint.interaction_sample_simulate.del.interaction_utilities
mp_households_1, 15/08/2022 22:23:01, 2.65, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.othmaint.interaction_sample_simulate.add.padded_utilities
mp_households_1, 15/08/2022 22:23:01, 2.65, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.othmaint.interaction_sample_simulate.add.utilities_df
mp_households_1, 15/08/2022 22:23:01, 2.65, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.othmaint.interaction_sample_simulate.del.padded_utilities
mp_households_1, 15/08/2022 22:23:01, 2.65, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.othmaint.interaction_sample_simulate.add.probs
mp_households_0, 15/08/2022 22:23:01, 2.62, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.othmaint.interaction_sample.add.probs
mp_households_1, 15/08/2022 22:23:01, 2.65, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.simulate.othmaint.interaction_sample_simulate.add.logsums
mp_households_0, 15/08/2022 22:23:01, 2.62, 1.08, 115.07, 7.0%, non_mandatory_tour_destination.sample.othmaint.interaction_sample.del.utilities
