activity,person_1,person_2,person_3,person_4,person_5
person_id,511623.0,511624.0,511625.0,511626.0,511628.0
M,3.0015635289999993,3.0015635289999993,-996.2471899433136,3.0015635289999993,3.077594211110596
N,1.3868756584702089,1.3868756584702089,2.1252748105372032,1.3868756584702089,0.622662391
H,0.0,0.0,-0.5602,0.0,0.0
household_id,203307.0,203307.0,203307.0,203307.0,203307.0
ptype,7.0,7.0,4.0,7.0,1.0
cdap_rank,3.0,4.0,5.0,2.0,1.0
hhsize,6.0,6.0,6.0,6.0,6.0
