trip_id,utility
167812597,-7.275050507394479
167812597,-6.155349573244397
167812597,-7.706376189020444
167812597,-1.4772587384746876
167812597,-0.6251950500674379
167812597,0.04765636519989158
167812597,0.43994146280536395
167812597,1.490449076566284
167812597,1.001049348989386
167812597,1.9166238026973588
167812597,0.8755678132916422
167812597,1.0227631044722525
167812597,0.6053977670376582
167812597,0.23059372698501956
167812597,1.7423548380583078
167812597,1.5482911039734892
167812597,1.2376677929091633
167812597,-1.5665968322613493
167812597,-1.2572130818128562
167812597,-0.24307510398629262
167812597,-0.1839031428464306
167812597,-0.39310280967232547
167812597,-3.0371146557425908
167812597,-3.4215937848444273
