TAZ,size_term
1,255.642
2,331.602
3,71.97
4,435.52599999999995
5,5825.292
6,462.90000000000003
7,329.554
8,600.088
9,1175.864
10,527.95
11,2899.044
12,1407.454
13,769.024
14,126.576
15,134.376
16,335.602
17,325.202
18,497.75800000000004
19,1377.844
20,496.356
21,717.686
22,438.922
23,184.44400000000002
24,607.374
25,298.466
26,167.88
27,295.674
28,122.55199999999999
29,38.966
30,157.948
31,230.538
32,768.204
33,173.072
34,179.808
35,26.966
36,645.188
37,168.68
38,120.706
39,81.346
40,93.1
41,1989.328
42,101.78200000000001
43,920.0740000000001
44,275.926
45,419.52200000000005
46,181.262
47,1178.3200000000002
48,126.148
49,82.468
50,390.89
51,254.846
52,209.574
53,462.28000000000003
54,158.362
55,47.004000000000005
56,560.892
57,16.996000000000002
58,70.674
59,101.5
60,8.870000000000001
61,31.708000000000002
62,148.55
63,54.386
64,68.032
65,270.752
66,311.198
67,264.392
68,44.519999999999996
69,1881.758
70,690.3320000000001
71,867.894
72,144.07
73,539.134
74,623.994
75,717.438
76,214.378
77,640.7280000000001
78,32.348
79,1420.0700000000002
80,23.416
81,168.082
82,691.278
83,80.776
84,62.388000000000005
85,210.622
86,79.12
87,441.10400000000004
88,571.744
89,135.258
90,2299.2000000000003
91,573.028
92,170.43
93,604.236
94,212.334
95,16.61
96,14.611999999999998
97,144.942
98,83.612
99,93.894
100,401.43399999999997
101,413.65799999999996
102,232.648
103,115.42399999999999
104,205.374
105,162.768
106,2825.516
107,1805.1299999999999
108,210.014
109,705.836
110,59.39
111,198.29999999999998
112,84.578
113,47.576
114,268.656
115,44.06
116,360.644
117,45.900000000000006
118,14.16
119,99.812
120,501.15599999999995
121,404.142
122,53.803999999999995
123,336.5
124,65.198
125,8.968
126,3.612
127,98.772
128,430.43
129,9.612
130,358.612
131,55.292
132,118.80199999999999
133,1813.8919999999998
134,1072.982
135,100.232
136,218.85
137,81.006
138,1105.1779999999999
139,131.14
140,4.322
141,72.1
142,595.084
143,61.1
144,24.252000000000002
145,32.742000000000004
146,1.0
147,74.064
148,38.03
149,26.158
150,777.874
151,8.838000000000001
152,624.05
153,8.677999999999999
154,44.282000000000004
155,18.288
157,9.774000000000001
158,0.742
159,11.678
160,6.386
161,3.87
162,55.808
163,27.026000000000003
164,239.148
165,157.878
166,721.7760000000001
167,350.044
168,950.698
169,803.5
170,212.79399999999998
171,111.164
172,133.39000000000001
173,23.776
174,47.086
175,125.642
176,161.80999999999997
177,854.8599999999999
178,60.025999999999996
179,596.296
180,61.647999999999996
181,19.644
182,45.42
183,208.46800000000002
184,172.75199999999998
185,978.496
186,276.78
187,361.13599999999997
188,1828.842
189,214.85
190,133.35399999999998
191,34.866
192,667.2139999999999
193,344.02599999999995
194,853.694
195,19.286
196,77.358
197,139.236
198,182.578
199,1110.38
200,2720.136
201,309.81600000000003
202,125.47399999999999
203,426.01800000000003
204,128.38400000000001
205,34.028000000000006
206,5.128
207,114.05799999999999
208,590.3820000000001
209,30.864
210,161.594
211,450.514
212,1969.1840000000002
213,259.904
214,69.54400000000001
215,111.00399999999999
216,1320.438
217,56.932
218,428.034
219,150.29
220,44.636
221,37.80799999999999
222,108.17999999999999
223,181.448
224,281.594
225,214.00400000000002
226,157.156
227,30.930000000000003
228,2.838
229,98.042
230,373.038
231,29.768
232,53.184
233,138.61
234,1749.376
235,284.288
236,120.76599999999999
237,397.68
238,73.066
239,477.476
240,687.0519999999999
241,41.478
242,12.546
243,25.482
244,341.014
245,37.672
246,1105.588
247,16.416
248,734.57
249,529.134
250,257.35
251,887.59
252,252.19
253,16.128
254,615.818
255,167.57999999999998
256,70.018
257,1197.3020000000001
258,172.964
259,192.92200000000003
260,389.302
261,39.998000000000005
262,144.496
263,16.804
264,109.93799999999999
265,598.474
266,1887.0660000000003
267,48.634
268,42.188
269,33.574000000000005
270,87.482
271,21.612000000000002
272,18.544
273,20.032
274,221.23000000000002
275,145.482
276,28.356
277,57.706
278,485.48199999999997
279,414.358
280,332.514
