trip_id,dest_taz,prob,pick_count,od_logsum,dp_logsum
167812597,11,0.011910281,1,-4.000947606073941,-5.2299983085902735
167812597,74,0.0008061259,1,-4.182683260865809,-4.433380201317058
167812597,222,1.7971844e-05,1,-5.018816523154025,-4.448991311528826
167812597,826,0.0006719337,1,-2.6566181445474895,-3.3904772316815963
167812597,852,0.00038716593,1,-2.3522144753635015,-3.226971117487985
167812597,863,0.018845344,1,-2.1510349658272254,-3.05865510083375
167812597,864,0.00897646,1,-2.0217909377483707,-2.972476210976059
167812597,871,0.012181967,2,-1.8948563297231376,-2.9031667643022696
167812597,873,0.0491006,1,-2.060159608161283,-2.625975815989442
167812597,875,0.024763415,2,-1.9251870065622263,-2.638802732892252
167812597,886,0.002525095,1,-2.0411694976958352,-2.7138739589019303
167812597,902,0.0018686475,1,-2.1845473438539873,-2.489663976364421
167812597,909,0.00075592456,1,-2.3534687707126443,-2.549938290042604
167812597,911,0.0024086102,1,-2.427198286389763,-2.6820319023736143
167812597,946,0.017650362,3,-2.4911882272239274,-2.3911618335439404
167812597,947,0.014335569,2,-2.4013932584860322,-2.3648659945764203
167812597,954,0.023384895,1,-2.3440485334220966,-2.2121481509440337
167812597,968,0.010306944,1,-2.6452709214425076,-3.4508843811454755
167812597,973,0.0017665835,1,-2.825163250955457,-3.1010943543436795
167812597,976,0.005716369,1,-2.831852990364283,-2.5374918694695716
167812597,991,0.05406259,2,-2.95492029732298,-2.762571342461323
167812597,1000,0.001704523,1,-2.8892486404661333,-2.5624838031470976
167812597,1018,0.005753287,1,-3.1999280454819385,-3.7037603399171184
167812597,1072,0.00022615657,1,-3.8093198964320085,-3.305504813525627
