tour_id,tdd,start,end,duration,mode_choice_logsum
20976638,0,5,5,0,0
20976638,1,5,6,1,0
20976638,2,5,7,2,0
20976638,19,6,6,0,0
20976638,20,6,7,1,0
20976638,37,7,7,0,0
20976638,135,14,14,0,0
20976638,136,14,15,1,0
20976638,137,14,16,2,0
20976638,138,14,17,3,0
20976638,139,14,18,4,0
20976638,140,14,19,5,0
20976638,141,14,20,6,0
20976638,142,14,21,7,0
20976638,143,14,22,8,0
20976638,144,14,23,9,0
20976638,145,15,15,0,0
20976638,146,15,16,1,0
20976638,147,15,17,2,0
20976638,148,15,18,3,0
20976638,149,15,19,4,0
20976638,150,15,20,5,0
20976638,151,15,21,6,0
20976638,152,15,22,7,0
20976638,153,15,23,8,0
20976638,154,16,16,0,0
20976638,155,16,17,1,0
20976638,156,16,18,2,0
20976638,157,16,19,3,0
20976638,158,16,20,4,0
20976638,159,16,21,5,0
20976638,160,16,22,6,0
20976638,161,16,23,7,0
20976638,162,17,17,0,0
20976638,163,17,18,1,0
20976638,164,17,19,2,0
20976638,165,17,20,3,0
20976638,166,17,21,4,0
20976638,167,17,22,5,0
20976638,168,17,23,6,0
20976638,169,18,18,0,0
20976638,170,18,19,1,0
20976638,171,18,20,2,0
20976638,172,18,21,3,0
20976638,173,18,22,4,0
20976638,174,18,23,5,0
20976638,175,19,19,0,0
20976638,176,19,20,1,0
20976638,177,19,21,2,0
20976638,178,19,22,3,0
20976638,179,19,23,4,0
20976638,180,20,20,0,0
20976638,181,20,21,1,0
20976638,182,20,22,2,0
20976638,183,20,23,3,0
20976638,184,21,21,0,0
20976638,185,21,22,1,0
20976638,186,21,23,2,0
20976638,187,22,22,0,0
20976638,188,22,23,1,0
20976638,189,23,23,0,0
