TAZ,university,gradeschool,highschool
1,0,75,0
2,0,87,0
3,0,74,11
4,0,96,18
5,0,121,0
6,0,73,32
7,0,196,22
8,0,118,18
9,0,135,28
10,0,97,50
11,0,61,0
12,0,174,19
13,0,154,103
14,0,308,74
15,0,104,0
16,0,64,10
17,0,75,24
18,0,80,56
19,0,95,50
20,0,67,0
21,0,62,52
22,0,94,11
23,0,137,52
24,0,147,42
25,0,61,44
26,0,128,0
27,0,92,13
28,0,99,32
29,0,17,0
30,0,110,0
31,0,74,37
32,0,62,0
33,0,83,17
34,0,158,30
35,0,113,40
36,0,53,0
37,0,57,14
38,0,71,0
39,0,103,27
40,0,57,35
41,0,80,0
42,0,29,0
43,0,54,17
44,0,62,37
45,0,123,16
46,0,95,109
47,0,38,0
48,0,38,0
49,0,52,11
50,0,104,31
51,0,24,7
52,0,37,14
53,0,81,14
54,0,45,5
55,0,89,74
56,0,114,7
57,0,97,9
58,0,117,0
59,0,66,42
60,0,116,12
61,0,142,11
62,0,149,98
63,0,43,0
64,0,88,27
65,0,82,0
66,0,32,0
67,0,91,13
68,0,61,7
69,0,51,0
70,0,30,17
71,0,51,13
72,0,83,0
73,0,44,0
74,0,78,18
75,0,82,0
76,0,63,10
77,0,69,22
78,0,97,51
79,0,21,0
80,0,65,0
81,0,65,14
82,0,214,24
83,3111,28,0
84,0,62,34
85,0,52,41
86,0,55,11
87,0,74,43
88,0,16,0
89,0,77,27
90,0,79,13
91,0,37,0
92,0,32,0
93,0,67,26
94,0,107,0
95,0,80,9
96,0,49,0
97,0,168,13
98,0,74,41
99,0,78,18
100,0,70,0
101,0,80,16
102,0,159,77
103,0,42,0
104,0,80,32
105,0,139,37
106,0,117,53
107,0,115,19
108,0,46,8
109,0,33,0
110,0,29,30
111,0,28,0
112,0,32,0
113,0,51,0
114,0,15,0
115,0,71,0
116,0,39,15
117,0,90,14
118,0,113,96
119,0,86,15
120,0,68,12
121,0,40,40
122,0,85,29
123,0,71,0
124,0,31,53
125,0,76,10
126,0,104,40
127,0,93,10
128,0,85,0
129,0,32,41
130,5210,16,0
131,0,7,14
132,0,65,8
133,0,60,7
134,0,159,69
135,0,99,72
136,0,168,12
137,0,76,0
138,0,101,17
139,0,104,15
140,0,149,5
141,0,119,0
142,0,33,0
143,0,38,6
144,0,22,0
145,0,16,0
146,0,44,9
147,0,19,6
148,0,34,22
149,0,46,0
150,0,37,14
151,0,42,43
152,200,49,10
153,0,21,4
154,0,108,8
155,0,72,8
156,0,40,0
157,0,34,0
158,0,30,0
159,0,37,32
160,0,74,14
161,0,111,24
162,0,70,0
163,0,127,21
164,0,75,6
165,0,90,68
166,0,55,12
167,0,112,25
168,0,54,25
169,0,209,78
170,0,139,22
171,0,130,20
172,0,130,47
173,0,36,45
174,0,53,0
175,0,40,11
176,0,126,0
177,0,89,0
178,0,62,9
179,0,123,36
180,0,49,19
181,0,80,15
182,0,43,0
183,0,21,8
184,0,30,7
185,0,148,24
186,0,44,0
187,0,138,37
188,0,104,0
189,0,100,39
190,0,66,0
191,0,87,16
192,0,36,28
193,0,228,36
194,0,49,0
195,0,0,0
196,0,70,0
197,0,54,13
198,0,64,37
199,0,308,53
200,0,48,23
201,0,14,0
202,0,19,0
203,0,91,26
204,0,49,12
205,0,117,9
206,0,43,0
207,0,89,35
208,0,61,0
209,0,165,60
210,0,183,36
211,0,37,0
212,0,112,35
213,0,41,11
214,0,34,0
215,0,39,0
216,0,81,4
217,0,48,4
218,0,12,9
219,0,7,6
220,0,32,0
221,0,47,29
222,0,37,0
223,0,39,3
224,0,36,12
225,0,132,31
226,0,5,0
227,0,67,19
228,0,18,10
229,0,18,9
230,0,42,0
231,0,16,6
