job_sector,income_category,age_category,rate
0,0,0,0
0,0,1,0.092985587
0,0,2,0.095844313
0,1,0,0
0,1,1,0.201315514
0,1,2,0.135255908
0,2,0,0
0,2,1,0.346324311
0,2,2,0.297135459
1,0,0,0.239839211
1,0,1,0.302732687
1,0,2,0.180062953
1,1,0,0.322478485
1,1,1,0.396610566
1,1,2,0.262332713
1,2,0,0.218362328
1,2,1,0.548930683
1,2,2,0.408345762
