TAZ,utility
1,-9.86714929334201
2,-9.6134403880096
3,-11.099707794630064
4,-9.274692844433707
5,-6.668992965862467
6,-9.24600131573168
7,-9.555209352655446
8,-9.129130931715626
9,-8.17674717496354
10,-8.899303501888054
11,-7.281137081031622
12,-8.041535781000722
13,-8.681988892628247
14,-10.522643124126716
15,-10.493335966196604
16,-9.511142165075476
17,-9.445272945684136
18,-8.966248852536847
19,-7.8493688182731605
20,-8.920132910783952
21,-8.661005529839493
22,-9.38087320292092
23,-10.318150243056309
24,-9.037457022943908
25,-9.77293074810202
26,-10.276931612371985
27,-9.774122271540385
28,-10.648647812856794
29,-11.75161073229967
30,-10.23997203229802
31,-9.90732606078285
32,-8.74837999465738
33,-10.293867537709811
34,-10.319504964061505
35,-12.213500509802028
36,-9.034595549578714
37,-10.372410271074575
38,-10.76606690647082
39,-11.225987018411523
40,-11.029451910724582
41,-8.021948857754321
42,-10.515840112887092
43,-9.761983107314439
44,-9.989040930461927
45,-9.53309327559904
46,-10.4262729527426
47,-8.452666487043814
48,-10.778591598693733
49,-11.204252843656061
50,-9.714458686742828
51,-10.24527580506504
52,-10.585938703974879
53,-9.132819201235904
54,-10.443326424783976
55,-11.749561304108964
56,-9.297716171681463
57,-12.676686392404871
58,-11.205566645690972
59,-10.891045661194621
60,-13.075720785621316
61,-11.949627365376902
62,-10.513893321253295
63,-11.459853369990672
64,-11.21712129927872
65,-9.923527120317168
66,-9.871593575611051
67,-9.956034694883819
68,-11.759823508927251
69,-7.990041617995275
70,-9.086418238103715
71,-8.951973258717544
72,-10.56977764983847
73,-9.168486995863294
74,-9.050269780412552
75,-8.772140030236113
76,-9.900161817159471
77,-8.946316099121281
78,-11.907000307069348
79,-7.970265651045679
80,-12.268007268523107
81,-10.21133374927199
82,-8.667914768894637
83,-10.961144837749767
84,-11.178639682062801
85,-10.013110144479327
86,-11.043044193537106
87,-9.41173923746342
88,-9.081969239395232
89,-10.44321552580194
90,-7.589703097857343
91,-11.461947375055962
92,-12.314157675042997
93,-12.471883971367134
94,-9.752871371080207
95,-12.263722037807531
96,-12.324421580623794
97,-9.970961540787432
98,-10.593098792886007
99,-10.574734716455186
100,-8.930058865570844
101,-8.987318944029813
102,-9.563754765843893
103,-10.386786653122176
104,-9.830344024872607
105,-10.051489731097691
106,-7.20562561236552
107,-7.5518413286899175
108,-9.718148786519395
109,-8.588824151980923
110,-10.971962041690144
111,-9.6675500738343
112,-10.50474695209341
113,-11.086796415117146
114,-9.356027930759645
115,-11.110953385612415
116,-9.105195259348474
117,-11.079118732660763
118,-12.185194384746298
119,-10.256280535803565
120,-10.249885047862552
121,-9.916227108943268
122,-10.86862312659479
123,-8.989459523274629
124,-10.638264608041597
125,-12.545406446572747
126,-13.178068772055797
127,-10.181552231722712
128,-11.051113069377681
129,-12.72646820548035
130,-9.690631177549738
131,-10.812146549124224
132,-9.892918749437243
133,-8.8365477155501
134,-9.434476854905238
135,-9.920802025586564
136,-9.2111378629773
137,-10.141448950318464
138,-9.087228423047648
139,-9.640203716913533
140,-12.799705884518332
141,-10.24746146771819
142,-8.294719677101597
143,-10.487697455773858
144,-11.443059607511955
145,-11.130726490505246
146,-1013.7312701565909
147,-10.22218636865798
148,-10.717244754673693
149,-11.010002776527108
150,-9.148468845415167
151,-12.353610983447494
152,-11.055105764629497
153,-12.186997910100361
154,-10.304860540112664
155,-11.268717191500475
156,-1013.220020144968
157,-11.955140318028421
158,-1013.4061151179945
159,-11.871340979665193
160,-12.683994279541722
161,-12.968215996975607
162,-10.454373021522342
163,-11.30202225402401
164,-8.86864907395449
165,-9.474152686631632
166,-10.700832287723617
167,-9.907130366429847
168,-10.376552927997604
169,-9.601913908758991
170,-9.456236943212247
171,-10.311856961970857
172,-10.035024140681127
173,-11.783397527023933
174,-11.302044497880148
175,-10.352075615605042
176,-10.053362309014206
177,-9.479133518918115
178,-11.11091705145564
179,-12.450374098308167
180,-11.151455732290636
181,-12.145565415142423
182,-11.17141313135594
183,-9.943190669818211
184,-9.939885862137197
185,-9.289653660182939
186,-9.58607523048337
187,-9.299733946256678
188,-7.109260645273164
189,-12.589346950283476
190,-9.725899889426824
191,-11.177347589311582
192,-7.837994007004405
193,-8.70176821409584
194,-7.382085144791523
195,-11.866975538709092
196,-10.329925297183667
197,-9.250120970327227
198,-8.727761405231131
199,-6.889113328079149
200,-6.036784980134242
201,-8.31462521714712
202,-9.462961058239785
203,-8.056553201659579
204,-9.547216978852795
205,-11.626547844121381
206,-13.810079608253533
207,-9.477824029631083
208,-7.8079575825428345
209,-10.280722891864848
210,-8.290532316001986
211,-7.218188343936642
212,-5.665854212270461
213,-7.836593482498715
214,-9.321402605318532
215,-8.897250070878727
216,-6.417619312106546
217,-9.71977349690291
218,-7.680960631137873
219,-8.83151716029742
220,-10.390378515702977
221,-10.629750315570517
222,-9.427499393334331
223,-9.737036273292686
224,-8.516726857711033
225,-9.691010279272035
226,-9.659984134316339
227,-11.882756151682363
228,-12.087744041525493
229,-8.924381413114451
230,-7.69649343100734
231,-10.073590998824763
232,-9.63402762772607
233,-8.297701410978004
234,-5.711838194396677
235,-7.416199067473438
236,-8.192989143994588
237,-6.8418245560917255
238,-8.841164215730673
239,-6.955405618921687
240,-6.310737242668157
241,-9.257607126473875
242,-10.347634101731867
243,-9.622248437658326
244,-6.741022392703405
245,-9.052825948141162
246,-5.374549997340001
247,-9.9241288209149
248,-5.632128245399979
249,-5.699266925375677
250,-6.455298510688778
251,-5.070907795063589
252,-7.796745012313353
253,-9.908656141324682
254,-8.159377617777299
255,-6.439242478627141
256,-7.310720894259648
257,-4.623359697336923
258,-6.680768208635456
259,-6.506834619959909
260,-5.891568815166
261,-8.263390692059676
262,-7.029440651130251
263,-8.617018606501437
264,-6.573303324910901
265,-5.238557754000021
266,-3.85998582819108
267,-7.684391421263013
268,-7.995634984883916
269,-8.275501747564208
270,-7.177707229602602
271,-8.651834661316776
272,-8.580549142187593
273,-10.063574132384128
274,-5.72019231506494
275,-5.886238538124167
276,-7.750657185708657
277,-7.131735915511985
278,-5.076376828628712
279,-5.3656354195947085
280,-5.647193029942668
281,-5.445622097158175
282,-6.228641513295081
283,-7.680227709314239
284,-3.4408690480735773
285,-8.175296918964275
286,-5.0249061372490935
287,-5.9513565472464895
288,-6.317783628886656
289,-6.916059424115284
290,-11.06773457711249
291,-6.255363442079937
292,-8.023148381884333
293,-10.86005636715526
294,-9.922759131730633
295,-7.690054408799779
296,-7.727103791863319
297,-6.809506876953558
298,-4.148102693069769
299,-5.162787357729468
