TAZ,atwork
1,253.416
2,322.892
3,71.228
4,435.268
5,5774.97
6,462.90000000000003
7,328.55400000000003
8,483.404
9,1153.54
10,519.756
11,2890.592
12,1407.196
13,769.024
14,126.576
15,133.634
16,331.634
17,319.74999999999994
18,492.048
19,1370.166
20,493.61400000000003
21,717.686
22,438.922
23,178.508
24,604.148
25,296.24
26,167.88
27,294.674
28,120.81
29,37.966
30,157.206
31,229.796
32,766.72
33,172.32999999999998
34,175.356
35,25.482
36,642.962
37,168.68
38,120.706
39,76.152
40,93.1
41,1986.844
42,101.782
43,378.41
44,269.73199999999997
45,414.07
46,149.906
47,1177.578
48,118.212
49,78.984
50,386.438
51,250.87800000000001
52,209.574
53,462.28000000000003
54,158.362
55,47.004000000000005
56,560.892
57,16.254
58,70.67399999999999
59,100.016
60,8.870000000000001
61,30.966
62,147.808
63,52.902
64,67.29
65,269.752
66,307.22999999999996
67,262.166
68,43.778
69,1878.5320000000002
70,688.848
71,864.184
72,140.586
73,528.746
74,616.316
75,717.18
76,213.636
77,639.244
78,29.864
79,1418.328
80,19.19
81,151.178
82,689.7620000000001
83,79.292
84,61.646
85,209.62199999999999
86,79.12
87,422.942
88,570.744
89,133.774
90,2299.2000000000003
91,42.217999999999996
92,15.708000000000002
93,13.096
94,212.334
95,15.126000000000001
96,13.128
97,143.458
98,82.128
99,76.7
100,401.434
101,411.43199999999996
102,232.648
103,111.714
104,200.922
105,159.542
106,2820.064
107,1796.872
108,206.304
109,702.126
110,59.39
111,176.008
112,84.578
113,41.382000000000005
114,263.462
115,41.834
116,357.41799999999995
117,43.674
118,13.902000000000001
119,96.844
120,90.67
121,131.234
122,48.577999999999996
123,336.5
124,62.972
125,6.968
126,3.612
127,98.772
128,42.385999999999996
129,8.128
130,165.718
131,54.55
132,116.06
133,355.494
134,174.55599999999998
135,99.49
136,217.592
137,79.264
138,214.74599999999998
139,129.882
140,4.322
141,69.874
142,594.568
143,58.874
144,24.252000000000002
145,32.742000000000004
146,0.0
147,71.096
148,38.03
149,23.932000000000002
150,191.816
151,6.354
152,27.125999999999998
153,6.452
154,44.282
155,18.288
156,0.0
157,9.032
158,0.0
159,10.936
160,4.902
161,3.87
162,55.808
163,27.026
164,238.406
165,156.394
166,42.768
167,90.036
168,61.54600000000001
169,155.92000000000002
170,212.794
171,98.422
172,133.39000000000001
173,23.518
174,47.086
175,125.64200000000001
176,161.552
177,290.62
178,59.768
179,15.45
180,60.164
181,19.644
182,44.678000000000004
183,162.51
184,172.01
185,294.616
186,226.55800000000002
187,227.5
188,1828.1000000000001
189,6.29
190,132.612
191,24.352
192,657.794
193,245.66400000000002
194,840.9200000000001
195,11.062000000000001
196,49.646
197,131.43
198,178.03
199,1088.5079999999998
