alternative,probability_1,probability_2
tour_id,48410912.0,48410953.0
0,6.213252875273053e-05,0.0001312517733841046
1,7.244177216685629e-05,0.000140505861280633
2,1.2617334445825926e-05,2.363234495137694e-05
3,7.354349885430193e-05,0.00012647511548505877
4,8.574609243690801e-05,0.00013539316881921494
5,0.0004752670301295197,0.0006890357498677131
6,0.0005541249917976167,0.0007376213486689702
7,0.001201967019582749,0.0014110575778107518
8,0.0015760012611273585,0.0016987527136119646
9,0.00785173037645599,0.007770705599291406
10,0.012642893385485845,0.011488491612306655
11,0.013720584990601468,0.01144749914827916
12,0.012219178714860793,0.009433591355085078
13,0.015740270226577115,0.0111575706583576
14,0.004573945703191089,0.002976945499465854
15,0.005332870928172963,0.003186862801429304
16,0.006453131032080628,0.0034799878968598337
17,0.0025819765605658122,0.0012784373491553718
18,0.002050674150378322,0.0009322743012813284
19,0.00013545320792602563,0.0002989080502650433
20,2.3592166812738722e-05,5.027448530574189e-05
21,2.7506661332974583e-05,5.3819449219438145e-05
22,0.00016032991159210466,0.0002880298620122374
23,0.0007272685066158358,0.0011996080261942764
24,0.001036114981070835,0.0015691851412410174
25,0.001259702844453549,0.0016825232278321334
26,0.0029468415819923826,0.0036138584663632637
27,0.003435791698817364,0.003868678101759637
28,0.024994220073077684,0.025840257291140815
29,0.03632607284747205,0.034482373505191656
30,0.044224410308735265,0.038845153230842346
31,0.029431502942657655,0.023736115651775004
32,0.01711329838861816,0.012672238877193405
33,0.009971517831542731,0.006779588207060358
34,0.01206620616805789,0.007403213582656531
35,0.004827836494463782,0.0027197060635926903
36,0.003834395576029401,0.001983290062503095
37,3.5261742737057e-05,8.67200923859177e-05
38,4.111250512981525e-05,9.283743987745565e-05
39,4.7934048259893205e-05,9.938632019636599e-05
40,0.0010870038388533189,0.0020694117027237053
41,0.0012673636478253687,0.0022153911548654826
42,0.0018828524486532935,0.0028993122794082602
43,0.0024687687729237208,0.0034905341259484266
44,0.005135411399244172,0.006666831985664116
45,0.008742775817349925,0.010421408981604293
46,0.05740635688087651,0.0628304213989076
47,0.09359566347497071,0.09493697182371534
48,0.08514917604919757,0.07930384661404977
49,0.02557891232120839,0.021874097920589378
50,0.029823059909057023,0.02341717802455528
51,0.018035155298002755,0.012696773194107419
52,0.007216088905302223,0.004664499852913547
53,0.005731210442631027,0.0034015700119370594
54,2.6193101521395323e-05,6.729225032810233e-05
