TAZ,atwork,TAZ,person_id,income_segment,workplace_taz
1,253.416,1,1180753,4,697
2,322.892,2,1180753,4,697
3,71.228,3,1180753,4,697
4,435.268,4,1180753,4,697
5,5774.97,5,1180753,4,697
6,462.90000000000003,6,1180753,4,697
7,328.55400000000003,7,1180753,4,697
8,483.404,8,1180753,4,697
9,1153.54,9,1180753,4,697
10,519.756,10,1180753,4,697
11,2890.592,11,1180753,4,697
12,1407.196,12,1180753,4,697
13,769.024,13,1180753,4,697
14,126.576,14,1180753,4,697
15,133.634,15,1180753,4,697
16,331.634,16,1180753,4,697
17,319.74999999999994,17,1180753,4,697
18,492.048,18,1180753,4,697
19,1370.166,19,1180753,4,697
20,493.61400000000003,20,1180753,4,697
21,717.686,21,1180753,4,697
22,438.922,22,1180753,4,697
23,178.508,23,1180753,4,697
24,604.148,24,1180753,4,697
25,296.24,25,1180753,4,697
26,167.88,26,1180753,4,697
27,294.674,27,1180753,4,697
28,120.81,28,1180753,4,697
29,37.966,29,1180753,4,697
30,157.206,30,1180753,4,697
31,229.796,31,1180753,4,697
32,766.72,32,1180753,4,697
33,172.32999999999998,33,1180753,4,697
34,175.356,34,1180753,4,697
35,25.482,35,1180753,4,697
36,642.962,36,1180753,4,697
37,168.68,37,1180753,4,697
38,120.706,38,1180753,4,697
39,76.152,39,1180753,4,697
40,93.1,40,1180753,4,697
41,1986.844,41,1180753,4,697
42,101.782,42,1180753,4,697
43,378.41,43,1180753,4,697
44,269.73199999999997,44,1180753,4,697
45,414.07,45,1180753,4,697
46,149.906,46,1180753,4,697
47,1177.578,47,1180753,4,697
48,118.212,48,1180753,4,697
49,78.984,49,1180753,4,697
50,386.438,50,1180753,4,697
51,250.87800000000001,51,1180753,4,697
52,209.574,52,1180753,4,697
53,462.28000000000003,53,1180753,4,697
54,158.362,54,1180753,4,697
55,47.004000000000005,55,1180753,4,697
56,560.892,56,1180753,4,697
57,16.254,57,1180753,4,697
58,70.67399999999999,58,1180753,4,697
59,100.016,59,1180753,4,697
60,8.870000000000001,60,1180753,4,697
61,30.966,61,1180753,4,697
62,147.808,62,1180753,4,697
63,52.902,63,1180753,4,697
64,67.29,64,1180753,4,697
65,269.752,65,1180753,4,697
66,307.22999999999996,66,1180753,4,697
67,262.166,67,1180753,4,697
68,43.778,68,1180753,4,697
69,1878.5320000000002,69,1180753,4,697
70,688.848,70,1180753,4,697
71,864.184,71,1180753,4,697
72,140.586,72,1180753,4,697
73,528.746,73,1180753,4,697
74,616.316,74,1180753,4,697
75,717.18,75,1180753,4,697
76,213.636,76,1180753,4,697
77,639.244,77,1180753,4,697
78,29.864,78,1180753,4,697
79,1418.328,79,1180753,4,697
80,19.19,80,1180753,4,697
81,151.178,81,1180753,4,697
82,689.7620000000001,82,1180753,4,697
83,79.292,83,1180753,4,697
84,61.646,84,1180753,4,697
85,209.62199999999999,85,1180753,4,697
86,79.12,86,1180753,4,697
87,422.942,87,1180753,4,697
88,570.744,88,1180753,4,697
89,133.774,89,1180753,4,697
90,2299.2000000000003,90,1180753,4,697
91,42.217999999999996,91,1180753,4,697
92,15.708000000000002,92,1180753,4,697
93,13.096,93,1180753,4,697
94,212.334,94,1180753,4,697
95,15.126000000000001,95,1180753,4,697
96,13.128,96,1180753,4,697
97,143.458,97,1180753,4,697
98,82.128,98,1180753,4,697
99,76.7,99,1180753,4,697
100,401.434,100,1180753,4,697
101,411.43199999999996,101,1180753,4,697
102,232.648,102,1180753,4,697
103,111.714,103,1180753,4,697
104,200.922,104,1180753,4,697
105,159.542,105,1180753,4,697
106,2820.064,106,1180753,4,697
107,1796.872,107,1180753,4,697
108,206.304,108,1180753,4,697
109,702.126,109,1180753,4,697
110,59.39,110,1180753,4,697
111,176.008,111,1180753,4,697
112,84.578,112,1180753,4,697
113,41.382000000000005,113,1180753,4,697
114,263.462,114,1180753,4,697
115,41.834,115,1180753,4,697
116,357.41799999999995,116,1180753,4,697
117,43.674,117,1180753,4,697
118,13.902000000000001,118,1180753,4,697
119,96.844,119,1180753,4,697
120,90.67,120,1180753,4,697
121,131.234,121,1180753,4,697
122,48.577999999999996,122,1180753,4,697
123,336.5,123,1180753,4,697
124,62.972,124,1180753,4,697
125,6.968,125,1180753,4,697
126,3.612,126,1180753,4,697
127,98.772,127,1180753,4,697
128,42.385999999999996,128,1180753,4,697
129,8.128,129,1180753,4,697
130,165.718,130,1180753,4,697
131,54.55,131,1180753,4,697
132,116.06,132,1180753,4,697
