alternative,utility
trip_id,387286909.0
137,-4.360906018111065
138,-4.476348285744567
139,-8.25253756409735
140,-5.22985328762756
141,-3.055972613024638
142,-5.28378802861053
143,-8.860980172439788
144,-6.144474342710948
145,-9.71135779968753
146,-5.52144574861576
147,-6.456495706563922
148,-7.449958472181146
149,-4.327063272479733
150,-8.31312170187199
151,-7.043319775070304
152,-7.560339225173591
153,-7.316351305267735
154,-7.524700694864995
155,-9.407697428121118
156,-7.665485825603261
157,-9.78657516440215
158,-7.34077037427244
159,-9.208861726697265
160,-9.27460707905707
161,-5.934241528870293
162,-8.90474077527239
163,-4.348267896128488
164,-4.812075552154743
165,-7.0891689007852765
166,-5.449895077299835
167,-6.211762598332559
168,-5.614160154699837
169,-4.967664428281206
170,-5.243042005250891
171,-5.066845282260114
172,-6.676190168700723
173,-8.013044940511294
174,-5.134048717513144
175,-4.814812730816201
176,-4.304751242104453
177,-6.573056901802316
178,-7.822328951568816
179,-6.094340927447654
180,-7.568172395094664
181,-6.640343259289856
182,-5.53822137086843
183,-4.979723635532031
184,-5.039771094080325
185,-5.421878456797299
186,-4.657318190916097
187,-2.9383861246533716
188,-8.168005037195318
189,-9.737520815492154
190,-7.566689524098065
191,-3.5731559879665475
192,-6.103859437605367
193,-5.365761596413436
194,-9.062512651377801
195,-6.400014762553674
196,-5.204811658334295
197,-6.522111599433181
198,-2.995704151992153
199,-2.2174371083689266
200,-4.278355558379201
201,-5.672633392437376
202,-3.9555286932238722
203,-5.4175475967717395
204,-7.416894141179512
205,-9.406148586874933
206,-5.530341546365659
207,-3.8189500110063843
208,-8.551822901142021
209,-4.549771000960572
210,-3.6238249217477785
211,-2.3305611354741496
212,-5.277410278945629
213,-6.327786271456714
214,-5.355163604792283
215,-3.7017332228064994
216,-6.4821465734513914
217,-4.564327484991841
218,-5.304508289920506
219,-8.053456288435545
220,-6.789789337602889
221,-6.540287795754212
222,-7.192163314068247
223,-5.042149774776342
224,-6.554837276034148
225,-6.478516040668437
226,-9.330849647872826
227,-10.469860059961666
228,-8.647405385796082
229,-4.3362862629511
230,-8.232812315245921
231,-7.977406579369198
232,-5.319293217869455
233,-2.420860025589004
234,-4.430029316196247
235,-5.480629877879904
236,-4.265277057589293
237,-5.556638712579624
238,-3.8850967693696843
239,-3.5892487692901778
240,-7.590743463361283
241,-9.432995782974437
242,-7.57316283393841
243,-4.435555055822587
244,-7.530208483681451
245,-4.155172912405761
246,-9.118862496737261
247,-3.8342371803950055
248,-3.610489609351844
249,-4.492460525862896
250,-2.9767604209301526
251,-8.872782298046026
252,-7.909012102846207
253,-7.568559431159553
254,-4.91531957921429
255,-7.200129143609198
256,-3.379991159912586
257,-6.704816555006885
258,-4.9984235305659
259,-4.21047512300186
260,-7.147873890493841
261,-5.836580578400316
262,-8.383171886389807
263,-5.2000807663131425
264,-3.426429545697313
265,-2.2834423144625244
266,-8.474203590677103
267,-7.240200231324612
268,-8.029949742981689
269,-5.491999738726336
270,-7.00612960269068
271,-9.37168399850923
272,-9.43145531690455
273,-4.5168195001060365
274,-5.162759476540701
275,-6.524262636186556
276,-6.545474426031174
277,-3.8462167190599645
278,-3.9190517210080014
279,-4.147538872106409
280,-4.761999900212829
281,-5.597179119371601
282,-7.340639193255235
283,-2.202799779544291
284,-8.048342338626764
285,-4.372780882823319
286,-5.205537146764665
287,-7.700780507441786
288,-5.882957269356292
289,-9.490597421695389
290,-5.574078532464171
291,-7.354587776463788
292,-9.17093229759885
293,-7.762349060812255
294,-6.1713898991296965
295,-6.730684349618561
296,-8.759600134724257
297,-6.223899363032879
298,-6.039930517295508
299,-7.421636494077613
300,-6.030038259781311
301,-8.738420302553818
302,-6.648287236695571
303,-9.243254370676311
304,-9.684040728845721
305,-9.40264783205443
306,-9.132791347290164
307,-8.60980128266214
308,-3.646815696292526
309,-2.6666587873801095
310,-4.990679233809714
311,-6.281939358340936
312,-3.2480203075723404
313,-3.5446766588366767
314,-2.5708410657835845
315,-4.140671564441379
316,-6.168374748249022
317,-7.241259852165056
318,-9.453660447620019
319,-6.052642563902959
320,-7.419832828764111
321,-5.99554181469428
322,-3.6535839726657144
323,-4.077895610366529
324,-4.841080014501067
325,-4.189749482987791
326,-4.474432622747132
327,-5.994721441695599
328,-4.805632670711473
329,-6.362408447318579
330,-4.825661911727602
331,-3.305177502505937
332,-2.9581061608031236
333,-5.809108850621091
334,-3.2738096720827237
335,-4.058422419430632
336,-8.94749854734177
337,-8.803875365328711
338,-6.261356380810758
339,-5.176461344592361
340,-2.631298259312514
341,-7.878444760783635
342,-7.627203108954538
343,-9.243739477412735
344,-6.4763814977168
345,-5.207014185314886
346,-7.423666574642889
347,-1009.3086722900391
348,-7.813795916307527
349,-9.117856249609257
350,-3.180604921741452
351,-9.626835142158402
352,-5.179664293920595
353,-4.55778755154548
354,-2.163778175549507
355,-2.242672850272311
356,-6.928791920021175
357,-5.945054344787057
358,-8.780293215905749
359,-6.548537488843027
360,-4.45249407257982
361,-4.617691188046874
362,-8.816781154892784
363,-5.103258483980221
364,-4.089352310658534
365,-4.070219122651045
366,-4.953581742656964
367,-5.26241608502745
368,-6.678925472433999
369,-3.9193236296056053
370,-6.076439711823621
371,-2.576265978096317
372,-4.85337819210076
373,-3.2855318716943644
374,-6.89321870006501
375,-4.542098172061395
376,-5.089810924197607
377,-4.651617176281862
378,-6.647546377723806
379,-5.751297726934835
380,-4.104737815848346
381,-6.823798462508189
382,-5.047140686171314
383,-6.90046482475113
384,-8.671803005380339
385,-9.814092089092382
386,-6.046236122504574
387,-5.656607729288861
388,-4.238537553911869
389,-6.755891762367465
390,-4.094891194394311
391,-5.77424861878914
392,-5.588074790479009
393,-6.114791926904274
394,-7.057270603299415
395,-8.04927066347748
396,-3.8639371599983825
397,-4.483650207823185
398,-5.7491454335158725
399,-7.720147672388252
400,-3.432253253243224
401,-9.100152254968009
402,-5.880136790411221
403,-6.404885108746568
404,-1.4248484880443995
405,-2.978602598652569
406,-1.8615206147468806
407,-2.400103838319229
408,-4.159228433756992
409,-6.268570730488602
410,-7.271543469098939
411,-3.772120140771837
412,-4.281182805771744
413,-3.147642474501491
414,-3.997861653395537
415,-4.910580898169502
416,-5.272989603992064
417,-4.272487884675324
418,-7.583827184075136
419,-5.9165571839581235
420,-6.745373332917897
421,-5.632765749225508
422,-6.650438368423705
423,-5.437066043875474
424,-5.2454037865660466
425,-4.424441779969098
426,-3.2767546420303404
427,-3.2715037501780557
428,-5.317158396928493
429,-4.321641168710095
430,-5.392378654473038
431,-2.482728815576186
432,-5.7309366819954155
433,-5.384889181480132
434,-3.6753862693108053
435,-4.724987608226007
436,-4.226375915139617
437,-5.850621848069002
438,-4.367650044733238
439,-6.951270015003989
440,-4.727652711499449
441,-5.415864518771044
442,-8.942036932930478
443,-4.5130435184974615
444,-4.7693844159288
445,-4.765157820786985
446,-5.478432742864656
447,-4.168985694851105
448,-3.6374156940352496
449,-4.074762190980638
450,-4.021183890352622
451,-7.60529255180529
452,-4.126775574325987
453,-9.043556334568615
454,-4.813842074765048
455,-4.2180709454523
456,-7.55269779519438
457,-7.706184036777447
458,-4.457680729767801
459,-4.22821240463302
460,-7.647014830485375
461,-3.919648352283753
462,-4.30806044116075
463,-8.845988283641978
464,-3.1772352986509755
465,-1.3740369255663047
466,-3.4770809016380504
467,-4.729246831804425
468,-5.413796462054107
469,-5.124966172746919
470,-3.7631381044384007
471,-7.206455229830322
472,-6.868827160618903
473,-7.062753002182492
474,-3.527708795876568
475,-4.129256395537755
476,-5.546217637028645
477,-3.2772568989852866
478,-7.6994269188203095
479,-7.26828650946059
480,-5.951640321210849
481,-9.426941639980999
482,-5.748480146708543
483,-5.154757810860343
484,-3.8826285403032585
485,-4.164875847602956
486,-5.548657639126989
487,-8.630276389602226
488,-8.803057166562986
489,-5.263904335651653
490,-5.350094890607461
491,-5.780616266006223
492,-7.701891372269942
493,-6.893204254063849
494,-10.398560304199126
495,-8.357078032254666
496,-8.885149340520522
497,-5.170974280149775
498,-4.7729167594526185
499,-9.593629661204519
500,-7.360754449745981
501,-4.568818815948319
502,-4.705099353831447
503,-4.030293745908979
504,-9.893445720211021
505,-7.3800150998425975
506,-6.728882422573455
507,-7.435924008926878
508,-5.672544206402587
509,-9.293558345905137
510,-5.312136062390357
511,-11.9489198856463
512,-10.099662965304852
513,-5.867608096081495
514,-7.454638395312829
515,-10.401080217542154
516,-6.2480595796502625
517,-4.468951129626928
518,-6.578232165533129
519,-5.9294860383104515
520,-4.7868120872685855
521,-6.349366419065364
522,-4.129892839348176
523,-7.714602302345135
524,-6.131267184873119
525,-6.1637240773324535
526,-5.051200059634368
527,-5.009556687789376
528,-4.979152587852945
529,-3.5058585716329107
530,-2.5004349982223495
531,-5.555842410088129
532,-5.190056554681355
533,-4.840806815814502
534,-4.329672051835361
535,-4.773962979105015
536,-3.6827803790296896
537,-5.838302433479376
538,-3.0682947438814736
539,-5.61515439883057
540,-4.66692196469995
541,-5.325185132716656
542,-4.7026465467478396
543,-4.168357913197823
544,-5.953631880927837
545,-5.199453367648972
546,-3.9883468885635276
547,-4.965734826101713
548,-4.22522975197523
549,-6.479086093071325
550,-4.730058604067218
551,-8.647865759386484
552,-6.203101917118337
553,-5.3634484788686025
554,-5.136170050904306
555,-6.820421012209111
556,-3.826527080201708
557,-4.388314004782524
558,-6.28551951044731
559,-5.832410601577459
560,-5.030765411851977
561,-7.35092020770764
562,-2.837352408019596
563,-4.072084853747379
564,-8.941701919353097
565,-6.009955897349462
566,-5.040769591768706
567,-6.410569210480251
568,-9.903172786758317
569,-5.479403186255438
570,-8.996541204730615
571,-8.914381190242475
572,-9.822735871221916
573,-8.506609542007112
574,-5.825594776899138
575,-6.104860017160412
576,-9.38915121708276
577,-5.047674676583838
578,-3.645897465707116
579,-5.685995428352821
580,-4.578906410317829
581,-4.303603670937653
582,-2.384154057371439
583,-5.7187569713265365
584,-4.70752492359032
585,-4.377836421640142
586,-6.656904840532354
587,-5.882828217499043
588,-5.2474874202805974
589,-2.762293937488188
590,-4.8189917147774235
591,-6.224220978530723
592,-4.37731755051369
593,-5.1412996560694015
594,-5.707389876927744
595,-3.957658990828115
596,-5.494273170781224
597,-6.193219259484816
598,-4.572480486155554
599,-5.584540081862413
600,-5.077339471586322
601,-4.176678627882844
602,-3.4900976532734873
603,-4.3491013434482495
604,-2.2384817353483957
605,-3.89977974063369
606,-0.27081458331037034
607,-1.937456162109183
608,-3.466955591021531
609,-2.866160625457691
610,-2.889744109520713
611,-3.515451034108782
612,-2.683061093124139
613,-3.614253531410607
614,-5.472531579802223
615,-5.877533276006977
616,-3.2001182173984732
617,-8.054627337945437
618,-5.627415349771217
619,-3.591701225467057
620,-2.6578565626596564
621,-5.234266313711665
622,-7.077840552456779
623,-8.249853052155036
624,-3.62615355145166
625,-6.459102926507725
626,-3.488979879648917
627,-6.135289005617425
628,-7.239047279794141
629,-3.841578246836068
630,-8.005948154775412
631,-2.3147335965702966
632,-7.076471978986284
633,-4.319830135669296
634,-5.559785919011462
635,-4.406963243917156
636,-8.330772594054704
637,-7.076293911387438
638,-4.3573247409882025
639,-6.993181631835251
640,-7.578721587668868
641,-9.698622382334236
642,-9.366144877288479
643,-4.676180915330407
644,-6.509663894045986
645,-9.622481023289938
646,-8.323066316254973
647,-9.24901514034088
648,-4.794946477169253
649,-4.9916793265069686
650,-6.9430165257472005
651,-7.165552753168905
652,-6.204777518815397
653,-9.324371327241598
654,-8.934163770790482
