tour_id,tdd,start,end,duration,out_period,in_period,mode_choice_logsum,person_id,tour_type,tour_type_count,tour_type_num,tour_num,tour_count,tour_category,number_of_participants,destination,origin,household_id,mandatory_tour_seg,hhsize,density_index,age,age_16_p,age_16_to_19,auto_ownership,num_workers,value_of_time,free_parking_at_work,ptype,roundtrip_auto_time_to_work,income_in_thousands,work_and_school_and_worker,work_and_school_and_student,workplace_in_cbd,home_is_rural,mandatory_tour_frequency,is_worker,is_student,is_university,workplace_taz,school_taz,TAZ,start_previous,end_previous
48410912,23,6,10,4,EA,AM,-0.9348227657884015,1180753,work,1,1,1,1,mandatory,1,697,755,456291,work,3,0.6296254323592501,38,True,False,2,2.0,50.0,False,1,69.47,176.0,False,False,False,False,work1,True,False,False,697,-1,755,5,5
48410912,24,6,11,5,EA,AM,-0.9348376087183076,1180753,work,1,1,1,1,mandatory,1,697,755,456291,work,3,0.6296254323592501,38,True,False,2,2.0,50.0,False,1,69.47,176.0,False,False,False,False,work1,True,False,False,697,-1,755,5,5
48410912,25,6,12,6,EA,MD,-0.894069325361046,1180753,work,1,1,1,1,mandatory,1,697,755,456291,work,3,0.6296254323592501,38,True,False,2,2.0,50.0,False,1,69.47,176.0,False,False,False,False,work1,True,False,False,697,-1,755,5,5
48410912,26,6,13,7,EA,MD,-0.8940841984693475,1180753,work,1,1,1,1,mandatory,1,697,755,456291,work,3,0.6296254323592501,38,True,False,2,2.0,50.0,False,1,69.47,176.0,False,False,False,False,work1,True,False,False,697,-1,755,5,5
48410912,27,6,14,8,EA,MD,-0.8940990715575069,1180753,work,1,1,1,1,mandatory,1,697,755,456291,work,3,0.6296254323592501,38,True,False,2,2.0,50.0,False,1,69.47,176.0,False,False,False,False,work1,True,False,False,697,-1,755,5,5
48410912,28,6,15,9,EA,MD,-0.8941139446255248,1180753,work,1,1,1,1,mandatory,1,697,755,456291,work,3,0.6296254323592501,38,True,False,2,2.0,50.0,False,1,69.47,176.0,False,False,False,False,work1,True,False,False,697,-1,755,5,5
48410912,29,6,16,10,EA,MD,-0.8941288176734002,1180753,work,1,1,1,1,mandatory,1,697,755,456291,work,3,0.6296254323592501,38,True,False,2,2.0,50.0,False,1,69.47,176.0,False,False,False,False,work1,True,False,False,697,-1,755,5,5
48410912,30,6,17,11,EA,PM,-0.9257699441089792,1180753,work,1,1,1,1,mandatory,1,697,755,456291,work,3,0.6296254323592501,38,True,False,2,2.0,50.0,False,1,69.47,176.0,False,False,False,False,work1,True,False,False,697,-1,755,5,5
48410912,31,6,18,12,EA,PM,-0.9257848132436054,1180753,work,1,1,1,1,mandatory,1,697,755,456291,work,3,0.6296254323592501,38,True,False,2,2.0,50.0,False,1,69.47,176.0,False,False,False,False,work1,True,False,False,697,-1,755,5,5
48410912,32,6,19,13,EA,PM,-0.925799682358058,1180753,work,1,1,1,1,mandatory,1,697,755,456291,work,3,0.6296254323592501,38,True,False,2,2.0,50.0,False,1,69.47,176.0,False,False,False,False,work1,True,False,False,697,-1,755,5,5
48410912,33,6,20,14,EA,PM,-0.9258145514523365,1180753,work,1,1,1,1,mandatory,1,697,755,456291,work,3,0.6296254323592501,38,True,False,2,2.0,50.0,False,1,69.47,176.0,False,False,False,False,work1,True,False,False,697,-1,755,5,5
48410912,34,6,21,15,EA,EV,-0.8896440728764617,1180753,work,1,1,1,1,mandatory,1,697,755,456291,work,3,0.6296254323592501,38,True,False,2,2.0,50.0,False,1,69.47,176.0,False,False,False,False,work1,True,False,False,697,-1,755,5,5
48410912,35,6,22,16,EA,EV,-0.8896589457580193,1180753,work,1,1,1,1,mandatory,1,697,755,456291,work,3,0.6296254323592501,38,True,False,2,2.0,50.0,False,1,69.47,176.0,False,False,False,False,work1,True,False,False,697,-1,755,5,5
48410912,36,6,23,17,EA,EV,-0.8896738186194334,1180753,work,1,1,1,1,mandatory,1,697,755,456291,work,3,0.6296254323592501,38,True,False,2,2.0,50.0,False,1,69.47,176.0,False,False,False,False,work1,True,False,False,697,-1,755,5,5
48410912,37,7,7,0,AM,AM,-0.9524808009809772,1180753,work,1,1,1,1,mandatory,1,697,755,456291,work,3,0.6296254323592501,38,True,False,2,2.0,50.0,False,1,69.47,176.0,False,False,False,False,work1,True,False,False,697,-1,755,5,5
48410912,38,7,8,1,AM,AM,-0.9524953793120138,1180753,work,1,1,1,1,mandatory,1,697,755,456291,work,3,0.6296254323592501,38,True,False,2,2.0,50.0,False,1,69.47,176.0,False,False,False,False,work1,True,False,False,697,-1,755,5,5
48410912,39,7,9,2,AM,AM,-0.9525099576217679,1180753,work,1,1,1,1,mandatory,1,697,755,456291,work,3,0.6296254323592501,38,True,False,2,2.0,50.0,False,1,69.47,176.0,False,False,False,False,work1,True,False,False,697,-1,755,5,5
48410912,40,7,10,3,AM,AM,-0.9525245359102399,1180753,work,1,1,1,1,mandatory,1,697,755,456291,work,3,0.6296254323592501,38,True,False,2,2.0,50.0,False,1,69.47,176.0,False,False,False,False,work1,True,False,False,697,-1,755,5,5
