tour_id,alt_dest,rand,prob,pick_count
48410873,519,0.1506383954784588,0.0106215440691586,1
48410873,530,0.18686245461794315,0.007229528831036203,1
48410873,583,0.38147190679316334,0.031146790122108428,2
48410873,661,0.5818701816547267,0.07176069705290487,3
48410873,698,0.813892764606538,0.012028895958469467,1
48410873,529,0.1799231864770966,0.0022343840613807267,1
48410873,603,0.42677832966691986,0.0012352814668756282,1
48410873,712,0.9847890160658362,0.009714822891275862,1
48410873,499,0.1152535201802326,0.0019112818924621195,1
48410873,531,0.1909843183686466,0.02016585348631159,2
48410873,700,0.8519453713982373,0.054944153673833866,1
48410873,578,0.3430432447320646,0.001721625089593479,1
48410873,540,0.22880385703503592,0.001996326063855397,1
48410873,660,0.5353880615005419,0.011414832558294619,2
48410873,449,0.04813802646455134,0.0012532007425250285,1
48410873,677,0.687382706826757,0.04235283208664963,1
48410873,543,0.2397934276672511,0.003298829058664495,1
48410873,407,0.020395038528650322,0.005961362154784337,2
48410873,702,0.9118355358248258,0.045363594045644405,1
48410873,706,0.9466557381764745,0.018607606271861383,1
48410873,475,0.09335804190954133,0.004279232797986067,1
48410873,563,0.2968513670036229,0.02037065887768236,1
48410873,586,0.3998189457784952,0.0024757439299920286,1
48410873,570,0.3365640226438752,0.004197382395265497,1
