label,value_1,value_2,value_3,value_4
tour_id,48410863,48410912,48410873,48410953
primary_purpose,school,work,atwork,work
distance_in_miles,62.58000183105469,29.34000015258789,6.940000057220459,9.989999771118164
is_joint,False,False,False,False
num_full,2,2,2,2
num_part,0,0,0,0
num_student,1,1,1,1
num_age_0_4,1,1,1,1
num_age_5_15,0,0,0,0
num_adult,2,2,2,2
more_cars_than_workers,True,True,True,True
tour_mode_is_transit,False,False,False,False
tour_mode_is_drive_transit,False,False,False,False
tour_mode_is_non_motorized,False,False,False,False
num_school_tours,1,0,0,0
num_univ_tours,0,0,0,0
num_shop_tours,0,0,0,0
num_maint_tours,0,0,0,0
num_eatout_tours,0,0,0,0
num_social_tours,0,0,0,0
num_atwork_subtours,0,1,0,0
num_hh_shop_tours,0,0,0,0
num_hh_maint_tours,0,0,0,0
hhacc,0.0,0.0,0.0,0.0
pracc,0.0,0.0,0.0,0.0
destination_area_type,4,5,4,3
