TAZ,utility
1,-1005.9644399524323
2,-6.278192666600036
3,-5.0346297332177645
4,-5.586425429890429
5,-3.9889476157461767
6,-2.0235861539290347
7,-1.2913695894828994
8,-0.6808916843356787
9,-0.41700942524513085
10,-1.1515867769792463
11,-0.964452282307307
12,-2.7386132864130603
13,-6.269452729754436
14,-4.012180882003017
15,-3.9212974585591307
16,-1.5514923147947446
17,-1.002700475455529
18,-2.4923634353323596
19,-3.7408434144777885
20,-1.4448038395180438
21,-2.2485521337422263
22,-2.9288368085722594
23,-2.6164532195578936
24,-2.871965983009022
25,-0.9744539225242947
26,-1.7342465033713719
27,-1.2683585633022014
28,-1.636183923445592
29,-1.958767188641394
30,-0.7828102991635184
31,-2.1904060537974255
32,-1.5638587740095211
33,-1.1422758930301633
34,-1.852116325065662
35,-1.0400689168925377
36,-0.43965485613275845
37,-1.4864310519171307
38,-1.4894389574507976
39,-1.6099795573666436
40,-1.9941639242802234
41,-2.020044595293319
42,-1.0083971110285166
43,-1.336026840416329
44,-2.095366589880629
45,-1.7216617606103881
46,-1.7781097566567023
47,-2.553860284672284
48,-1.4499787968472617
49,-1.4422481216894436
50,-1.1575437546227478
51,-1.5475795032822601
52,-1.243676883997174
53,-1006.171899875626
54,-0.6823840632688167
55,-1.5954529781168407
56,-6.534412653059947
57,-0.9069905908498326
58,-0.8322174542473375
59,-0.5005882070365333
60,-1.0844376818066124
61,-1.170992359918217
62,-0.3357952684197496
63,-0.6556085465640313
64,-0.640834630172205
65,-0.7224329260795725
66,-1.5551257872091346
67,-1.2913894143387932
68,-1.377426910687225
69,-1.407644505097858
70,-0.825724022499835
71,-0.8649770571554418
72,-2.2708188026278906
73,-1.6499972370390976
74,-2.2173127187623702
75,-5.086609782452095
76,-2.6362307347171354
77,-1.2095094703319926
78,-0.9924464341799686
79,-2.515331284276879
80,-1.5200255311753352
81,-0.8838634336366811
82,-2.8260133567733634
83,-1.9388453705700464
84,-2.06788463750056
85,-1.6641138165650249
86,-0.7935239873420352
87,-1.1624857289948416
88,-1.4466376457004086
89,-0.912539735335157
90,-1.456547680628903
91,-0.9999949423593399
92,-1.4501774290110703
93,-1.6995699142048197
94,-2.5180688408164613
95,-1.718932287044014
96,-1.7469247636249001
97,-1.443373257583266
98,-1.2952615492373667
99,-1.3239989007346509
100,-0.8201816970911988
101,-0.6281004184222301
102,-1.3498748015584283
103,-1.6370222421339395
104,-2.0144038611481756
105,-0.6182146237544197
106,-0.8221998258698591
107,-2.2933210250768665
108,-2.9092260462528285
109,-1.150629350893821
110,-2.859485134867332
111,-3.3003702641014683
112,-1.728053889311222
113,-0.6908079790480217
114,-2.0057619188745672
115,-1.7532321078197564
116,-0.8834650151957959
117,-0.6452809603529275
118,-0.7559115952283992
119,-1.4867436087609374
120,-1.0899903337370302
121,-1.1497236633599899
122,-0.7825152027764011
123,-1.1074650466756308
124,-0.5012580911361937
125,-1.0250655301935696
126,-0.5167184923746415
127,-1.0611375760602169
128,-1.0561346177040294
129,-1.5762859206120785
130,-1.1540467160018837
131,-0.5114977329303327
132,-1.012951735197701
133,-0.5328458928102826
134,0.007047168018103456
135,-0.25124941560138225
136,-1.0099033356150544
137,-0.4163474302287531
138,0.15987854223536502
139,-0.46200602603441254
140,-0.562376906192239
141,-0.9721408759191785
142,-5.721205444190478
143,-1.9507446464811693
144,-0.4516977679093186
145,0.048252797761289656
146,-4.870234803690839
147,-0.33377245246972365
148,-0.7171504327594773
149,-0.8867593551259088
150,-1.0841717293278554
151,-1.3504173435053382
152,-1.1039342101732785
153,-0.8290516023895993
154,-0.7488332125889006
155,-0.8861914577771444
156,-0.9248583999391276
157,-0.2790302125958881
158,-2.632851649112091
159,-0.6553609812364325
160,-0.6025097526715593
161,-0.6138152643420076
162,-0.942217833414519
163,-0.6106092907532119
164,-0.19637365618906966
165,-0.32385731033884824
166,-0.058407569104400814
167,-0.3958948236333786
168,-0.07667109691376606
169,-0.17686820135568837
170,-0.5017236890701327
171,-1.1827327945099535
172,-0.38553976925622724
173,-0.9662313596661107
174,-0.8303927735558476
175,-2.360635541312468
