alternative,utility
person_id,1180752.0
0,-1005.9644399524323
1,-6.278192666600036
2,-5.0346297332177645
3,-5.586425429890429
4,-3.9889476157461767
5,-2.0235861539290347
6,-1.2913695894828994
7,-0.6808916843356787
8,-0.41700942524513085
9,-1.1515867769792463
10,-0.964452282307307
11,-2.7386132864130603
12,-6.269452729754436
13,-4.012180882003017
14,-3.9212974585591307
15,-1.5514923147947446
16,-1.002700475455529
17,-2.4923634353323596
18,-3.7408434144777885
19,-1.4448038395180438
20,-2.2485521337422263
21,-2.9288368085722594
22,-2.6164532195578936
23,-2.871965983009022
24,-0.9744539225242947
25,-1.7342465033713719
26,-1.2683585633022014
27,-1.636183923445592
28,-1.958767188641394
29,-0.7828102991635184
30,-2.1904060537974255
31,-1.5638587740095211
32,-1.1422758930301633
33,-1.852116325065662
34,-1.0400689168925377
35,-0.43965485613275845
36,-1.4864310519171307
37,-1.4894389574507976
38,-1.6099795573666436
39,-1.9941639242802234
40,-2.020044595293319
41,-1.0083971110285166
42,-1.336026840416329
43,-2.095366589880629
44,-1.7216617606103881
45,-1.7781097566567023
46,-2.553860284672284
47,-1.4499787968472617
48,-1.4422481216894436
49,-1.1575437546227478
50,-1.5475795032822601
51,-1.243676883997174
52,-1006.171899875626
53,-0.6823840632688167
54,-1.5954529781168407
55,-6.534412653059947
56,-0.9069905908498326
57,-0.8322174542473375
58,-0.5005882070365333
59,-1.0844376818066124
60,-1.170992359918217
61,-0.3357952684197496
62,-0.6556085465640313
63,-0.640834630172205
64,-0.7224329260795725
65,-1.5551257872091346
66,-1.2913894143387932
67,-1.377426910687225
68,-1.407644505097858
69,-0.825724022499835
70,-0.8649770571554418
71,-2.2708188026278906
72,-1.6499972370390976
73,-2.2173127187623702
74,-5.086609782452095
75,-2.6362307347171354
76,-1.2095094703319926
77,-0.9924464341799686
78,-2.515331284276879
79,-1.5200255311753352
80,-0.8838634336366811
81,-2.8260133567733634
82,-1.9388453705700464
83,-2.06788463750056
84,-1.6641138165650249
85,-0.7935239873420352
86,-1.1624857289948416
87,-1.4466376457004086
88,-0.912539735335157
89,-1.456547680628903
90,-0.9999949423593399
91,-1.4501774290110703
92,-1.6995699142048197
93,-2.5180688408164613
94,-1.718932287044014
95,-1.7469247636249001
96,-1.443373257583266
97,-1.2952615492373667
98,-1.3239989007346509
99,-0.8201816970911988
100,-0.6281004184222301
101,-1.3498748015584283
102,-1.6370222421339395
103,-2.0144038611481756
104,-0.6182146237544197
105,-0.8221998258698591
106,-2.2933210250768665
107,-2.9092260462528285
108,-1.150629350893821
109,-2.859485134867332
110,-3.3003702641014683
111,-1.728053889311222
112,-0.6908079790480217
113,-2.0057619188745672
114,-1.7532321078197564
115,-0.8834650151957959
116,-0.6452809603529275
117,-0.7559115952283992
118,-1.4867436087609374
119,-1.0899903337370302
120,-1.1497236633599899
121,-0.7825152027764011
122,-1.1074650466756308
123,-0.5012580911361937
124,-1.0250655301935696
125,-0.5167184923746415
126,-1.0611375760602169
127,-1.0561346177040294
128,-1.5762859206120785
129,-1.1540467160018837
130,-0.5114977329303327
131,-1.012951735197701
132,-0.5328458928102826
133,0.007047168018103456
134,-0.25124941560138225
135,-1.0099033356150544
136,-0.4163474302287531
137,0.15987854223536502
138,-0.46200602603441254
139,-0.562376906192239
140,-0.9721408759191785
141,-5.721205444190478
142,-1.9507446464811693
143,-0.4516977679093186
144,0.048252797761289656
145,-4.870234803690839
146,-0.33377245246972365
147,-0.7171504327594773
148,-0.8867593551259088
149,-1.0841717293278554
150,-1.3504173435053382
151,-1.1039342101732785
152,-0.8290516023895993
153,-0.7488332125889006
154,-0.8861914577771444
155,-0.9248583999391276
156,-0.2790302125958881
157,-2.632851649112091
158,-0.6553609812364325
159,-0.6025097526715593
160,-0.6138152643420076
161,-0.942217833414519
162,-0.6106092907532119
163,-0.19637365618906966
164,-0.32385731033884824
165,-0.058407569104400814
166,-0.3958948236333786
167,-0.07667109691376606
168,-0.17686820135568837
169,-0.5017236890701327
170,-1.1827327945099535
171,-0.38553976925622724
172,-0.9662313596661107
173,-0.8303927735558476
174,-2.360635541312468
175,-1.2864031965393998
176,-0.3134026058820494
177,-0.590979476269859
178,-0.3776053625560625
179,-0.9288497508164664
180,-0.6644965042612929
181,-0.6061437103302154
182,-0.4072254951265526
183,-0.053374756585720995
184,-0.2174756498451682
185,-0.23532340840259902
186,-0.6713893695872075
187,-2.2633472328540325
188,-0.7348908019651477
189,-2.5437896955290134
190,-0.794581607983126
191,-0.23622764106791916
192,-0.3540304380028614
193,-0.29473998626303555
194,-0.4129222286755745
195,-0.18997411384532104
196,-0.6128110727386655
197,-0.24573489885319066
198,-1.3119075101290152
199,-0.9001690867836842
200,0.12762068098554025
201,0.14109651279535917
202,-0.517786591819978
203,-0.19362986124526138
204,0.01837887437222019
205,-0.405618322431188
206,-0.43017515949865626
207,-0.6084954210472677
208,0.23022160451869222
209,-0.31232086172695883
210,0.4870004934574155
211,-0.31897694632702756
212,0.22042236570366036
213,0.1399472769444401
214,0.08641803816096782
215,-0.932895077097128
216,-0.3923534354373759
217,-0.6553005700492811
218,-0.15883608174940456
219,-0.14929202599247926
220,-0.6476211704687724
221,-0.7753809403064249
222,-0.5697368991875011
223,-0.7345208973549902
224,-0.7116558927957248
225,-0.2473137539224428
226,-0.6182073041790597
227,-4.79067529793212
228,0.04780520674793465
229,0.33264406956774994
230,-0.22309050050428425
231,-0.18189743218029353
232,0.007873357410359993
233,-1.6224225507040275
234,-0.6682702217314223
235,-0.1421693170269922
236,0.49071712294316683
237,0.08020253794750598
238,-1005.8379399521864
239,-0.07173171248022214
240,-0.4031095370916118
241,-0.7621375754790716
242,-0.5874517343706867
243,0.13714408679136803
244,-0.4344521720746348
245,0.5365477705773793
246,0.26540535821907785
247,-0.5196957852202324
248,0.28522741461988943
249,0.2531151106203726
250,-0.46552200981455716
251,0.527916175372118
252,-0.22320547553300685
253,0.6924702117968122
254,0.2236477810960622
255,-0.11312882054915008
256,-0.5622677893246735
257,0.03713817080790349
258,-0.13591488262042706
259,0.8177491793930844
260,-0.055576322359918606
261,0.016219910800286286
262,-0.20276428233930055
263,-0.15596189379909386
264,-0.7190328848842418
265,0.306890811235184
266,-0.15791159406610866
267,0.1072242159511907
268,0.09896074393943
269,-0.40572296936632224
270,-0.2070584466166503
271,-0.3106310149581075
272,-0.19265893023610925
273,0.13594586273723586
274,0.2190364849121833
275,-0.46345408123067955
276,0.41602377266919266
277,0.0949039432438159
278,-0.1868656614693247
279,-0.06469024686576219
280,-0.048514899998161276
281,-0.5898365366064686
282,-0.021809142864196218
283,-0.1530538938370789
284,-0.13764558767370794
285,0.49231408235315843
