TAZ,size_term,shadow_price_size_term_adjustment,shadow_price_utility_adjustment,TAZ,TAZ_chooser,school_segment,household_id
517,948.0,1,0,517,755,1,456291
518,1327.0,1,0,518,755,1,456291
519,1164.0,1,0,519,755,1,456291
520,789.0,1,0,520,755,1,456291
521,773.0,1,0,521,755,1,456291
522,1114.0,1,0,522,755,1,456291
523,1642.0,1,0,523,755,1,456291
524,1102.0,1,0,524,755,1,456291
525,854.0,1,0,525,755,1,456291
526,1216.0,1,0,526,755,1,456291
527,1334.0,1,0,527,755,1,456291
528,1114.0,1,0,528,755,1,456291
529,381.0,1,0,529,755,1,456291
530,856.0,1,0,530,755,1,456291
531,415.0,1,0,531,755,1,456291
532,770.0,1,0,532,755,1,456291
533,1358.0,1,0,533,755,1,456291
534,629.0,1,0,534,755,1,456291
535,744.0,1,0,535,755,1,456291
536,1072.0,1,0,536,755,1,456291
537,620.0,1,0,537,755,1,456291
538,211.0,1,0,538,755,1,456291
539,29.0,1,0,539,755,1,456291
540,628.0,1,0,540,755,1,456291
541,847.0,1,0,541,755,1,456291
542,405.0,1,0,542,755,1,456291
543,478.0,1,0,543,755,1,456291
544,810.0,1,0,544,755,1,456291
545,257.0,1,0,545,755,1,456291
546,485.0,1,0,546,755,1,456291
547,1408.0,1,0,547,755,1,456291
548,1456.0,1,0,548,755,1,456291
549,611.0,1,0,549,755,1,456291
550,847.0,1,0,550,755,1,456291
551,1287.0,1,0,551,755,1,456291
552,906.0,1,0,552,755,1,456291
553,859.0,1,0,553,755,1,456291
554,360.0,1,0,554,755,1,456291
555,858.0,1,0,555,755,1,456291
556,229.0,1,0,556,755,1,456291
557,245.0,1,0,557,755,1,456291
558,372.0,1,0,558,755,1,456291
559,947.0,1,0,559,755,1,456291
560,1316.0,1,0,560,755,1,456291
561,635.0,1,0,561,755,1,456291
562,1176.0,1,0,562,755,1,456291
563,1947.0,1,0,563,755,1,456291
564,1633.0,1,0,564,755,1,456291
565,700.0,1,0,565,755,1,456291
566,787.0,1,0,566,755,1,456291
567,1820.0,1,0,567,755,1,456291
568,1446.0,1,0,568,755,1,456291
569,871.0,1,0,569,755,1,456291
570,1261.0,1,0,570,755,1,456291
571,841.0,1,0,571,755,1,456291
572,991.0,1,0,572,755,1,456291
573,845.0,1,0,573,755,1,456291
574,795.0,1,0,574,755,1,456291
575,824.0,1,0,575,755,1,456291
576,971.0,1,0,576,755,1,456291
577,1031.0,1,0,577,755,1,456291
578,2139.0,1,0,578,755,1,456291
579,462.0,1,0,579,755,1,456291
580,1220.0,1,0,580,755,1,456291
581,1262.0,1,0,581,755,1,456291
582,1478.0,1,0,582,755,1,456291
583,1268.0,1,0,583,755,1,456291
584,1012.0,1,0,584,755,1,456291
585,1046.0,1,0,585,755,1,456291
586,1438.0,1,0,586,755,1,456291
587,448.0,1,0,587,755,1,456291
588,1547.0,1,0,588,755,1,456291
589,1278.0,1,0,589,755,1,456291
590,973.0,1,0,590,755,1,456291
591,2202.0,1,0,591,755,1,456291
592,1156.0,1,0,592,755,1,456291
593,678.0,1,0,593,755,1,456291
594,1062.0,1,0,594,755,1,456291
595,1634.0,1,0,595,755,1,456291
596,389.0,1,0,596,755,1,456291
597,1403.0,1,0,597,755,1,456291
598,1408.0,1,0,598,755,1,456291
599,980.0,1,0,599,755,1,456291
600,724.0,1,0,600,755,1,456291
601,1197.0,1,0,601,755,1,456291
602,443.0,1,0,602,755,1,456291
603,27.0,1,0,603,755,1,456291
604,585.0,1,0,604,755,1,456291
605,1862.0,1,0,605,755,1,456291
606,887.0,1,0,606,755,1,456291
607,930.0,1,0,607,755,1,456291
608,241.0,1,0,608,755,1,456291
609,1085.0,1,0,609,755,1,456291
610,264.0,1,0,610,755,1,456291
611,1167.0,1,0,611,755,1,456291
612,1044.0,1,0,612,755,1,456291
613,679.0,1,0,613,755,1,456291
614,987.0,1,0,614,755,1,456291
615,754.0,1,0,615,755,1,456291
616,1217.0,1,0,616,755,1,456291
617,992.0,1,0,617,755,1,456291
618,502.0,1,0,618,755,1,456291
619,879.0,1,0,619,755,1,456291
620,800.0,1,0,620,755,1,456291
621,1009.0,1,0,621,755,1,456291
622,1068.0,1,0,622,755,1,456291
623,1248.0,1,0,623,755,1,456291
624,458.0,1,0,624,755,1,456291
625,1001.0,1,0,625,755,1,456291
626,1012.0,1,0,626,755,1,456291
627,1287.0,1,0,627,755,1,456291
628,879.0,1,0,628,755,1,456291
629,851.0,1,0,629,755,1,456291
630,1559.0,1,0,630,755,1,456291
631,937.0,1,0,631,755,1,456291
632,899.0,1,0,632,755,1,456291
633,2171.0,1,0,633,755,1,456291
634,1195.0,1,0,634,755,1,456291
635,944.0,1,0,635,755,1,456291
636,1129.0,1,0,636,755,1,456291
637,906.0,1,0,637,755,1,456291
638,1294.0,1,0,638,755,1,456291
639,1440.0,1,0,639,755,1,456291
640,800.0,1,0,640,755,1,456291
641,1089.0,1,0,641,755,1,456291
642,776.0,1,0,642,755,1,456291
643,854.0,1,0,643,755,1,456291
644,930.0,1,0,644,755,1,456291
645,960.0,1,0,645,755,1,456291
646,703.0,1,0,646,755,1,456291
647,1068.0,1,0,647,755,1,456291
648,1673.0,1,0,648,755,1,456291
649,1086.0,1,0,649,755,1,456291
650,1681.0,1,0,650,755,1,456291
651,1588.0,1,0,651,755,1,456291
652,1179.0,1,0,652,755,1,456291
653,3117.0,1,0,653,755,1,456291
654,1265.0,1,0,654,755,1,456291
655,2941.0,1,0,655,755,1,456291
656,1826.0,1,0,656,755,1,456291
657,1709.0,1,0,657,755,1,456291
658,872.0,1,0,658,755,1,456291
659,658.0,1,0,659,755,1,456291
660,731.0,1,0,660,755,1,456291
661,1327.0,1,0,661,755,1,456291
662,783.0,1,0,662,755,1,456291
663,586.0,1,0,663,755,1,456291
664,1415.0,1,0,664,755,1,456291
665,1390.0,1,0,665,755,1,456291
666,1059.0,1,0,666,755,1,456291
667,1071.0,1,0,667,755,1,456291
668,1045.0,1,0,668,755,1,456291
669,2358.0,1,0,669,755,1,456291
670,1801.0,1,0,670,755,1,456291
671,1185.0,1,0,671,755,1,456291
672,732.0,1,0,672,755,1,456291
673,649.0,1,0,673,755,1,456291
674,1094.0,1,0,674,755,1,456291
675,1054.0,1,0,675,755,1,456291
676,1609.0,1,0,676,755,1,456291
677,831.0,1,0,677,755,1,456291
678,594.0,1,0,678,755,1,456291
679,832.0,1,0,679,755,1,456291
680,1124.0,1,0,680,755,1,456291
681,599.0,1,0,681,755,1,456291
682,1014.0,1,0,682,755,1,456291
683,824.0,1,0,683,755,1,456291
684,1395.0,1,0,684,755,1,456291
685,955.0,1,0,685,755,1,456291
686,967.0,1,0,686,755,1,456291
687,589.0,1,0,687,755,1,456291
688,1793.0,1,0,688,755,1,456291
689,1165.0,1,0,689,755,1,456291
690,1378.0,1,0,690,755,1,456291
691,712.0,1,0,691,755,1,456291
692,693.0,1,0,692,755,1,456291
693,1063.0,1,0,693,755,1,456291
694,1245.0,1,0,694,755,1,456291
695,2077.0,1,0,695,755,1,456291
696,975.0,1,0,696,755,1,456291
697,365.0,1,0,697,755,1,456291
698,1752.0,1,0,698,755,1,456291
699,954.0,1,0,699,755,1,456291
700,2640.0,1,0,700,755,1,456291
701,1460.0,1,0,701,755,1,456291
702,2332.0,1,0,702,755,1,456291
703,621.0,1,0,703,755,1,456291
704,832.0,1,0,704,755,1,456291
705,2427.0,1,0,705,755,1,456291
706,716.0,1,0,706,755,1,456291
