TAZ,university,gradeschool,highschool
348,0,0,0
349,0,4,0
350,0,6,0
351,0,24,71
352,0,0,0
353,0,4,0
354,626,3,0
355,0,30,0
356,0,14,0
357,0,30,0
358,0,36,0
359,0,29,12
360,0,36,0
361,0,32,0
362,32,39,0
363,0,21,0
364,0,12,0
365,0,20,0
366,0,26,0
367,0,35,0
368,0,15,29
369,0,28,0
370,0,12,51
371,0,33,0
372,0,36,0
373,0,14,0
374,60,22,0
375,0,29,0
376,0,25,0
377,0,34,0
378,0,11,0
379,0,34,7
380,0,30,0
381,0,40,0
382,0,14,0
383,0,11,57
384,0,32,0
385,0,13,0
386,0,21,0
387,0,26,0
388,0,45,44
389,0,28,0
390,0,16,0
391,0,27,0
392,0,25,0
393,0,26,0
394,0,32,0
395,0,17,0
396,0,0,0
397,0,13,0
398,0,14,0
399,0,0,0
400,0,24,0
401,2,2,0
402,0,4,0
403,19,0,0
404,0,15,0
405,0,0,0
406,0,0,0
407,0,0,0
408,0,0,0
409,0,0,0
410,0,8,0
411,0,0,0
412,77,168,0
413,0,23,0
414,0,20,0
415,265,4,0
416,0,55,0
417,0,0,0
418,0,14,0
419,0,17,0
420,0,18,0
421,0,34,0
422,0,41,0
423,0,31,0
424,0,58,0
425,0,33,0
426,0,22,0
427,0,14,13
428,0,4,0
429,0,0,0
430,0,0,0
431,0,0,0
432,0,4,0
433,0,45,0
434,0,0,0
435,0,44,0
436,0,23,0
437,0,51,0
438,0,53,0
439,0,23,0
440,0,49,66
441,0,41,0
442,0,27,88
443,0,72,0
444,0,33,15
445,0,39,0
446,0,51,0
447,0,34,0
448,0,23,0
449,0,29,0
450,0,31,0
451,0,43,0
452,0,16,85
453,0,43,0
454,0,39,0
455,0,26,0
456,0,64,0
457,0,39,0
458,0,36,0
459,0,74,0
460,0,32,0
461,0,30,0
462,0,30,0
463,0,24,0
464,0,22,0
465,0,40,0
466,0,22,0
467,0,32,0
468,0,37,0
469,0,62,0
470,0,37,0
471,0,35,0
472,0,28,6
473,0,53,0
474,0,39,0
475,0,36,0
476,0,50,0
477,0,38,40
478,0,29,0
479,0,82,51
480,0,26,0
481,0,37,61
482,0,30,0
483,0,55,0
484,0,72,0
485,0,50,0
486,0,46,0
487,0,50,56
488,0,53,0
489,0,48,53
490,476,33,0
491,0,32,0
492,0,52,0
493,0,35,32
494,0,55,27
495,0,32,0
496,0,9,0
497,151,20,0
498,0,23,0
499,0,49,0
500,0,37,62
501,0,17,0
502,0,23,0
503,0,51,0
504,0,29,0
505,0,49,0
506,0,20,0
507,0,28,0
508,0,18,0
509,0,11,0
510,0,11,0
511,0,26,35
512,0,23,0
513,0,14,0
514,0,33,0
515,0,49,54
516,0,18,0
517,0,24,0
518,0,47,0
519,0,52,0
520,0,31,0
521,0,41,0
522,0,43,0
523,0,67,0
524,0,17,0
525,0,20,23
526,0,30,52
527,0,33,0
528,0,34,0
529,0,14,0
530,0,32,0
531,0,11,0
532,0,28,0
533,364,50,76
534,0,27,0
535,0,40,0
536,0,44,0
537,0,45,0
538,0,39,0
539,0,2,0
540,0,22,0
541,0,27,55
542,0,12,66
543,0,61,0
544,0,18,0
545,397,40,0
546,0,30,0
547,0,89,0
548,0,95,0
549,0,21,0
550,0,53,0
551,0,67,52
552,0,42,0
553,0,50,0
554,0,28,0
555,42,61,24
556,0,59,0
557,1630,25,0
558,0,46,0
559,0,51,0
560,0,49,0
561,0,36,0
562,0,49,0
563,0,78,83
564,0,81,0
565,0,18,0
566,0,40,0
567,0,62,0
568,0,61,0
569,0,45,0
570,0,56,0
571,0,33,0
572,0,31,75
573,0,21,0
574,0,41,0
575,0,25,0
576,0,33,0
577,0,52,0
578,0,79,0
579,0,21,0
580,0,55,0
581,0,48,0
582,0,64,0
583,0,44,10
584,0,42,0
585,0,49,0
586,0,47,77
587,0,21,0
588,0,68,0
589,0,65,0
590,0,39,0
591,0,111,0
592,0,52,0
593,0,21,0
594,0,51,0
595,0,58,0
596,0,17,203
597,0,74,0
598,0,120,0
599,0,26,0
600,0,31,0
601,0,48,0
602,0,16,0
603,0,5,0
604,0,12,0
605,0,73,0
606,0,142,0
607,0,11,0
608,0,27,0
609,0,30,104
610,0,8,0
611,0,34,0
612,0,30,0
613,0,19,0
614,0,22,0
615,0,18,0
616,0,23,0
617,0,35,0
618,0,10,0
619,0,32,0
620,0,18,0
621,0,33,0
622,0,30,0
623,0,34,0
624,0,12,0
625,0,34,0
626,0,24,59
627,0,32,0
628,0,15,0
629,0,19,0
630,0,65,0
631,0,33,0
632,0,44,0
633,0,63,69
634,0,50,0
635,0,36,0
636,59,46,0
637,0,18,0
638,0,54,0
639,0,48,0
640,0,34,88
641,0,17,0
642,0,13,0
643,0,23,0
644,0,23,0
645,0,28,0
646,0,15,0
647,0,14,0
648,0,26,0
649,0,35,0
650,0,42,0
651,0,52,0
652,0,18,0
653,392,44,0
654,0,13,0
655,0,50,52
656,0,15,0
657,0,31,0
658,0,18,0
659,0,13,0
660,0,13,0
661,0,88,0
662,0,32,0
663,0,16,43
664,0,38,0
665,0,47,0
666,0,28,0
667,0,39,86
668,0,40,0
669,0,80,0
670,0,74,32
671,0,45,0
672,0,28,0
673,0,31,0
674,0,43,0
675,0,25,0
676,0,54,0
677,0,29,0
678,0,20,67
679,0,37,0
680,0,52,0
681,0,14,0
682,0,24,0
683,0,24,0
684,0,45,17
685,0,30,0
686,0,29,0
687,0,25,0
