TAZ,work_low,work_med,work_high,work_veryhigh
278,18,46,73,103
279,12,24,26,49
280,11,26,33,48
281,8,14,11,31
282,18,18,35,68
283,0,5,3,7
284,9,30,47,57
285,2,3,2,8
286,4,19,21,26
287,5,4,9,14
288,7,20,18,20
289,4,4,4,10
290,1,2,2,1
291,9,19,39,52
292,4,4,15,20
293,3,3,6,4
294,4,2,5,9
295,1,3,6,6
296,9,9,13,17
297,1,0,4,6
298,1,5,6,9
299,3,4,4,11
300,2,5,2,5
301,2,6,4,15
302,2,3,1,8
303,6,9,10,18
304,0,4,4,8
305,0,1,2,2
306,1,1,4,2
307,1,4,5,3
308,1,2,4,3
309,14,17,37,61
310,31,56,88,158
311,60,128,189,360
312,1,4,4,9
313,11,13,21,47
314,22,21,38,62
315,46,76,82,149
316,2,0,2,4
317,6,16,18,20
318,3,7,13,10
319,0,1,1,5
320,2,2,2,6
321,3,3,6,12
322,2,9,11,18
323,6,5,7,19
324,1,2,4,4
325,0,4,2,5
326,3,7,7,22
327,3,4,10,15
328,1,2,7,21
329,7,6,11,30
330,0,0,3,3
331,27,55,67,136
332,9,15,21,52
333,11,3,10,8
334,1,4,6,1
335,14,17,21,38
336,5,2,6,17
337,0,2,3,6
338,2,0,0,3
339,3,5,6,14
340,39,40,74,134
341,22,24,42,69
342,2,2,9,13
343,1,0,4,7
344,0,3,1,5
345,0,2,4,12
346,11,22,42,80
347,5,10,20,35
348,9,13,19,47
349,79,141,233,372
350,28,46,77,124
351,17,33,48,75
352,0,0,0,1
353,2,0,2,3
354,14,29,38,62
355,174,236,322,502
356,45,63,85,140
357,5,1,11,8
358,1,3,7,7
359,4,2,3,12
360,1,7,4,8
361,3,8,16,17
362,12,15,27,39
363,5,6,9,4
364,2,2,3,8
365,2,0,4,7
366,6,13,24,30
367,4,7,18,23
368,2,2,5,14
369,9,12,20,37
370,18,26,44,76
371,10,7,23,38
372,23,38,51,61
373,1,6,10,7
374,22,37,42,80
375,0,0,1,1
376,3,9,10,19
377,4,11,14,18
378,42,56,68,108
379,6,6,11,8
380,0,2,0,0
381,15,17,18,28
382,1,3,4,6
383,14,26,33,44
384,3,6,8,10
385,4,5,3,7
386,0,0,2,2
387,4,6,6,20
388,17,22,22,36
389,9,18,12,20
390,1,3,8,8
391,15,8,16,24
392,1,0,3,5
393,2,7,9,18
394,14,34,52,66
395,19,33,38,79
396,24,31,51,84
397,7,21,46,68
398,3,5,16,22
399,36,50,54,116
400,1,4,6,4
401,32,55,97,182
402,16,27,25,43
403,86,101,181,314
404,21,28,45,87
405,15,19,28,37
406,53,67,92,144
407,97,134,230,405
408,82,129,209,302
409,81,83,145,210
410,51,67,105,140
411,11,12,19,27
412,135,151,267,411
413,15,12,17,32
414,46,51,88,135
415,102,144,217,341
416,45,73,94,137
417,22,23,68,85
418,15,20,25,58
419,0,3,6,2
420,2,3,0,6
421,1,1,1,3
422,8,17,13,14
423,1,1,3,3
424,6,16,17,17
425,0,4,8,6
426,14,18,17,27
427,55,78,97,153
428,54,73,101,159
429,46,74,89,167
430,49,86,147,220
431,26,35,83,104
432,109,129,176,304
433,6,15,14,24
434,25,30,30,57
435,128,177,214,362
436,10,26,36,37
437,4,5,6,8
438,1,8,6,10
439,5,9,10,13
440,22,25,30,42
441,6,11,11,24
442,4,3,6,8
443,1,1,1,0
444,9,10,14,23
445,6,10,7,16
446,1,1,3,8
447,1,6,3,7
448,13,13,10,20
449,14,10,16,27
450,31,23,38,51
451,4,11,17,11
452,8,9,14,12
453,8,15,20,25
454,7,9,11,17
455,9,9,18,30
456,1,6,2,9
457,2,5,9,12
458,1,1,0,4
459,4,8,13,13
460,23,34,72,119
461,4,6,5,6
462,8,7,14,20
463,5,5,9,21
464,1,4,7,16
465,15,22,29,35
466,28,32,34,45
467,23,32,59,68
468,10,10,18,22
469,9,6,8,18
470,2,13,19,20
471,12,14,32,25
472,11,18,24,38
473,4,6,9,13
474,2,4,4,2
475,16,23,18,26
476,12,26,22,30
477,12,15,8,18
478,17,19,25,46
479,16,14,19,38
480,5,7,6,11
481,3,5,8,10
482,2,2,3,2
483,3,10,12,26
484,24,39,60,86
485,36,46,50,94
486,7,14,11,36
487,5,9,15,11
488,7,8,8,14
489,7,8,7,17
490,9,11,22,34
491,5,7,7,11
492,5,5,6,10
493,3,8,13,11
494,3,9,8,15
495,2,4,8,13
496,6,6,10,14
497,8,18,20,40
498,6,9,23,23
499,6,17,19,25
500,2,3,2,4
501,2,0,7,2
502,3,5,5,10
503,7,24,28,31
504,44,81,81,151
505,1,6,1,3
506,9,16,29,33
507,8,10,12,12
508,4,11,16,29
509,7,9,26,34
510,2,1,5,4
511,18,35,45,71
512,1,1,2,4
513,2,4,6,2
514,5,9,10,13
515,14,29,45,55
516,1,3,3,3
517,9,5,9,26
518,17,28,29,38
519,44,61,74,100
520,12,8,7,10
521,14,22,27,41
522,10,8,13,13
523,6,13,16,18
524,0,2,1,3
525,2,4,12,9
526,6,7,16,16
527,14,16,23,41
528,6,15,21,30
529,9,7,20,28
530,68,74,102,166
531,16,12,29,43
532,5,5,3,8
533,19,22,23,34
534,15,15,26,44
535,22,18,22,37
536,6,10,7,12
537,28,29,47,72
538,12,24,31,44
539,38,51,74,80
540,39,30,58,63
541,46,49,62,80
542,13,19,31,39
543,50,67,107,157
544,9,16,12,22
545,21,29,19,38
546,56,79,107,154
547,18,38,30,41
548,10,11,15,18
549,27,55,42,74
550,9,8,15,18
551,16,16,18,29
552,1,1,1,4
553,2,1,2,2
554,8,9,15,20
555,13,9,14,27
556,13,7,8,21
557,46,51,55,61
558,155,185,246,352
559,6,4,9,16
560,32,41,55,81
561,9,12,16,19
562,7,6,5,6
563,88,138,159,241
564,20,34,33,39
565,8,8,18,28
566,4,11,16,16
567,17,13,11,22
568,6,8,9,21
569,2,6,0,2
570,2,1,5,3
571,1,1,6,5
572,3,7,7,5
573,4,5,2,5
574,2,4,11,9
575,5,8,9,8
576,2,3,5,7
577,5,4,1,4
578,2,2,3,7
579,11,11,20,18
580,6,5,10,10
581,4,5,2,7
582,17,29,35,44
583,32,35,54,60
584,10,9,9,11
585,0,2,5,4
586,3,6,9,8
587,2,0,0,4
588,1,3,7,4
589,3,7,4,5
590,7,8,13,17
591,4,7,11,14
592,4,1,7,9
593,16,29,47,45
594,3,7,4,7
595,14,26,25,26
596,8,12,8,12
597,4,5,11,18
598,2,2,6,8
599,1,1,1,2
600,1,6,2,5
601,4,9,18,24
602,25,46,59,75
603,54,64,97,118
604,16,30,59,76
605,67,84,129,200
606,12,19,19,34
607,33,41,58,66
608,37,58,95,134
609,20,9,30,37
610,8,10,20,21
611,7,11,19,20
612,5,13,18,39
613,5,5,6,3
614,2,10,9,6
615,4,4,9,7
616,21,13,25,29
617,5,6,9,10
618,1,1,1,1
619,4,4,12,12
620,7,6,19,9
621,7,1,9,10
622,2,3,4,7
623,2,2,5,7
624,2,0,3,3
625,3,1,8,9
626,12,3,7,3
627,5,6,6,14
628,3,1,2,9
629,6,3,4,7
630,3,6,7,6
631,4,11,3,5
632,15,13,16,14
633,18,15,7,14
634,6,7,9,14
635,0,4,2,10
636,6,6,11,12
637,1,2,2,3
638,4,3,2,5
639,2,7,14,6
640,0,2,5,1
641,3,7,14,15
642,1,1,3,4
643,2,2,3,1
644,4,5,1,13
645,3,6,7,10
646,0,4,2,3
647,3,3,4,4
648,2,4,7,5
649,6,5,9,4
650,5,6,9,12
651,4,8,11,15
652,6,8,14,16
653,16,15,20,27
654,5,10,16,22
655,12,12,27,36
656,18,23,49,80
657,5,4,5,7
658,0,0,1,2
659,0,8,5,9
660,44,57,57,111
661,19,23,31,39
662,3,2,4,10
663,0,3,3,7
664,5,3,9,6
665,10,4,13,12
666,4,3,6,6
667,3,5,6,11
668,8,7,7,9
669,6,12,4,17
670,4,3,6,11
671,6,4,3,9
672,4,0,1,3
673,5,5,5,4
674,10,7,10,21
675,8,10,16,13
676,17,19,33,41
677,31,27,51,61
678,2,3,6,9
679,7,3,16,7
680,5,13,14,19
681,8,8,8,9
682,3,3,10,21
683,1,1,6,7
684,4,8,9,7
685,3,8,11,10
686,6,7,6,15
687,15,15,30,35
688,6,9,27,31
689,6,1,3,10
690,3,4,7,18
691,3,4,2,10
692,4,7,9,25
693,0,12,8,10
694,0,2,4,5
695,5,5,10,16
696,8,7,4,15
697,7,5,15,32
698,4,6,9,8
699,2,5,6,6
700,46,50,85,115
701,5,9,4,12
702,19,25,24,52
703,2,6,7,5
704,5,3,9,5
705,5,8,13,18
706,7,19,30,32
707,32,46,41,47
708,11,17,10,15
709,11,16,10,9
710,5,10,15,1
711,5,3,4,3
712,9,2,8,24
713,3,3,2,6
714,2,6,3,10
715,37,74,107,182
716,11,16,24,24
717,13,6,16,24
718,5,14,25,31
719,0,3,1,0
720,3,7,7,8
721,6,16,21,22
722,3,4,9,7
723,6,12,13,23
724,12,30,38,48
725,0,1,3,3
726,3,5,4,9
727,1,3,7,6
728,8,20,31,37
729,10,15,28,59
730,15,28,65,95
731,0,1,4,1
732,20,27,38,79
733,12,28,39,86
734,6,10,13,26
735,4,18,16,19
736,26,57,72,147
737,24,34,78,94
738,0,1,1,1
739,33,57,91,152
740,7,8,13,29
741,0,5,6,14
742,66,109,186,281
743,9,33,42,70
744,5,10,25,24
745,2,5,2,8
746,5,8,11,20
747,0,1,5,8
748,0,0,2,3
749,4,5,9,14
750,19,49,60,101
751,61,117,221,301
752,51,63,152,188
753,0,3,5,4
754,10,11,14,23
755,7,8,9,15
756,12,21,34,42
757,0,3,0,3
758,3,4,9,3
759,2,5,4,5
760,3,2,5,4
761,16,11,25,25
762,3,4,4,4
763,14,29,34,39
764,17,14,23,27
765,9,16,14,28
766,2,2,9,9
767,32,56,77,78
768,8,28,32,53
769,15,27,30,38
770,4,15,19,21
771,6,9,13,19
772,3,5,5,6
773,9,18,16,31
774,16,21,28,49
775,4,9,6,10
776,9,8,17,17
777,62,83,112,126
778,64,66,83,92
779,7,1,4,9
780,1,1,6,8
781,3,3,9,10
782,0,3,4,8
783,1,0,0,1
784,9,3,7,10
785,0,10,11,4
786,0,3,3,6
787,3,4,2,5
788,3,3,3,4
789,1,3,2,3
790,2,1,5,8
791,3,0,3,5
792,1,0,2,0
793,6,4,5,8
794,4,4,5,9
795,7,14,10,14
796,25,38,50,59
797,29,45,63,95
798,3,5,8,5
799,1,1,4,5
800,11,18,20,23
801,10,11,29,24
802,12,4,7,20
803,1,4,4,6
804,7,5,2,7
805,3,4,9,8
806,45,86,112,131
807,3,1,1,3
808,17,17,26,32
809,6,19,21,18
810,64,136,177,260
811,7,18,30,37
812,24,49,37,53
813,17,28,32,34
814,1,2,6,1
815,2,6,6,3
816,5,4,5,5
817,2,3,5,4
818,2,5,5,5
819,1,12,8,10
820,3,11,9,6
821,3,8,13,13
822,2,0,2,3
823,9,10,17,10
824,2,11,8,19
825,1,3,6,2
826,6,12,9,13
827,17,31,37,33
828,7,5,13,12
829,10,15,13,16
830,3,8,4,6
831,5,9,8,6
832,8,8,8,5
833,2,3,2,1
834,6,15,15,21
835,3,6,3,11
836,3,9,7,4
837,9,17,10,16
838,13,16,11,15
839,22,43,54,62
840,10,8,17,22
841,7,7,14,13
842,4,8,4,7
843,2,2,5,1
844,4,3,12,10
845,6,11,15,16
846,14,9,15,15
847,11,16,24,30
848,35,42,62,63
849,3,8,4,6
850,1,0,5,5
851,0,0,5,2
852,0,11,5,9
853,10,16,17,17
854,5,2,5,9
855,9,9,11,11
856,4,10,8,19
857,4,9,10,10
858,13,16,8,14
859,0,3,1,1
860,41,78,113,168
861,19,26,23,43
862,29,65,39,61
863,19,37,33,40
864,25,32,41,43
865,4,4,2,7
866,7,18,16,10
867,6,5,2,1
868,2,8,5,10
869,1,12,10,11
870,9,12,13,20
871,46,79,54,69
872,12,10,16,19
873,62,102,117,148
874,13,22,25,31
875,93,129,183,202
876,0,0,3,0
877,1,2,3,4
878,7,14,6,8
879,1,1,7,5
880,0,6,6,7
881,3,0,4,4
882,7,9,11,12
883,1,8,4,3
884,11,14,12,17
885,5,10,13,11
886,5,0,8,11
887,6,6,9,14
888,11,5,11,9
889,3,1,3,1
890,5,7,5,9
891,0,3,2,3
892,6,7,5,13
893,2,7,11,4
894,6,9,13,17
895,14,13,16,17
896,44,52,42,66
897,1,4,3,2
898,7,3,6,1
899,13,10,9,13
900,17,25,14,29
901,2,2,2,1
902,1,1,2,1
903,10,11,10,13
904,10,8,17,14
905,4,6,4,8
906,11,12,11,15
907,1,1,4,1
908,0,7,5,3
909,4,6,5,5
910,10,12,13,13
911,8,11,5,9
912,7,11,10,6
913,13,19,21,34
914,0,3,5,6
915,3,3,6,5
916,12,18,15,18
917,7,8,5,10
918,9,10,13,17
919,0,2,1,4
920,3,2,3,1
921,2,5,3,5
922,9,12,6,8
923,4,2,1,6
924,20,15,15,12
925,15,23,16,27
926,42,37,55,61
927,5,10,7,9
928,6,5,7,4
929,5,6,5,5
930,4,2,0,5
931,8,6,4,1
932,0,1,3,1
933,12,10,4,6
934,12,19,15,11
935,0,0,2,0
936,6,1,5,1
937,4,4,5,9
938,6,6,9,4
939,9,16,17,18
940,7,15,11,9
941,2,0,3,7
942,30,29,43,36
943,10,13,8,18
944,13,10,14,13
945,74,75,77,111
946,43,48,49,71
947,95,89,92,114
948,21,34,33,44
949,11,18,14,12
950,9,16,15,16
951,4,3,4,10
952,23,23,46,65
953,8,9,6,11
954,23,23,45,37
955,34,29,40,44
956,9,10,10,5
957,3,4,7,2
958,3,3,7,6
959,3,3,8,7
960,37,45,59,66
961,16,13,18,28
962,3,4,4,4
963,9,9,10,12
964,0,1,5,4
965,9,4,21,15
966,14,6,21,34
967,53,55,66,74
968,118,90,101,143
969,198,181,216,282
970,119,115,148,198
971,242,240,272,379
972,52,66,71,80
973,65,81,71,90
974,32,28,29,50
975,10,7,9,16
976,25,18,21,20
977,43,62,64,78
978,10,11,9,12
979,77,71,92,127
980,5,9,6,5
981,6,6,8,13
982,9,3,4,12
983,0,2,2,3
984,8,12,13,25
985,2,6,6,13
986,0,0,3,7
987,2,5,1,3
988,18,27,46,49
989,9,20,23,22
990,4,7,4,7
991,153,158,191,281
992,4,2,1,2
993,5,9,10,10
994,1,4,4,3
995,6,10,6,4
996,9,9,10,7
997,1,0,2,5
998,17,30,24,28
999,31,38,66,76
1000,10,9,17,17
1001,2,4,8,19
1002,4,5,4,10
1003,39,33,46,36
1004,2,4,8,11
1005,17,25,38,38
1006,5,4,4,3
1007,2,2,3,5
1008,72,65,81,96
1009,15,11,9,10
1010,9,17,17,19
1011,26,26,33,49
1012,7,8,12,11
1013,4,5,6,2
1014,102,149,179,238
1015,8,9,6,11
1016,10,23,9,20
1017,13,24,23,30
1018,100,148,142,183
1019,352,360,448,639
1020,21,12,16,15
1021,34,41,31,51
1022,6,3,6,3
1023,8,12,19,20
1024,6,6,6,7
1025,8,11,10,8
1026,8,7,9,6
1027,14,16,14,26
1028,3,4,4,7
1029,0,2,3,3
1030,2,4,4,6
1031,2,5,5,10
1032,5,3,4,4
1033,17,9,16,19
1034,3,4,8,15
1035,4,11,5,8
1036,2,2,3,10
1037,6,7,11,7
1038,6,7,13,25
1039,8,9,8,9
1040,2,5,4,5
1041,5,12,14,20
1042,5,3,7,9
1043,3,3,1,6
1044,1,3,1,1
1045,0,2,3,6
1046,1,2,1,1
1047,8,8,5,14
1048,4,2,2,7
1049,8,12,11,18
1050,5,8,9,13
1051,6,20,15,18
1052,0,1,0,0
1053,3,5,6,4
1054,3,5,3,2
1055,5,7,12,5
1056,11,9,17,14
1057,1,4,4,3
1058,16,18,12,22
1059,48,64,64,98
1060,9,13,11,8
1061,12,16,21,19
1062,13,23,41,46
1063,18,24,37,42
1064,5,7,5,6
1065,12,11,4,14
1066,35,54,45,61
1067,3,8,8,2
1068,13,12,12,10
1069,38,73,83,104
1070,2,7,4,4
1071,0,6,2,6
1072,12,16,16,20
1073,3,6,3,5
1074,14,38,27,30
1075,3,11,8,24
1076,4,8,8,7
1077,0,0,3,5
1078,2,6,11,7
1079,4,17,18,8
1080,2,6,4,9
1081,1,2,4,0
1082,9,13,21,18
1083,25,47,53,88
1084,2,7,2,3
1085,2,5,4,2
1086,8,4,13,16
1087,0,0,2,6
1088,3,3,4,8
1089,5,3,8,8
1090,5,5,12,19
1091,7,11,17,9
1092,27,23,79,71
1093,7,19,20,36
1094,6,24,47,50
1095,6,13,23,35
1096,14,24,45,47
1097,39,45,104,126
1098,14,14,10,10
1099,3,13,13,24
1100,9,25,21,31
1101,1,5,7,6
1102,0,3,2,0
1103,7,15,12,20
1104,2,2,1,4
1105,1,0,1,1
1106,8,16,18,29
1107,4,5,4,7
1108,9,6,10,18
1109,13,17,17,30
1110,10,15,25,21
1111,7,2,8,15
1112,56,95,94,115
1113,72,140,137,195
1114,4,6,3,2
1115,3,4,3,4
1116,10,15,13,10
1117,3,3,2,7
1118,16,31,39,53
1119,8,15,12,10
1120,3,3,13,16
1121,66,127,133,206
1122,100,187,245,329
1123,8,16,20,24
1124,14,30,40,63
1125,1,3,3,11
1126,3,5,5,13
1127,29,68,57,69
1128,15,24,26,31
1129,24,29,32,51
1130,2,1,3,6
1131,0,2,3,6
1132,8,9,5,4
1133,7,9,16,27
1134,6,11,24,42
1135,8,11,7,18
1136,7,29,27,40
1137,32,77,89,116
1138,10,14,23,30
1139,1,3,2,9
1140,7,16,15,29
1141,23,32,40,56
1142,4,4,5,11
1143,20,23,42,51
1144,4,14,14,20
1145,91,169,208,387
1146,68,99,124,194
1147,9,12,25,26
1148,3,5,4,4
1149,7,9,14,18
1150,12,16,34,55
1151,1,2,4,7
1152,30,36,51,97
1153,3,5,9,23
1154,2,12,19,38
1155,1,1,4,2
1156,2,4,15,18
1157,8,7,12,22
1158,7,12,12,17
1159,12,11,15,20
1160,4,5,7,8
1161,23,49,71,119
1162,3,8,10,12
1163,2,2,5,12
1164,1,6,7,4
1165,6,4,13,19
1166,9,14,14,38
1167,2,4,11,18
1168,41,146,195,321
1169,8,26,31,62
1170,23,67,86,127
1171,3,5,15,29
1172,2,5,9,9
1173,3,4,7,6
1174,0,4,8,14
1175,24,42,79,89
1176,18,32,51,85
1177,10,25,33,30
1178,30,58,75,100
1179,30,48,49,70
1180,3,10,15,18
1181,0,1,2,0
1182,7,19,16,23
1183,6,11,12,20
1184,5,9,5,10
1185,15,30,28,43
1186,9,37,23,47
1187,22,27,27,33
1188,5,29,17,21
1189,45,67,55,78
1190,3,9,7,10
1191,5,6,14,8
1192,9,4,7,7
