coefficient_name,value,constrain
sr3p_ASC_no_auto_othdiscr,0.27216902,F
sr3p_ASC_no_auto_othmaint,-0.8031854,F
sr3p_ASC_no_auto_school,-6.0240827,F
sr3p_ASC_no_auto_shopping,-0.27978948,F
sr3p_ASC_no_auto_social,-1.4036902,F
sr3p_ASC_no_auto_univ,-6.056001,F
sr3p_ASC_no_auto_work,-0.5831269,F
sr3p_ASC_no_auto_atwork,0.5826626,F
sr3p_ASC_auto_deficient_eatout,0.04605236,F
sr3p_ASC_auto_deficient_escort,-0.40818766,F
sr3p_ASC_auto_deficient_othdiscr,1.0470966,F
sr3p_ASC_auto_deficient_othmaint,-1.3493925,F
sr3p_ASC_auto_deficient_school,0.7149571,F
sr3p_ASC_auto_deficient_shopping,-0.073370166,F
sr3p_ASC_auto_deficient_social,1.5007243,F
sr3p_ASC_auto_deficient_univ,-1.7277422,F
sr3p_ASC_auto_deficient_work,-0.8527042,F
sr3p_ASC_auto_deficient_atwork,-2.514658,F
sr3p_ASC_auto_sufficient_eatout,0.8468596,F
sr3p_ASC_auto_sufficient_escort,-0.05741253,F
sr3p_ASC_auto_sufficient_othdiscr,0.58850205,F
sr3p_ASC_auto_sufficient_othmaint,-0.07549867,F
sr3p_ASC_auto_sufficient_school,-1.0201935,F
sr3p_ASC_auto_sufficient_shopping,-0.077571295,F
sr3p_ASC_auto_sufficient_social,0.50617886,F
sr3p_ASC_auto_sufficient_univ,-1.9047098,F
sr3p_ASC_auto_sufficient_work,-1.4699702,F
sr3p_ASC_auto_sufficient_atwork,-1.652174,F
walk_transit_ASC_no_auto_eatout,2.3602094879999997,F
walk_transit_ASC_no_auto_escort,-2.350240586,F
walk_transit_ASC_no_auto_othdiscr,2.580345275,F
walk_transit_ASC_no_auto_othmaint,3.33364928,F
walk_transit_ASC_no_auto_school,23.436588904000004,F
walk_transit_ASC_no_auto_shopping,2.233152456,F
walk_transit_ASC_no_auto_social,1.5306633308000002,F
walk_transit_ASC_no_auto_univ,8.25887478,F
walk_transit_ASC_no_auto_work,5.8813665888,F
walk_transit_ASC_no_auto_atwork,2.4770358416000002,F
walk_transit_ASC_auto_deficient_eatout,-0.0436388288,F
walk_transit_ASC_auto_deficient_escort,-5.615516928,F
walk_transit_ASC_auto_deficient_othdiscr,1.0560219471999999,F
walk_transit_ASC_auto_deficient_othmaint,-2.8761422519999997,F
walk_transit_ASC_auto_deficient_school,3.477877552,F
walk_transit_ASC_auto_deficient_shopping,-1.0866961458,F
walk_transit_ASC_auto_deficient_social,0.88089816248,F
walk_transit_ASC_auto_deficient_univ,3.437336028,F
walk_transit_ASC_auto_deficient_work,0.5668287814,F
walk_transit_ASC_auto_deficient_atwork,-3.6825621348,F
walk_transit_ASC_auto_sufficient_eatout,-1.1126906,F
walk_transit_ASC_auto_sufficient_escort,-4.342665360000001,F
walk_transit_ASC_auto_sufficient_othdiscr,-0.8160443451599999,F
walk_transit_ASC_auto_sufficient_othmaint,-2.01125236,F
walk_transit_ASC_auto_sufficient_school,0.58031699972,F
walk_transit_ASC_auto_sufficient_shopping,-2.4945655336000008,F
walk_transit_ASC_auto_sufficient_social,-0.2914972596,F
walk_transit_ASC_auto_sufficient_univ,0.529890256,F
walk_transit_ASC_auto_sufficient_work,-0.8274518496000001,F
walk_transit_ASC_auto_sufficient_atwork,-3.727525592,F
drive_transit_ASC_no_auto_all,0.0,F
drive_transit_ASC_auto_deficient_eatout,0.509835185,F
drive_transit_ASC_auto_deficient_escort,-0.8629726116,F
drive_transit_ASC_auto_deficient_othdiscr,0.2776999344,F
