TAZ,work_low,work_med,work_high,work_veryhigh
1218,201,341,387,755
1219,4,9,17,34
1220,3,8,20,40
1221,30,90,70,119
1222,36,52,61,138
1223,29,72,67,149
1224,12,18,21,32
1225,15,29,29,69
1226,10,9,16,23
1227,31,49,59,108
1228,114,204,243,523
1229,73,107,125,225
1230,30,40,40,100
1231,4,9,8,16
1232,4,6,3,7
1233,30,58,84,162
1234,24,40,60,79
1235,43,63,73,119
1236,17,31,42,80
1237,10,24,25,60
1238,31,30,42,109
1239,2,5,5,23
1240,89,160,186,318
1241,4,3,7,13
1242,37,62,83,196
1243,19,46,38,85
1244,54,86,136,272
1245,27,38,43,79
1246,2,15,20,42
1247,17,29,40,96
1248,42,85,150,308
1249,20,37,66,162
1250,115,272,357,1136
1251,0,3,2,5
1252,3,8,20,29
1253,8,17,15,56
1254,27,42,36,98
1255,32,46,50,96
1256,61,111,132,397
1257,36,63,80,189
1258,0,3,1,4
1259,4,9,16,18
1260,9,10,16,54
1261,62,93,126,339
1262,9,22,24,41
1263,10,13,16,75
1264,63,151,171,478
1265,3,8,14,34
1266,1,3,6,8
1267,182,378,626,1758
1268,5,15,14,45
1269,7,12,22,61
1270,21,34,39,106
1271,3,1,7,12
1272,11,26,33,105
1273,6,15,19,40
1274,24,64,72,193
1275,18,46,49,130
1276,36,103,129,347
1277,8,11,16,31
1278,8,12,15,51
1279,4,12,13,37
1280,5,13,18,47
1281,3,13,17,29
1282,3,3,7,18
1283,31,60,74,162
1284,41,106,133,321
1285,142,351,426,1039
1286,64,131,190,543
1287,86,170,269,720
1288,4,9,9,15
1289,61,124,110,202
1290,3,8,5,14
1291,20,43,64,109
1292,11,20,32,59
1293,21,45,54,165
1294,10,22,16,62
1295,73,172,255,563
1296,23,47,55,172
1297,5,10,19,33
1298,46,103,122,288
1299,46,71,125,280
1300,48,103,110,269
1301,22,48,66,220
1302,2,6,8,14
1303,14,29,42,67
1304,2,10,17,30
1305,8,20,17,50
1306,27,52,64,180
1307,86,198,343,790
1308,2,13,17,47
1309,2,4,4,10
1310,14,40,48,72
1311,3,6,5,15
1312,18,45,22,27
1313,14,24,26,75
1314,28,43,52,84
1315,13,13,6,40
1316,18,18,12,26
1317,18,20,20,54
1318,1,2,2,9
1319,49,127,177,345
1320,12,39,43,77
1321,40,66,57,130
1322,44,110,161,371
1323,6,24,18,41
1324,15,35,51,94
1325,8,12,24,79
1326,43,82,139,455
1327,5,6,11,38
1328,4,3,7,18
1329,7,8,20,51
1330,84,168,240,740
1331,44,86,108,340
1332,31,50,57,132
1333,31,51,65,165
1334,94,193,219,625
1335,12,32,49,112
1336,47,101,111,289
1337,22,33,44,70
1338,17,33,34,81
1339,19,36,35,81
1340,38,51,64,93
1341,30,44,32,106
1342,39,83,89,150
1343,16,40,42,104
1344,20,41,42,87
1345,17,46,33,71
1346,22,40,34,66
1347,4,10,16,38
1348,6,7,4,19
1349,64,114,151,241
1350,1,6,7,10
1351,12,26,26,77
1352,18,33,33,88
1353,5,19,17,54
1354,21,25,40,59
1355,19,41,48,70
1356,5,10,11,25
1357,18,33,49,65
1358,8,21,26,51
1359,22,50,59,123
1360,25,58,40,111
1361,33,83,106,184
1362,78,113,150,295
1363,11,29,32,83
1364,37,65,74,144
1365,46,96,92,229
1366,24,44,58,102
1367,8,4,13,18
1368,70,121,188,444
1369,16,29,31,86
1370,77,141,171,430
1371,23,55,54,96
1372,71,172,175,370
1373,17,34,51,84
1374,43,109,85,268
1375,41,76,92,236
1376,48,89,98,191
1377,152,316,433,1014
1378,304,616,700,1483
1379,34,66,95,182
1380,33,48,78,184
1381,15,40,44,127
1382,93,183,283,615
1383,266,551,841,2011
1384,84,131,179,396
1385,64,87,131,347
1386,191,286,323,710
1387,56,108,150,305
1388,20,26,29,67
1389,13,42,35,70
1390,8,10,18,29
1391,29,45,54,128
1392,15,25,33,76
1393,10,12,17,34
1394,14,20,35,102
1395,9,28,29,91
1396,47,65,98,201
1397,21,26,35,87
1398,178,340,353,1027
1399,31,56,42,84
1400,32,59,34,72
1401,3,6,4,30
1402,16,11,22,56
1403,7,18,45,267
1404,4,9,14,24
1405,4,13,10,30
1406,7,16,16,30
1407,36,61,75,152
1408,3,9,13,28
1409,27,41,41,59
1410,156,241,193,373
1411,19,55,45,93
1412,20,54,40,57
1413,27,41,38,58
1414,23,50,48,64
1415,10,27,27,42
1416,7,25,13,24
1417,1,10,21,31
1418,3,10,8,26
1419,4,8,9,22
1420,8,21,20,42
1421,173,419,573,1278
1422,3,20,21,26
1423,0,2,3,9
1424,2,10,7,20
1425,5,12,21,39
1426,14,20,33,41
1427,5,13,15,31
1428,10,26,31,59
1429,26,56,104,256
1430,50,91,141,365
1431,8,16,18,48
1432,116,236,348,832
1433,7,21,21,58
1434,5,3,7,20
1435,40,60,64,161
1436,15,32,40,89
1437,19,17,45,98
1438,58,138,232,497
1439,1,5,7,13
1440,13,43,52,115
1441,11,25,35,67
1442,14,24,39,82
1443,12,30,39,84
1444,1,2,6,20
1445,3,13,8,25
1446,4,19,26,53
1447,10,31,43,88
1448,6,10,19,44
1449,12,15,23,77
1450,159,294,467,1047
1451,4,9,13,25
1452,16,21,32,62
1453,4,5,12,28
