TAZ,work_low,work_med,work_high,work_veryhigh
318,27,72,107,178
319,59,108,175,281
320,37,92,128,268
321,15,39,75,125
322,71,214,356,739
323,89,153,264,503
324,17,29,47,97
325,4,1,3,2
326,5,4,5,13
327,1,1,6,13
328,2,7,10,10
329,25,42,80,134
330,5,11,9,20
331,5,6,9,17
332,13,30,42,94
333,2,2,14,13
334,9,3,16,26
335,16,27,39,74
336,10,15,25,51
337,1,6,8,14
338,6,8,12,22
339,33,78,141,269
340,4,8,18,52
341,42,98,117,273
342,55,96,127,278
343,17,39,51,171
344,15,19,40,115
345,10,13,42,95
346,7,22,28,67
347,11,45,46,118
348,1,3,6,8
349,20,31,46,71
350,18,51,83,132
351,14,12,21,57
352,1,0,5,8
353,2,4,5,14
354,5,5,6,5
355,8,29,56,92
356,47,91,175,319
357,26,69,113,246
358,38,111,126,281
359,17,34,41,93
360,1,7,12,23
361,22,44,55,119
362,15,36,54,109
363,22,52,77,120
364,19,38,60,107
365,32,92,140,300
366,48,143,226,430
367,9,29,40,70
368,17,34,46,99
369,19,35,29,69
370,15,45,52,105
371,0,0,11,5
372,16,25,32,62
373,5,28,26,52
374,1,8,14,12
375,0,5,16,31
376,1,7,15,19
377,127,286,444,935
378,25,51,80,129
379,71,145,197,396
380,15,21,30,68
381,67,161,227,393
382,91,144,215,327
383,5,11,13,22
384,6,42,54,80
385,20,42,62,88
386,21,44,56,96
387,4,7,5,23
388,10,12,31,51
389,1,5,5,2
390,4,2,6,2
391,2,3,8,18
392,0,0,1,1
393,0,8,8,9
394,42,64,83,144
395,3,15,12,33
396,6,16,15,39
397,32,73,84,190
398,7,18,15,35
399,1,5,7,11
400,17,20,40,73
401,7,9,22,37
402,6,21,21,51
403,3,5,4,7
404,38,77,116,198
405,2,3,4,8
406,3,4,4,5
407,19,54,75,116
408,11,33,42,68
409,6,11,8,22
410,6,11,17,24
411,34,53,67,127
412,11,23,23,54
413,28,45,45,76
414,9,22,29,37
415,28,44,70,150
416,116,208,303,610
417,85,141,190,376
418,55,79,90,155
419,34,58,92,165
420,69,119,193,420
421,102,147,283,543
422,32,72,102,235
423,13,42,60,127
424,7,6,4,13
425,17,37,49,69
426,16,26,31,56
427,7,16,20,33
428,23,39,50,107
429,1,1,1,1
430,34,75,81,183
431,101,126,200,302
432,7,12,17,30
433,14,18,29,51
434,15,33,32,72
435,68,118,158,299
436,71,128,151,297
437,34,68,74,163
438,52,59,118,192
439,16,18,33,60
440,42,65,84,86
441,36,45,67,138
442,18,33,21,76
443,35,76,110,255
444,62,117,184,343
445,49,107,148,409
446,3,7,15,20
447,19,52,87,169
448,23,45,53,121
449,57,121,139,309
450,39,106,147,288
451,33,65,84,132
452,28,70,90,204
453,2,6,5,22
454,1,0,4,2
455,8,13,10,34
456,5,23,13,36
457,1,2,4,6
458,1,6,7,15
459,1,10,6,11
460,2,3,2,3
461,2,13,7,15
462,0,0,5,5
463,3,1,1,0
464,1,1,7,13
