TAZ,size_term,shadow_price_size_term_adjustment,shadow_price_utility_adjustment
0,102.00299999999999,1,0
1,199.31799999999996,1,0
2,19.375,1,0
3,25.304999999999996,1,0
4,100.06599999999997,1,0
5,149.84199999999998,1,0
6,252.373,1,0
7,78.237,1,0
8,609.288,1,0
9,129.08199999999997,1,0
10,17.285,1,0
11,143.99200000000002,1,0
12,275.44199999999995,1,0
13,645.677,1,0
14,55.193999999999996,1,0
15,67.60799999999999,1,0
16,43.838,1,0
17,109.141,1,0
18,115.76899999999998,1,0
19,123.27,1,0
20,269.0,1,0
21,33.799,1,0
22,1966.4429999999998,1,0
23,799.0419999999999,1,0
24,356.30899999999997,1,0
25,182.004,1,0
26,118.83699999999999,1,0
27,120.36699999999999,1,0
28,63.577000000000005,1,0
29,307.797,1,0
30,170.26500000000001,1,0
31,489.37899999999996,1,0
32,184.085,1,0
33,174.191,1,0
34,218.361,1,0
35,1447.56,1,0
36,403.45799999999997,1,0
37,43.799,1,0
38,339.64099999999996,1,0
39,28.253999999999998,1,0
40,117.203,1,0
41,648.0869999999999,1,0
42,261.66299999999995,1,0
43,53.88499999999999,1,0
44,147.31799999999998,1,0
45,1128.887,1,0
46,69.701,1,0
47,549.281,1,0
48,89.499,1,0
49,829.487,1,0
50,222.089,1,0
51,554.6429999999999,1,0
52,96.531,1,0
53,1128.8919999999998,1,0
54,193.00799999999998,1,0
55,181.31,1,0
56,369.74899999999997,1,0
57,101.127,1,0
58,86.938,1,0
59,262.418,1,0
60,581.7259999999999,1,0
61,364.82599999999996,1,0
62,1633.375,1,0
63,246.59899999999993,1,0
64,16.988,1,0
65,232.51399999999998,1,0
66,179.05599999999998,1,0
67,236.99399999999997,1,0
68,279.38,1,0
69,693.63,1,0
70,63.78499999999999,1,0
71,420.4649999999999,1,0
72,8.225,1,0
73,102.07199999999999,1,0
74,64.962,1,0
75,101.392,1,0
76,423.10699999999997,1,0
77,253.89700000000002,1,0
78,2474.5119999999997,1,0
79,169.83599999999998,1,0
80,55.995999999999995,1,0
81,188.85399999999998,1,0
82,1203.943,1,0
83,113.50399999999998,1,0
84,85.07099999999998,1,0
85,256.221,1,0
86,121.725,1,0
87,595.5229999999999,1,0
88,190.53099999999998,1,0
89,420.432,1,0
90,55.84,1,0
91,35.71999999999999,1,0
92,542.723,1,0
93,448.40299999999996,1,0
94,397.928,1,0
95,982.034,1,0
96,285.185,1,0
97,308.411,1,0
98,106.773,1,0
99,245.873,1,0
100,284.573,1,0
101,103.25399999999999,1,0
102,291.568,1,0
103,175.44699999999997,1,0
104,141.302,1,0
105,259.089,1,0
106,144.94,1,0
107,160.426,1,0
108,471.74299999999994,1,0
109,331.62399999999997,1,0
110,803.563,1,0
111,36.294,1,0
112,547.9079999999999,1,0
113,1194.8560000000002,1,0
114,468.973,1,0
115,1464.1199999999997,1,0
116,317.387,1,0
117,514.382,1,0
118,165.385,1,0
119,508.28799999999995,1,0
120,312.65999999999997,1,0
121,326.42799999999994,1,0
122,598.9849999999999,1,0
123,235.98799999999997,1,0
124,108.613,1,0
125,177.04399999999998,1,0
126,119.87400000000001,1,0
127,102.842,1,0
128,4992.652,1,0
129,129.95899999999997,1,0
130,26.809999999999995,1,0
131,196.225,1,0
132,76.339,1,0
133,203.04699999999997,1,0
134,109.108,1,0
135,61.22899999999999,1,0
136,171.20499999999998,1,0
137,69.466,1,0
138,164.914,1,0
139,945.6959999999999,1,0
140,103.451,1,0
141,45.226,1,0
142,65.72999999999999,1,0
143,45.403999999999996,1,0
144,152.288,1,0
145,119.10099999999998,1,0
146,58.89699999999999,1,0
147,109.323,1,0
148,116.60799999999998,1,0
149,33.428,1,0
150,162.563,1,0
151,1052.9979999999998,1,0
152,202.30899999999997,1,0
153,179.21,1,0
154,2613.957,1,0
155,25.845999999999997,1,0
156,80.93599999999999,1,0
157,173.31699999999998,1,0
158,79.975,1,0
159,62.52299999999999,1,0
160,187.02900000000002,1,0
161,224.71599999999998,1,0
162,120.32399999999998,1,0
163,157.72099999999998,1,0
164,91.54599999999999,1,0
165,99.074,1,0
166,145.80799999999996,1,0
167,120.35,1,0
168,1376.7479999999996,1,0
169,178.439,1,0
170,193.99899999999997,1,0
171,349.395,1,0
172,414.467,1,0
173,244.43,1,0
174,70.729,1,0
175,114.633,1,0
176,115.60899999999998,1,0
177,70.997,1,0
178,130.50199999999998,1,0
179,814.4299999999998,1,0
180,2586.7299999999996,1,0
181,45.172999999999995,1,0
182,450.08900000000006,1,0
183,49.145999999999994,1,0
184,868.164,1,0
185,197.44599999999997,1,0
186,215.14799999999997,1,0
187,39.797,1,0
188,331.91099999999994,1,0
189,71.649,1,0
190,13.835999999999999,1,0
191,216.712,1,0
192,115.98499999999997,1,0
193,115.369,1,0
194,451.038,1,0
195,233.11100000000002,1,0
196,64.86,1,0
197,144.93099999999998,1,0
198,347.57399999999996,1,0
199,340.744,1,0
200,305.13699999999994,1,0
201,109.011,1,0
202,52.272999999999996,1,0
203,973.5599999999997,1,0
204,892.8399999999999,1,0
205,133.871,1,0
206,65.95299999999999,1,0
207,304.854,1,0
208,407.81299999999993,1,0
209,686.203,1,0
210,1022.703,1,0
211,505.43699999999995,1,0
212,119.81099999999999,1,0
213,32.214,1,0
214,62.559999999999995,1,0
215,55.589999999999996,1,0
216,76.823,1,0
217,348.7299999999999,1,0
218,528.5659999999999,1,0
219,118.335,1,0
220,2472.616,1,0
221,376.503,1,0
222,57.635999999999996,1,0
223,366.27399999999994,1,0
224,249.08299999999997,1,0
225,44.647,1,0
226,101.32399999999998,1,0
227,174.38899999999998,1,0
228,39.681,1,0
229,230.373,1,0
230,214.42499999999998,1,0
231,162.142,1,0
232,82.62199999999999,1,0
233,90.46300000000001,1,0
234,59.196999999999996,1,0
235,27.264999999999993,1,0
236,4.962,1,0
237,195.19699999999997,1,0
238,21.343999999999998,1,0
239,24.907999999999994,1,0
240,131.90699999999998,1,0
241,176.123,1,0
242,422.48999999999995,1,0
243,123.77399999999999,1,0
244,376.32599999999996,1,0
245,1070.632,1,0
246,255.382,1,0
247,487.73600000000005,1,0
248,67.63499999999999,1,0
249,115.97899999999998,1,0
250,71.92699999999999,1,0
251,50.00899999999999,1,0
252,128.04399999999998,1,0
253,63.218,1,0
254,705.3190000000001,1,0
255,52.911,1,0
256,94.14999999999999,1,0
257,46.722,1,0
258,68.255,1,0
259,434.027,1,0
260,1272.833,1,0
261,89.053,1,0
262,70.168,1,0
263,143.29399999999995,1,0
264,69.15299999999999,1,0
265,727.3869999999998,1,0
266,62.03,1,0
267,134.82000000000002,1,0
268,105.61399999999998,1,0
269,1274.877,1,0
270,1278.4699999999998,1,0
271,141.066,1,0
272,189.311,1,0
273,142.42599999999996,1,0
274,1042.566,1,0
275,457.171,1,0
276,2416.727,1,0
277,563.2339999999999,1,0
278,1702.947,1,0
279,458.468,1,0
280,150.88899999999998,1,0
281,9.857999999999999,1,0
282,1088.533,1,0
283,8422.516,1,0
284,209.55100000000002,1,0
285,927.8589999999999,1,0
286,962.908,1,0
287,225.643,1,0
288,1602.5159999999998,1,0
289,55.38099999999999,1,0
290,509.1919999999999,1,0
291,514.0949999999999,1,0
292,135.245,1,0
293,361.193,1,0
294,305.464,1,0
295,1219.8829999999998,1,0
296,12.745999999999997,1,0
297,139.751,1,0
298,91.78999999999999,1,0
299,90.76299999999998,1,0
300,665.871,1,0
301,517.5550000000001,1,0
302,56.395,1,0
303,473.24699999999996,1,0
304,316.08099999999996,1,0
305,701.855,1,0
306,69.52199999999999,1,0
307,160.572,1,0
308,85.31099999999999,1,0
309,659.516,1,0
310,122.72299999999998,1,0
311,244.607,1,0
312,358.78799999999995,1,0
313,87.93199999999999,1,0
314,857.531,1,0
315,3704.977,1,0
316,936.558,1,0
317,925.6709999999999,1,0
318,2024.7359999999999,1,0
319,1598.8109999999997,1,0
320,810.444,1,0
321,4177.076999999999,1,0
322,3114.181,1,0
323,580.871,1,0
324,48.52799999999999,1,0
325,83.71199999999999,1,0
326,74.238,1,0
327,122.928,1,0
328,986.7929999999999,1,0
329,150.291,1,0
330,168.272,1,0
331,467.2179999999999,1,0
332,116.359,1,0
333,164.22099999999998,1,0
334,531.2049999999999,1,0
335,361.34899999999993,1,0
336,81.78099999999999,1,0
337,176.806,1,0
338,2552.021,1,0
339,369.816,1,0
340,2744.236,1,0
341,3391.879,1,0
342,2837.408,1,0
343,1880.5439999999996,1,0
344,888.5899999999999,1,0
345,762.161,1,0
346,1170.789,1,0
347,50.389,1,0
348,740.155,1,0
349,1027.9289999999999,1,0
350,409.931,1,0
351,45.881,1,0
352,66.243,1,0
353,91.20899999999997,1,0
354,594.211,1,0
355,1899.5279999999998,1,0
356,1226.0929999999998,1,0
357,1575.181,1,0
358,525.689,1,0
359,137.457,1,0
360,981.724,1,0
361,620.246,1,0
362,1134.8729999999998,1,0
363,761.4449999999999,1,0
364,1526.4429999999998,1,0
365,2601.191,1,0
366,436.45899999999995,1,0
367,707.835,1,0
368,558.5649999999998,1,0
369,703.7479999999999,1,0
370,78.92999999999999,1,0
371,520.0409999999999,1,0
372,343.63,1,0
373,135.941,1,0
374,140.637,1,0
375,108.13,1,0
376,3880.8279999999995,1,0
377,583.5129999999999,1,0
378,2201.7039999999997,1,0
379,440.102,1,0
380,2825.846,1,0
381,3483.8370000000004,1,0
382,184.385,1,0
383,545.342,1,0
384,764.5569999999999,1,0
385,646.952,1,0
386,156.57099999999997,1,0
387,321.121,1,0
388,40.48799999999999,1,0
389,57.117,1,0
390,94.779,1,0
391,10.805,1,0
392,74.20499999999998,1,0
