TAZ,utility
0,-2.4337114202009054
1,2.5956005478243407
2,-0.6030509430390076
3,0.7225813621792243
4,1.7000927970617203
5,2.8216805869217554
6,2.847407972708017
7,2.3266331785753955
8,4.584923097545703
9,2.530470139374877
10,-1001.4844236185413
11,2.7825419963904015
12,3.327163703006919
13,4.378651368557163
14,2.3698235301854496
15,1.914507184720101
16,1.6126505025408395
17,2.9814489047806054
18,2.3267556880329376
19,2.84337541471814
20,3.410620475811209
21,1.1291348600342563
22,4.1219116638600495
23,4.4974261081686855
24,3.601822410467416
25,1.5078727966683108
26,2.653378089808135
27,2.545497903381497
28,1.728268596995977
29,2.3083731999931514
30,2.7014926948744566
31,4.182729281507186
32,2.687892529957633
33,1.930830910887817
34,3.031623095252371
35,4.435274068122849
36,3.698370715546198
37,1.4806742981348036
38,3.6424764789818003
39,0.5848613982302409
40,2.3261107674549084
41,4.37936112753882
42,3.9531398291430113
43,1.5423790682398257
44,2.441938366972546
45,4.39940553370429
46,1.3800412019243904
47,2.550011329631422
48,2.064889451661304
49,4.329007452809058
50,2.5223256942114434
51,3.8056405554985835
52,1.4428626293789124
53,3.91384804110627
54,2.4283491398660084
55,1.681532569829395
56,3.008714156313715
57,1.9331462687245695
58,1.9052692029731766
59,2.5665972851109577
60,3.1871684193602503
61,2.8323579250586404
62,3.904776316768059
63,2.4666232129518004
64,-0.8806090756654674
65,2.897881730347847
66,2.9568922691434834
67,2.8982674886001725
68,2.7843202584130546
69,3.2956763468197963
70,1.8032291512220207
71,3.5521065866934958
72,-1.1567774693062285
73,2.399029099023897
74,1.6906836302316979
75,2.189541043526315
76,2.529063538561842
77,3.0557199612133976
78,4.01935176185514
79,0.6158195197757896
80,1.6689007904714739
81,2.551499008582442
82,4.63579923283591
83,2.105058973547445
84,1.9198882556271748
85,2.7678059364532723
86,2.0145179746202704
87,2.6927398190405816
88,2.763435094891001
89,3.6816568532220986
90,0.4004305616048631
91,0.81052070464029
92,3.805520316814511
93,3.608372837900059
94,3.3029916905014574
95,3.6434686182092575
96,2.9031016351605015
97,3.606991359437716
98,1.6063192918132154
99,3.3573184364886224
100,2.7258902155270306
101,2.012457989451531
102,2.8510454548870943
103,2.755624996235044
104,2.1175363081461063
105,3.00213759570621
106,2.010290492898722
107,2.4479708294323466
108,2.564395200993361
109,2.458720227016565
110,3.4306760203689857
111,1.2717269836390734
112,4.220239138809461
113,3.482818060596175
114,3.22798816963593
115,4.93100008763893
116,3.5193862900543893
117,3.8525986710706253
118,2.5966717045644625
119,3.3226216214606197
120,2.9822563889425213
121,3.054744724296347
122,3.4726693822666936
123,2.9330276505834805
124,1.8875381839994363
125,2.283233289085059
126,1.7080816382098627
127,1.9103822968833626
128,6.165476334387277
129,2.1577090179136507
130,0.6750730174031032
131,2.254082546134568
132,1.057950417363248
133,2.492470150698484
134,2.0814515417769455
135,0.6380265514303409
136,2.2206868034732166
137,1.4784775261832124
138,2.4219601285701797
139,2.553697601367742
140,2.6437810109913444
141,1.1784383928163011
142,1.7034973221379772
143,0.5582467961946089
144,1.3540393239436472
145,1.7727455790875082
146,0.8390747613855152
147,2.1431558042191226
