label,value_1,value_2,value_3
trip_id,744821733.0,744822126.0,744822717.0
HR5,0.0,0.0,0.0
HR6,0.001186239002372478,0.0,0.0
HR7,0.0,0.0,0.0
HR8,0.00272859500545719,0.0,0.004422209818902142
HR9,0.007883348015766697,0.0,0.0033788685435907637
HR10,0.00871880901743762,0.0,0.003817624155371114
HR11,0.009638123019276247,0.0,0.014104145472401823
HR12,0.011693247023386496,0.0,0.008477767357522406
HR13,0.012706395025412792,0.0,0.012515926444968335
HR14,0.005992436011984872,0.0,0.015606311564051213
HR15,0.02467876904935754,0.0,0.06635217903008263
HR16,0.03987839507975679,0.0,0.3490660251744694
HR17,0.10124930120249861,0.0,0.5222589424386404
HR18,0.45361158590722317,0.0,0.0
HR19,0.3200347566400696,0.022761751076917316,0.0
HR20,0.0,0.06523874792726869,0.0
HR21,0.0,0.911999500995814,0.0
HR22,0.0,0.0,0.0
HR23,0.0,0.0,0.0
fail,0.0,0.0,0.0
