activity,person_1,person_2,person_3,person_4
person_id,2270797.0,2270798.0,2270799.0,2270800.0
M,2.8026341352159427,1.052531189,3.2958635289999996,3.1376341352159427
N,0.622662391,0.04249141922953392,1.4514835352295339,0.622662391
H,1.0352000000000001,0.5061,0.5862,1.0352000000000001
household_id,866761.0,866761.0,866761.0,866761.0
ptype,1.0,8.0,7.0,1.0
cdap_rank,2.0,3.0,4.0,1.0
hhsize,4.0,4.0,4.0,4.0
