TAZ,work_low,work_med,work_high,work_veryhigh
317,0,1,4,11
318,4,8,13,20
319,0,6,6,12
320,0,2,4,5
321,2,11,17,41
322,3,1,12,28
323,2,0,2,5
324,0,0,1,0
325,0,1,1,0
326,0,2,0,0
327,1,0,0,1
328,1,0,6,5
329,0,0,0,0
330,0,1,0,2
331,2,4,0,7
332,0,3,1,2
333,0,1,0,2
334,1,1,3,1
335,0,1,1,4
336,0,0,0,1
337,1,1,1,2
338,2,1,7,13
339,0,0,2,4
340,3,6,9,9
341,1,3,4,14
342,4,1,7,18
343,0,2,6,13
344,0,2,1,5
345,0,1,0,4
346,2,2,4,5
347,0,0,0,0
348,0,1,1,2
349,1,4,3,6
350,1,1,1,2
351,0,0,0,1
352,0,1,0,1
353,0,1,1,1
354,1,2,3,9
355,4,7,7,24
356,1,2,10,16
357,0,4,7,17
358,0,4,1,5
359,0,0,0,3
360,1,3,1,6
361,0,3,3,5
362,2,1,8,11
363,1,0,4,4
364,3,4,7,19
365,2,9,17,21
366,2,0,4,5
367,1,2,2,7
368,0,0,1,3
369,0,2,8,6
370,0,0,0,0
371,0,2,2,6
372,2,1,2,2
373,1,0,1,2
374,0,1,0,2
375,0,1,1,1
376,3,21,18,42
377,0,3,0,9
378,5,14,12,23
379,1,2,2,2
380,0,5,16,21
381,4,5,11,21
382,0,0,0,0
383,0,5,2,7
384,0,3,0,8
385,1,0,1,6
386,1,0,0,1
387,0,2,2,3
388,0,0,0,0
389,0,0,1,1
390,0,0,1,0
391,0,0,0,0
392,1,0,0,1
393,3,3,3,6
394,1,1,2,1
395,0,0,0,1
396,0,3,4,5
397,0,0,1,0
398,0,0,0,0
399,2,1,2,9
400,0,0,0,5
401,0,0,3,3
402,0,0,0,0
403,2,1,3,20
404,0,0,1,0
405,0,0,0,1
406,2,5,1,7
407,1,1,1,2
408,0,0,2,1
409,1,2,0,1
410,2,6,6,7
411,1,1,1,3
412,1,2,1,8
413,0,0,1,0
414,0,3,2,11
415,3,13,16,27
416,7,8,11,30
417,4,4,5,12
418,1,5,4,11
419,5,10,10,24
420,7,8,13,23
421,2,4,6,13
422,0,3,4,3
423,0,0,0,0
424,1,1,1,3
