tour_id,alt_dest,rand,prob,pick_count
93102746,940,0.41571130196657,0.02839855333142425,2
93102746,1006,0.7853645824019488,0.0034619154078130475,1
93102746,1009,0.7970734838028596,0.033376457314966614,3
93102746,1049,0.9046733143042867,0.015593534137946828,1
93102746,840,0.18114144205572924,0.0012269892490136972,1
93102746,1015,0.8309669959710231,0.0038624405475406903,1
93102746,170,0.11266611951649086,0.0003235343800994713,1
93102746,1000,0.7289937716798088,0.006242276856324939,2
93102746,941,0.4293512422643738,0.04670536093913121,1
93102746,957,0.5172200380431227,0.002218117752286305,1
93102746,1004,0.776817390565934,0.010163687806506729,2
93102746,1030,0.8787355093549538,0.003283563934805651,1
93102746,173,0.11458664724939605,0.0007159638667842713,1
93102746,999,0.7147169165012264,0.012865838778151844,1
93102746,1113,0.9461219045114793,0.0051933452360255344,1
93102746,845,0.1882082547590439,0.00014237225298600743,1
93102746,1010,0.8210278995856763,0.004995490157724876,1
93102746,876,0.20914312625704945,0.0011390311084510496,1
93102746,973,0.5798636235913355,0.027161652074663936,1
93102746,916,0.2685560672893794,0.004662161761259532,1
93102746,1026,0.8712620652941351,0.013272792341966898,1
93102746,1002,0.7521150502563607,0.0018585291597085162,1
93102746,929,0.36118759932474087,0.0162839297793322,1
93102746,907,0.24745011445176457,0.003973401758480254,1
93102746,133,0.10136157969157344,0.00035478256753789357,1
