trip_id,dest_taz,prob,pick_count,od_logsum,dp_logsum
744822126,870,0.0003736985,1,-1.3523500808191167,-1.1919653130664503
744822126,875,0.0008608377,1,-2.1271833761444294,-1.8781279768189325
744822126,898,0.010103197,1,-1.2363111819974713,-1.7085922746344675
744822126,905,0.0023103657,1,-1.9946309841995644,-1.4551339418566713
744822126,908,0.0035089718,1,-2.1691016915246117,-1.3353189907948733
744822126,922,0.009444028,1,-1.8369155252968061,-1.182098833692932
744822126,930,0.005489926,1,-1.6832426413837052,-1.1879436932342118
744822126,938,0.0066364594,1,-1.9457011116033813,-1.145048414151263
744822126,946,0.0010808487,1,-1.3203876821965534,-1.0573806161726917
744822126,947,0.0044859853,1,-1.0192323303667952,-0.8573567145494397
744822126,962,0.0055767605,1,-1.7111700481928556,-0.8082531538923291
744822126,964,0.0020094726,1,-1.6706938866018093,-3.273298249627057
744822126,967,0.0069832774,1,-1.6290763487366986,-0.8385370477569742
744822126,968,0.006758689,1,-1.3466588301013647,-0.7607856927953446
744822126,973,0.015398783,1,-0.7493494575285913,1.1956855915752738
744822126,975,0.0054701613,1,-1.1195358324334421,1.1467700213946381
744822126,985,0.006335139,1,-1.3860502282188891,-0.9122981801354386
744822126,997,0.0068330904,1,-0.9396280742403281,-0.5493853152310461
744822126,1002,0.0044913823,1,-0.30804910662391555,-0.7046666218040578
744822126,1006,0.006855223,2,-0.7742583822121094,-0.9821679914699181
744822126,1017,0.009616789,2,1.176163152046406,-1.1739731628095122
744822126,1018,0.0072295996,1,1.0795623290812872,-1.157982982231097
744822126,1022,0.007206473,1,1.4334124043180292,-1.0823256561004526
744822126,1030,0.008479262,1,-0.5356081054581241,-1.696165026671996
744822126,1043,0.0071896627,1,-0.5720862828428372,-1.3645509029269633
744822126,1048,0.005499234,1,-0.9980985767976643,-1.5628845462170853
744822126,1071,0.0007129297,1,-1.684378211739143,-1.791607192584397
744822126,1154,0.001725373,1,-3.749636285117555,-3.5402496296293786
