tour_id,alt_dest,prob,pick_count,person_id,mode_choice_logsum,size_term
93102746,133,0.00035478256,1,2270798,-0.590759697152587,261.326
93102746,170,0.0003235344,1,2270798,0.522271164854146,217.622
93102746,173,0.0007159639,1,2270798,-0.14948031210385926,434.8
93102746,840,0.0012269892,1,2270798,0.03894468605287478,814.8820000000001
93102746,845,0.00014237226,1,2270798,-0.08488037455010321,80.29
93102746,876,0.0011390311,1,2270798,0.09923749283386887,377.656
93102746,907,0.0039734016,1,2270798,0.8536232414652812,810.868
93102746,916,0.0046621617,1,2270798,1.805446674697071,157.888
93102746,929,0.01628393,1,2270798,0.9426074950662966,1531.568
93102746,940,0.028398553,2,2270798,2.1996062761739834,966.8320000000001
93102746,941,0.04670536,1,2270798,1.7417232062471417,1590.734
93102746,957,0.0022181177,1,2270798,0.9706097730412914,478.038
93102746,973,0.027161652,1,2270798,2.0065129426333566,924.6780000000001
93102746,999,0.012865839,1,2270798,1.8510760595222506,437.472
93102746,1000,0.0062422766,2,2270798,1.4718913192559266,213.826
93102746,1002,0.0018585292,1,2270798,1.4071169955740728,72.778
93102746,1004,0.010163688,2,2270798,1.0882804812252782,488.278
93102746,1006,0.0034619153,1,2270798,1.2238808113353232,191.58
93102746,1009,0.03337646,3,2270798,1.1259000528656993,1666.844
93102746,1010,0.00499549,1,2270798,1.1202315623702712,248.62800000000004
93102746,1015,0.0038624406,1,2270798,0.6422974563488728,769.7320000000001
93102746,1026,0.013272792,1,2270798,1.0298950216179616,1667.5300000000002
93102746,1030,0.003283564,1,2270798,0.03260912159988796,1105.2740000000001
93102746,1049,0.015593534,1,2270798,1.1667178455038252,4469.36
93102746,1113,0.0051933452,1,2270798,-0.04632076461872126,4741.076
