alternative,utility
trip_id,744822125.0
0,3.90144534875522
1,4.2967687604495275
2,3.4534853803402474
3,4.310177313415805
4,4.161494785524585
5,8.083614156009613
6,6.517222790760178
7,9.923217924225792
8,8.055088356577707
9,11.80863435156033
10,10.998531588832337
11,7.672370358617412
12,5.366187615449972
13,6.743880439676247
14,6.664161178925124
15,7.783109554269153
16,9.22985221866469
17,8.597035918376832
18,9.228277741204613
19,11.013436731896554
20,11.607283167554169
21,8.159024457871432
22,6.7448362716303265
23,8.223054903726435
24,5.678732784526899
25,6.1302188884615285
26,1.8019488145896032
27,4.905596675545255
28,4.046505196874449
