tour_id,tdd,start,end,duration,mode_choice_logsum,person_id,tour_type,tour_type_count,tour_type_num,tour_num,tour_count,tour_category,number_of_participants,destination,origin,household_id,tdd_chooser,start_chooser,end_chooser,duration_chooser,composition,destination_logsum,destination_in_cbd,num_person_joint_tours,ptype,num_children,roundtrip_auto_time_to_work,num_mand,num_escort_tours,num_non_escort_tours,adult,start_previous,end_previous
93102746,34,6,21,15,0,2270798,othmaint,1,1,1,1,non_mandatory,1,999.0,974,866761,,,,,,14.614082500469461,0,0,8,2,0.0,0,0,1,False,5,5
93102746,35,6,22,16,0,2270798,othmaint,1,1,1,1,non_mandatory,1,999.0,974,866761,,,,,,14.614082500469461,0,0,8,2,0.0,0,0,1,False,5,5
93102746,36,6,23,17,0,2270798,othmaint,1,1,1,1,non_mandatory,1,999.0,974,866761,,,,,,14.614082500469461,0,0,8,2,0.0,0,0,1,False,5,5
93102746,37,7,7,0,0,2270798,othmaint,1,1,1,1,non_mandatory,1,999.0,974,866761,,,,,,14.614082500469461,0,0,8,2,0.0,0,0,1,False,5,5
93102746,38,7,8,1,0,2270798,othmaint,1,1,1,1,non_mandatory,1,999.0,974,866761,,,,,,14.614082500469461,0,0,8,2,0.0,0,0,1,False,5,5
93102746,39,7,9,2,0,2270798,othmaint,1,1,1,1,non_mandatory,1,999.0,974,866761,,,,,,14.614082500469461,0,0,8,2,0.0,0,0,1,False,5,5
93102746,40,7,10,3,0,2270798,othmaint,1,1,1,1,non_mandatory,1,999.0,974,866761,,,,,,14.614082500469461,0,0,8,2,0.0,0,0,1,False,5,5
93102746,41,7,11,4,0,2270798,othmaint,1,1,1,1,non_mandatory,1,999.0,974,866761,,,,,,14.614082500469461,0,0,8,2,0.0,0,0,1,False,5,5
93102746,42,7,12,5,0,2270798,othmaint,1,1,1,1,non_mandatory,1,999.0,974,866761,,,,,,14.614082500469461,0,0,8,2,0.0,0,0,1,False,5,5
93102746,43,7,13,6,0,2270798,othmaint,1,1,1,1,non_mandatory,1,999.0,974,866761,,,,,,14.614082500469461,0,0,8,2,0.0,0,0,1,False,5,5
93102746,44,7,14,7,0,2270798,othmaint,1,1,1,1,non_mandatory,1,999.0,974,866761,,,,,,14.614082500469461,0,0,8,2,0.0,0,0,1,False,5,5
93102746,45,7,15,8,0,2270798,othmaint,1,1,1,1,non_mandatory,1,999.0,974,866761,,,,,,14.614082500469461,0,0,8,2,0.0,0,0,1,False,5,5
93102746,46,7,16,9,0,2270798,othmaint,1,1,1,1,non_mandatory,1,999.0,974,866761,,,,,,14.614082500469461,0,0,8,2,0.0,0,0,1,False,5,5
93102746,47,7,17,10,0,2270798,othmaint,1,1,1,1,non_mandatory,1,999.0,974,866761,,,,,,14.614082500469461,0,0,8,2,0.0,0,0,1,False,5,5
93102746,48,7,18,11,0,2270798,othmaint,1,1,1,1,non_mandatory,1,999.0,974,866761,,,,,,14.614082500469461,0,0,8,2,0.0,0,0,1,False,5,5
93102746,49,7,19,12,0,2270798,othmaint,1,1,1,1,non_mandatory,1,999.0,974,866761,,,,,,14.614082500469461,0,0,8,2,0.0,0,0,1,False,5,5
93102746,50,7,20,13,0,2270798,othmaint,1,1,1,1,non_mandatory,1,999.0,974,866761,,,,,,14.614082500469461,0,0,8,2,0.0,0,0,1,False,5,5
93102746,51,7,21,14,0,2270798,othmaint,1,1,1,1,non_mandatory,1,999.0,974,866761,,,,,,14.614082500469461,0,0,8,2,0.0,0,0,1,False,5,5
