alternative,probability
tour_id,93102746.0
0,2.5736459344822106e-06
1,0.0003933247132740373
2,1.605441712965771e-05
3,6.0437896126069214e-05
4,0.00016063388388987384
5,0.0004931017549528274
6,0.0005059525742064681
7,0.00030056623447007513
8,0.0028754315975972507
9,0.00036852372960941726
10,0.0
11,0.0004741752417544581
12,0.0008174572994585956
13,0.0023394855502936957
14,0.00031383221485795494
15,0.00019904723334284116
16,0.00014718428894133903
17,0.0005785262202210067
18,0.0003006030589320419
19,0.0005039163993666873
20,0.0008886073315414179
21,9.075556788398565e-05
22,0.0018097547705234356
23,0.0026345326254323645
24,0.0010758403711749168
25,0.0001325430849481866
26,0.00041671938396049704
27,0.0003741036390191546
28,0.0001652242368211404
29,0.00029512770628197844
30,0.00043725985847987904
31,0.0019232355843149303
32,0.0004313533083624422
33,0.00020232309022857398
34,0.0006082938435776123
35,0.0024757756836715685
36,0.001184890543404901
37,0.00012898669550941838
38,0.001120478879965073
39,5.266211747400904e-05
40,0.00030040925633387716
41,0.002341146610581971
42,0.0015287027737646858
43,0.00013719647651191146
44,0.000337300199083648
45,0.0023885469731719866
46,0.00011663812199286543
47,0.0003757959443785816
48,0.00023134831152835908
49,0.0022261800601763118
50,0.00036553449764355905
51,0.001319061160946323
52,0.00012420054961126203
53,0.0014698020435137803
54,0.0003327475536020144
55,0.00015767997986537762
56,0.0005945168873125694
57,0.00020279208331498166
58,0.00019721690591682723
59,0.00038208085573365134
60,0.0007106665871180193
61,0.0004983949776024143
62,0.0014565287016212872
63,0.0003457300188997036
64,1.2163332456070101e-05
65,0.0005321453656231697
66,0.0005644925773682411
67,0.0005323506846886114
68,0.0004750191997457767
69,0.000792118745800358
70,0.00017808556135016866
71,0.001023661876166532
72,9.228139857899916e-06
73,0.0003231330197658215
74,0.0001591295412816593
75,0.00026206066135431885
76,0.00036800572822771486
77,0.0006231298515576121
78,0.0016333472685789842
79,5.4317935979569466e-05
80,0.0001557007282033855
81,0.0003763554241548694
82,0.0030255077213752666
83,0.00024083063783363921
84,0.00020012120759362197
85,0.0004672389989337193
86,0.00021998358720206484
87,0.0004334492783271808
88,0.00046520122792894074
89,0.0011652510292557263
90,4.3792629498262846e-05
91,6.599346156766858e-05
92,0.0013189025683027964
93,0.0010829107170680131
94,0.0007979346132612552
95,0.0011215911026640746
96,0.0005349303761995835
97,0.0010814157321182608
98,0.00014625537786104253
99,0.000842482930772629
100,0.00044805911679860676
101,0.00021953089070917935
102,0.0005077963189399837
103,0.0004615821116679104
104,0.0002438543872209382
105,0.0005906198396021744
106,0.00021905557357055022
107,0.00033934109951077934
108,0.0003812404072583454
109,0.00034300848769926737
110,0.0009066087461795296
111,0.00010466470436519859
112,0.001996745939281717
113,0.0009551353191790306
114,0.0007402760335522668
115,0.004064455452407285
116,0.0009907094031721565
117,0.0013824791285498776
118,0.0003937462514181241
119,0.0008137527612699812
120,0.0005789935596402846
121,0.0006225224485513155
122,0.0009454909794911142
123,0.0005511806511284444
124,0.00019375086821276545
125,0.0002878007079756078
126,0.00016192230210309788
127,0.0001982278768696224
128,0.013967818719304453
129,0.00025385011216171076
130,5.763372977734269e-05
131,0.00027953220552710644
132,8.451976249385257e-05
133,0.00035478256753789357
134,0.00023521182875818337
135,5.553766930579578e-05
136,0.00027035117682727814
137,0.00012870365215926724
138,0.0003306284025718724
139,0.00037718378675746664
140,0.0004127392246882396
141,9.53422794504577e-05
142,0.00016118169796992666
143,5.127902306911928e-05
144,0.00011364440162151655
145,0.00017273878573836912
146,6.790500388088004e-05
147,0.0002501825295213863
148,0.0003089947826600533
149,5.622639874166111e-05
150,0.00025605538946676286
151,0.0006113698644581953
152,0.00044931543635416975
153,0.000351875058964202
154,0.002398387164376555
155,8.327180938931209e-05
156,0.00012104769564826062
157,0.0002662097385295145
158,0.00014981905738042903
159,8.578637220348495e-05
160,0.0005538403779376136
161,0.0003668668271126184
162,0.0001669832459803939
163,0.00020723315207186926
164,0.00018189321232443863
165,0.00015899512120415052
166,0.00023675442536920244
167,0.00021558118281609764
168,0.0008191706494029118
169,0.00018221796647702426
170,0.0003235343800994713
171,0.0007562507068363255
172,0.0010405307195569529
173,0.0007159638667842713
174,0.0001561332297857559
175,0.00017599597023078156
176,0.00014716547459426752
177,0.0001286884503259251
178,0.00021422169710949454
179,0.0004487973989333111
180,0.0032738838688277138
181,6.481839344709489e-06
182,1.9082811829304043e-05
183,5.9899746094991585e-05
184,0.0011848378604766272
185,0.0003400747396987445
186,0.00029312436507328136
187,5.9033783700104075e-05
188,0.0003786673910885045
189,7.006823676397536e-05
190,1.1720380629379359e-05
191,0.00010791282779877765
192,0.00015327842175379638
193,0.00015148487686528393
194,2.871244331770753e-06
195,0.00026894651939740936
196,0.00010100716450717014
197,9.892520441470698e-06
198,2.530036720347381e-05
199,1.9627025984812965e-05
200,6.18307781242838e-06
201,0.0001024291588530112
202,6.242307084949571e-05
203,0.0012561783818018514
204,0.0006364669790064669
205,6.251898197343596e-05
206,3.3552729498311984e-06
207,2.867063678409081e-05
208,4.0944041496500734e-05
209,5.2564439015595104e-05
210,0.00013520414792859574
211,9.47449078550066e-05
212,1.2872453788863468e-05
213,4.250097480249711e-06
214,5.500027063650467e-06
215,5.893383068095035e-06
216,4.269799169061523e-06
217,3.480557241150804e-05
218,3.7554318907526e-05
219,7.525426169646667e-06
220,0.00022222174718262592
221,1.772505433827836e-05
222,2.976065275189172e-06
223,2.6637165837958443e-05
224,1.819301506426778e-05
225,5.073114474253574e-06
226,5.53714287989655e-06
227,9.188215474081529e-06
228,3.924460487169589e-06
229,5.773110330901286e-06
230,1.1474204459566562e-05
231,1.1932466266765578e-05
232,5.8601419970265085e-06
233,8.086712579982115e-06
234,5.791277339254354e-06
235,3.1341793595827813e-06
236,4.6355253802174285e-07
237,2.8537885866521877e-05
238,2.231337216121299e-06
239,2.3127971664067704e-06
240,1.748317860895112e-05
241,1.7352911239719592e-05
242,6.461717715074338e-05
243,1.715003602191344e-05
244,4.3793711680752096e-05
245,0.00022179284660523284
246,4.098151660504049e-05
247,6.985059552940829e-05
248,6.030326634412186e-06
249,3.3831638457121e-05
250,1.6287983987365874e-05
251,5.44756792305637e-06
252,2.5593309386551152e-05
253,1.361736914764357e-05
254,0.0002598067359943263
255,1.1645861365047925e-05
256,2.568150061440312e-05
257,1.0983587311222545e-05
258,1.5055248784006136e-05
259,0.00011926042749749267
260,0.0002766190397167847
261,3.546925226539329e-05
262,1.4733316344654207e-05
263,4.757369224940188e-05
264,1.5848429560605722e-05
265,0.0002700811785510634
266,1.1514548236569588e-05
267,4.63649943819572e-05
268,2.188004379941542e-05
269,0.0005203201632683914
270,0.000298219529519448
271,5.3369446157717816e-05
272,5.5402330291083874e-05
273,3.0323242257065e-05
274,3.3185679638424296e-05
275,6.324022175450905e-05
276,0.00010423245639375749
277,7.360403290045415e-05
278,0.00018504385618673818
279,2.1439669886699174e-05
280,5.050516116820926e-05
281,1.1356827469591338e-06
282,2.2173341984589543e-06
283,0.0021926739241028763
284,9.61203682839078e-06
285,0.00015613750343239537
286,4.870056661977909e-05
287,3.240902014504295e-05
288,0.0001829654621294909
289,8.424338017688322e-06
290,0.00015476984321502764
291,0.00012868694349209417
292,6.14876048703577e-05
293,2.1958181450229156e-05
294,1.7214809405703064e-05
295,1.8565759188652942e-05
296,9.376701181068952e-07
297,3.0278718513666457e-06
298,6.490471544745315e-06
299,8.304004492890184e-06
300,6.492009065387008e-05
301,5.1757960168501e-05
302,5.45480015634913e-06
303,4.762283409039319e-05
304,5.062820090130965e-05
305,8.767225837391506e-05
306,6.971711604704192e-06
307,1.0552593722458875e-05
308,1.1757855983735781e-05
309,8.045184105568448e-05
310,1.8371591169338238e-05
311,3.0319145668299172e-05
312,2.443040942141937e-05
313,2.935606457275053e-05
314,0.00016452304310396609
315,6.740014031784444e-06
316,7.895781960310788e-06
317,6.350317017307221e-05
318,0.00013329693608495023
319,3.960319263936893e-05
320,2.4458607554213246e-06
321,2.8788248297095696e-05
322,0.0001337393794037911
323,1.9062939675093096e-05
324,6.149001867040086e-06
325,2.790168676696629e-06
326,2.2058295127253468e-05
327,2.7217083301881368e-05
328,0.0001548432056918301
329,3.492838575180603e-05
330,2.625563597133399e-05
331,0.00012851901402803184
332,2.5081355752418632e-05
333,4.568932023835727e-06
334,0.00010016419795443876
335,7.105978094739464e-05
336,1.091513083425632e-05
337,2.1185111027404194e-05
338,5.738308914427672e-05
339,1.940194088121904e-05
340,0.0006187979522664877
341,0.00043232561403554664
342,0.00020136154048463537
343,2.6640117569896946e-05
344,6.365805936029875e-05
345,6.902458914570689e-05
346,3.042845398016004e-05
347,8.449351578348396e-06
348,0.0001024681877962721
349,7.711235914327097e-05
350,5.840853566734493e-05
351,4.303432174221286e-06
352,6.702048089939115e-06
353,1.1698641180402846e-05
354,1.6798833405751387e-05
355,0.00011210414805058969
356,2.2354774418088487e-05
357,0.00011240660516757615
358,3.3410682450918145e-05
359,1.314290434599331e-05
360,0.0001463807201947414
361,3.4190363405938496e-05
362,0.00016561797626508026
363,0.00016156941124488276
364,8.866937300427333e-05
365,0.00020868124057471009
366,3.262399176041607e-05
367,4.9082815397281706e-05
368,7.28565028251647e-05
369,5.468890735555486e-05
370,7.761235391121944e-06
371,7.370743084454726e-05
372,3.599337487149271e-05
373,2.5937924652076636e-05
374,1.0290970026483635e-05
375,5.578732858327768e-06
376,0.00012848754239841475
377,3.4017655767688648e-06
378,8.574636678474682e-05
379,2.9740672860207354e-05
380,0.0001724566851197291
381,0.0004695248315662631
382,2.419588873491686e-05
383,4.002690459116434e-05
384,7.999216723150843e-05
385,1.0891839788449536e-05
386,1.493097966274229e-05
387,1.7682288832814668e-05
388,3.911078041063547e-06
389,5.128351290783405e-06
390,7.296671826735146e-06
391,7.233307563460796e-07
392,4.669389846033431e-06
393,0.00016910137339761516
394,2.3970579494712425e-05
395,1.9257624882318746e-05
396,7.145996113081795e-05
397,2.062368155343809e-05
398,3.44540100990765e-06
399,5.334806304315907e-05
400,1.926194296319968e-05
401,5.271088152852164e-05
402,3.0259826844554155e-06
403,6.507513285686609e-05
404,5.293466046415998e-06
405,9.651783411355686e-06
406,8.159196756599003e-05
407,4.252119656822609e-05
408,1.858133538611396e-05
409,2.460927727432734e-05
410,0.0001284296848446552
411,4.227401041719393e-05
412,0.00011808396401559733
413,1.092523028707518e-05
414,7.51049228327467e-05
415,4.139048757428411e-05
416,6.954245325653279e-05
417,0.00010614987782148853
418,0.00016594440936826865
419,1.4726436777022862e-05
420,3.254698690454365e-05
421,2.607603005730077e-05
422,6.298382284488995e-05
423,6.950858710463954e-06
424,5.052771408255108e-05
425,4.907924747479889e-05
426,2.307816915420172e-06
427,3.230553906262869e-05
428,1.5838136748223816e-06
429,9.280626083037797e-05
430,0.0002992778962439197
431,1.8122518442359484e-05
432,1.8902377489094792e-05
433,2.7213554417069432e-05
434,5.597654429049493e-05
435,4.549559818856663e-05
436,3.728179111725358e-05
437,5.865109494213763e-05
438,4.375159805017721e-06
439,0.0001166646891702814
440,4.461896352860925e-06
441,1.2684326703056893e-05
442,9.557098484365398e-06
443,1.6265532098551995e-05
444,2.3265910805549547e-05
445,2.329923876208955e-07
446,2.4532250601266568e-06
447,3.208453662811825e-06
448,3.6114657974611726e-05
449,1.5521116314840283e-05
450,9.111147982383719e-05
451,2.7532237169446347e-05
452,8.211350537192677e-06
453,3.621946117349204e-06
454,9.99400123899682e-06
455,2.6764852466738675e-05
456,1.4420833472448768e-06
457,6.464193524300773e-06
458,4.639107168485915e-06
459,7.773666656003031e-07
460,7.1348509681575745e-06
461,4.0372369890466114e-07
462,8.81726183537796e-07
463,2.21481807990035e-06
464,4.226677494123272e-06
465,2.6567211549690605e-05
466,2.275380813712203e-05
467,1.665259337700899e-05
468,2.900339923879183e-06
469,1.3624895128285316e-06
470,8.627025293527983e-06
471,2.0462938620548604e-06
472,2.2923868565363486e-05
473,2.3413048074024127e-07
474,1.6409472114806451e-06
475,3.91664410963703e-06
476,1.3514824936622695e-06
477,9.753057549764923e-08
478,2.29413291149635e-06
479,9.07170147664867e-07
480,4.386475751984237e-06
481,0.00028053867658248675
482,1.1135381951842819e-05
483,3.1404119437404316e-06
484,5.3056327278840105e-06
485,4.053677199499403e-07
486,0.00010051421105929785
487,7.2344625820148705e-06
488,1.4839620665980403e-06
489,5.579413675391454e-07
490,2.2676680627652733e-05
491,1.1054944749000307e-07
492,1.7603112772007329e-06
493,5.172426337096541e-07
494,4.169979154415291e-06
495,2.9564729881301523e-07
496,2.2632223480247853e-05
497,2.2662219399808492e-05
498,2.517562794628659e-05
499,1.837383098811293e-05
500,5.305104287064625e-06
501,1.2857816324169309e-05
502,4.25455632861948e-06
503,0.00019717503835033623
504,2.482964769911414e-05
505,3.708264904235294e-06
506,7.44229599341168e-08
507,9.631135313422149e-06
508,3.988552696887498e-07
509,1.6422455620213393e-06
510,3.906175626524579e-06
511,7.532140135430488e-06
512,1.1117958875651958e-06
513,0.0
514,2.5723574827911024e-06
515,6.0485798051296175e-06
516,9.370166675133779e-05
517,2.2369460236401256e-06
518,7.949456811104461e-07
519,3.7214395826165268e-06
520,1.2879714153724465e-06
521,7.39341892804831e-07
522,2.0309819179473145e-06
523,1.631954792073728e-05
524,3.2682624042511076e-05
525,7.330375589449623e-05
526,2.402738362317923e-05
527,2.2186336989938113e-06
528,1.6640718025042197e-06
529,2.147811511596055e-06
530,1.6395061046544167e-05
531,1.38062637572976e-05
532,3.0405148192609e-06
533,8.546219574096846e-06
534,5.567536420421182e-06
535,4.826014426264042e-05
536,4.1503206562268205e-06
537,2.0745519775531707e-06
538,8.538833254373481e-07
539,4.296502833991224e-06
540,7.043505195969716e-06
541,3.500417245436176e-06
542,3.593264121072686e-05
543,9.097012210863859e-06
544,7.222765193270845e-05
545,1.1370117074303422e-05
546,2.5599645239540746e-05
547,2.0690479213294982e-05
548,3.727267870054781e-05
549,5.9240204616642525e-06
550,8.090003344953933e-06
551,4.081057515831482e-05
552,7.151700247574963e-07
553,3.408857092782776e-06
554,1.2244529976831121e-05
555,1.4870342242692794e-05
556,5.187985485774847e-06
557,3.844291584451192e-06
558,2.9075164003038048e-06
559,2.6679123147514443e-06
560,2.855858385128855e-06
