tour_id,tdd,start,end,duration,out_period,in_period,mode_choice_logsum
93102716,105,11,17,6,AM,PM,4.5173445166144734
93102716,106,11,18,7,AM,PM,4.517328717390145
93102716,107,11,19,8,AM,PM,4.517312936829127
93102716,108,11,20,9,AM,PM,4.517297174909123
93102716,109,11,21,10,AM,EV,4.523617263977847
93102716,110,11,22,11,AM,EV,4.5236015848179
93102716,111,11,23,12,AM,EV,4.523585924179159
93102716,112,12,12,0,MD,MD,4.52485184969247
93102716,113,12,13,1,MD,MD,4.524835993578894
93102716,114,12,14,2,MD,MD,4.524820156198223
93102716,115,12,15,3,MD,MD,4.524804337528075
93102716,116,12,16,4,MD,MD,4.524788537546097
93102716,117,12,17,5,MD,PM,4.518076148019751
93102716,118,12,18,6,MD,PM,4.518060335026156
93102716,119,12,19,7,MD,PM,4.518044540712468
93102716,120,12,20,8,MD,PM,4.5180287650563695
93102716,121,12,21,9,MD,EV,4.524351079343789
93102716,122,12,22,10,MD,EV,4.524335386555545
93102716,123,12,23,11,MD,EV,4.524319712304937
93102716,124,13,13,0,MD,MD,4.52485184969247
93102716,125,13,14,1,MD,MD,4.524835993578894
93102716,126,13,15,2,MD,MD,4.524820156198223
93102716,127,13,16,3,MD,MD,4.524804337528075
93102716,128,13,17,4,MD,PM,4.518091979715594
93102716,129,13,18,5,MD,PM,4.518076148019751
93102716,130,13,19,6,MD,PM,4.518060335026156
93102716,131,13,20,7,MD,PM,4.518044540712468
93102716,132,13,21,8,MD,EV,4.524366790691842
93102716,133,13,22,9,MD,EV,4.524351079343789
93102716,134,13,23,10,MD,EV,4.524335386555545
93102716,135,14,14,0,MD,MD,4.52485184969247
93102716,136,14,15,1,MD,MD,4.524835993578894
93102716,137,14,16,2,MD,MD,4.524820156198223
93102716,138,14,17,3,MD,PM,4.518107830136057
93102716,139,14,18,4,MD,PM,4.518091979715594
93102716,140,14,19,5,MD,PM,4.518076148019751
93102716,141,14,20,6,MD,PM,4.518060335026156
93102716,142,14,21,7,MD,EV,4.524382520621909
93102716,143,14,22,8,MD,EV,4.524366790691842
93102716,144,14,23,9,MD,EV,4.524351079343789
93102716,145,15,15,0,MD,MD,4.52485184969247
