label,value
household_id,866761.0
serialno,2010000676000.0
PERSONS,4.0
VEHICL,3.0
income,13700.0
race_of_head,1.0
age_of_head,38.0
workers,2.0
children,2.0
tenure,2.0
recent_mover,1.0
block_id,60133660022001.0
TAZ,974.0
HHT,4.0
sample_rate,0.004
chunk_id,0.0
