TAZ,work_low,work_med,work_high,work_veryhigh
318,2,0,0,4
319,0,0,2,2
320,1,1,1,1
321,0,0,1,2
322,0,1,1,3
323,1,0,2,3
324,0,1,1,0
325,1,0,0,1
326,0,1,0,5
327,0,3,0,2
328,0,1,1,3
329,2,9,9,18
330,0,1,0,2
331,1,7,10,30
332,2,4,3,16
333,1,1,2,4
334,0,1,2,1
335,1,1,2,6
336,0,2,2,2
337,0,2,0,6
338,0,0,0,0
339,0,1,1,3
340,3,5,7,27
341,2,4,10,15
342,4,2,1,4
343,0,0,1,0
344,0,0,1,3
345,0,0,1,2
346,2,3,12,25
347,1,2,3,8
348,2,3,3,32
349,10,16,32,112
350,0,0,1,5
351,2,3,8,23
352,0,0,0,0
353,0,1,0,0
354,0,2,2,2
355,7,11,20,63
356,7,11,20,64
357,0,0,1,2
358,1,0,2,4
359,0,1,1,2
360,1,2,4,2
361,0,0,0,4
362,1,4,10,25
363,0,0,2,4
364,2,1,0,1
365,1,1,1,9
366,1,3,5,13
367,1,2,3,14
368,0,0,2,6
369,0,0,3,3
370,2,3,4,22
371,1,4,0,5
372,3,7,6,14
373,0,1,0,2
374,4,2,8,23
375,0,0,0,2
376,1,0,4,11
377,2,0,2,7
378,4,11,10,26
379,0,0,1,4
380,0,0,0,0
381,0,2,3,6
382,0,0,1,3
383,7,3,7,22
384,0,1,1,3
385,0,0,2,2
386,0,0,0,1
387,0,0,0,3
388,1,4,3,6
389,0,0,1,6
390,0,0,1,2
391,2,1,1,9
392,0,0,0,0
393,0,0,1,0
394,0,0,3,8
395,3,7,7,18
396,3,7,4,22
397,1,2,2,9
398,0,2,3,7
399,0,9,4,29
400,0,0,0,0
401,9,20,32,87
402,4,4,11,19
403,7,15,23,94
404,2,2,6,22
405,0,3,2,23
406,2,7,8,43
407,7,15,25,75
408,5,11,12,48
409,1,9,13,41
410,1,2,1,15
411,0,0,0,5
412,4,18,36,122
413,3,0,3,4
414,4,6,9,34
415,12,11,26,63
416,2,3,2,18
417,1,7,5,22
418,3,2,4,19
419,0,0,0,2
420,0,0,0,0
421,1,1,0,1
422,0,2,2,4
423,0,0,0,1
424,1,1,3,3
425,0,0,1,1
426,1,5,13,32
427,7,12,23,59
428,5,9,18,54
429,3,10,12,33
430,3,6,10,30
431,1,12,5,31
432,5,19,23,53
