TAZ,university,gradeschool,highschool
0,0,8,0
1,0,38,0
2,0,40,0
3,0,27,0
4,0,46,0
5,0,39,0
6,0,96,0
7,0,86,0
8,0,67,0
9,0,63,0
10,0,41,0
11,0,97,0
12,0,81,0
13,0,168,0
14,0,42,0
15,0,26,0
16,0,21,0
17,0,41,0
18,0,48,0
19,0,51,0
20,0,40,0
21,0,45,0
22,0,82,0
23,0,80,0
24,0,37,0
25,0,69,0
26,0,46,0
27,0,59,0
28,0,8,0
29,0,60,0
30,0,44,0
31,0,42,0
32,0,58,0
33,0,63,0
34,0,49,0
35,0,29,0
36,0,43,0
37,0,40,0
38,0,53,0
39,0,30,0
40,0,40,0
41,0,38,0
42,0,15,0
43,0,25,0
44,0,72,0
45,0,35,0
46,0,21,0
47,0,26,0
48,0,22,0
49,0,75,0
50,0,7,0
51,0,16,0
52,0,24,0
53,0,39,0
54,0,49,0
55,0,38,0
56,0,63,0
57,0,45,0
58,0,38,0
59,0,35,0
60,0,68,0
61,0,85,0
62,0,22,0
63,0,43,0
64,0,55,0
65,0,8,0
66,0,40,0
67,0,36,0
68,0,34,0
69,0,25,0
70,0,27,0
71,0,30,0
72,0,13,0
73,0,28,0
74,0,35,0
75,0,19,0
76,0,47,0
77,0,42,0
78,0,5,0
79,0,53,0
80,0,28,0
81,0,101,0
82,2140,21,0
83,0,54,0
84,0,24,0
85,0,25,0
86,0,47,0
87,0,8,0
88,0,48,0
89,0,67,0
90,0,37,0
91,0,22,0
92,0,52,0
93,0,51,0
94,0,49,0
95,0,20,0
96,0,83,0
97,0,45,0
98,0,50,0
99,0,55,0
100,0,43,0
101,0,71,0
102,0,29,0
103,0,44,0
104,0,67,0
105,0,92,0
106,0,93,0
107,0,24,0
108,0,20,0
109,0,19,0
110,0,13,0
111,0,14,0
112,0,32,0
113,0,15,0
114,0,54,0
115,0,16,0
116,0,44,0
117,0,64,0
118,0,61,0
119,0,32,0
120,0,51,0
121,0,51,0
122,0,38,0
123,0,22,0
124,0,42,0
125,0,42,0
126,0,35,0
127,0,31,0
128,0,18,0
129,2100,0,0
130,0,3,0
131,0,27,0
132,0,36,0
133,0,63,0
134,0,36,0
135,0,93,0
136,0,44,0
137,0,32,0
138,0,54,0
139,0,83,0
140,0,68,0
141,0,19,0
142,0,10,0
143,0,23,0
144,0,18,0
145,0,21,0
146,0,15,0
147,0,24,0
148,0,44,0
149,0,14,0
150,0,46,0
151,121,31,0
152,0,17,0
153,0,81,0
154,0,19,0
155,0,20,0
156,0,15,0
157,0,30,0
158,0,35,0
159,0,42,0
160,0,41,0
161,0,40,0
162,0,88,0
163,0,55,0
164,0,40,0
165,0,15,0
166,0,52,0
167,0,39,0
168,0,102,0
169,0,96,0
170,0,82,0
171,0,80,0
172,0,35,0
173,0,31,0
174,0,16,0
175,0,68,0
176,0,55,0
177,0,34,0
178,0,94,0
179,0,29,0
180,0,55,0
181,0,28,0
182,0,15,0
183,0,16,0
184,0,85,0
185,0,27,0
186,0,83,0
187,0,55,0
188,0,53,0
189,0,34,0
190,0,47,0
191,0,12,0
192,0,159,0
193,0,18,0
194,0,0,0
195,0,18,0
196,0,22,0
197,0,19,0
198,0,129,0
199,0,30,0
200,0,8,0
201,0,13,0
202,0,62,0
203,0,25,0
204,0,68,0
205,0,42,0
206,0,36,0
207,0,43,0
208,0,49,0
209,0,71,0
210,0,33,3578
211,0,78,0
212,0,17,0
213,0,13,0
